Name,Address,Postcode,Category,Type,Type 2,Source,lat,long,Description
Bunsons Wood,BUNSONS WOOD THOMPSONS ROAD,CV7 8JW,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.460002,-1.538034,LLPG 9 Jul 2020
The Spinney,THE SPINNEY WASTE LANE,CV6 2EH,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.437747,-1.534727,LLPG 9 Jul 2020
Pikehorne Wood,PIKEHORNE WOOD TAMWORTH ROAD,CV6 2JH,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.436158,-1.532634,LLPG 9 Jul 2020
Elkin Wood,ELKIN WOOD CLAY LANE,CV7 8AE,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.448178,-1.565804,LLPG 9 Jul 2020
Paxton Memorial London Road Cemetery London Road,PAXTON MEMORIAL LONDON ROAD CEMETERY LONDON ROAD,CV1 2JT,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.402772,-1.50065,LLPG 9 Jul 2020
"Playground, The Park Paling",WHITLEY COMMON RECREATION GROUND,CV3 5LL,Community Spaces,Playgrounds,Manually Updated,Coventry City Council (LLPG),52.388987,-1.495663,LLPG 9 Jul 2020
Swanswell Pool Swanswell Park Stoney Stanton Road,SWANSWELL POOL SWANSWELL PARK STONEY STANTON ROAD,CV1 4FF,Land - Water - Named Pond,Land - Water - Named Pond,Manually Updated,Coventry City Council (LLPG),52.414055,-1.504978,LLPG 9 Jul 2020
Tutbury Avenue Open Space,TUTBURY AVENUE,CV4 7BJ,Community Spaces,Parks,Manually Updated,Coventry City Council (LLPG),52.386477,-1.5439,LLPG 9 Jul 2020
St Giles Recreation Ground,"ST GILES ROAD, ASH GREEN CV7 9GZ",CV7 9GZ,Community Spaces,Playgrounds,,,,,
Simon Stone Play Park,SIMON STONE STREET CV6 7GL,CV6 7GL,Community Spaces,Playgrounds,Manually Updated,Coventry City Council (LLPG),52.433905,-1.48787,LLPG 9 Jul 2020
Radford Recreation Ground,RECREATION GROUND SWILLINGTON ROAD,CV6 3BN,Community Spaces,Parks,Manually Updated,Coventry City Council (LLPG),52.418664,-1.517366,LLPG 9 Jul 2020
Recreation Ground Parry Road,RECREATION GROUND PARRY ROAD,CV2 3LZ,Land - Parks - Public Open Space / Nature Reserve,Land - Parks - Public Open Space / Nature Reserve,Manually Updated,Coventry City Council (LLPG),52.426607,-1.472086,LLPG 9 Jul 2020
Sports Ground Cubbington Road,SPORTS GROUND CUBBINGTON ROAD,CV6 7BH,Community Spaces,Land - Parks - Playground,Manually Updated,Coventry City Council (LLPG),52.443278,-1.482965,LLPG 9 Jul 2020
Ten Shilling Wood,TEN SHILLING WOOD CHARTER AVENUE,CV4 8DA,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.392996,-1.573522,LLPG 9 Jul 2020
Park Wood,PARK WOOD CHARTER AVENUE,CV4 8AF,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.392948,-1.592621,LLPG 9 Jul 2020
Primrose Hill Park ,PRIMROSE HILL PARK BERRY STREET,CV1 5JT,Community Spaces,Parks,Manually Updated,Coventry City Council (LLPG),52.413042,-1.494889,LLPG 9 Jul 2020
Hearsall Common Land Hearsall Common,HEARSALL COMMON LAND HEARSALL COMMON,CV5 6GN,Land - Parks - Public Open Space / Nature Reserve,Land - Parks - Public Open Space / Nature Reserve,Manually Updated,Coventry City Council (LLPG),52.40231,-1.532669,LLPG 9 Jul 2020
War Memorial Kenilworth Road War Memorial Park Kenilworth Road,WAR MEMORIAL KENILWORTH ROAD WAR MEMORIAL PARK KENILWORTH ROAD,CV3 6PT,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.395564,-1.520718,LLPG 9 Jul 2020
War Memorial Park Kenilworth Road,WAR MEMORIAL PARK KENILWORTH ROAD,CV3 6PT,Land - Parks - Public Open Space / Nature Reserve,Land - Parks - Public Open Space / Nature Reserve,Manually Updated,Coventry City Council (LLPG),52.395564,-1.520718,LLPG 9 Jul 2020
Whitley Grove,WHITLEY GROVE HILL FRAY DRIVE,CV3 4DE,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.385194,-1.483408,LLPG 9 Jul 2020
Columbarium Canley Garden Cemetery And Crematorium Cannon Hill Road,COLUMBARIUM CANLEY GARDEN CEMETERY AND CREMATORIUM CANNON HILL ROAD,CV4 7DF,Object of Interest - Monument - Memorials and market crosses,Object of Interest - Monument - Memorials and market crosses,Manually Updated,Coventry City Council (LLPG),52.387289,-1.547006,LLPG 9 Jul 2020
Willenhall Wood,WILLENHALL WOOD YARNINGALE ROAD,CV3 3EL,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.382785,-1.467231,LLPG 9 Jul 2020
Allesley Park Allesley Hall Drive,ALLESLEY PARK ALLESLEY HALL DRIVE,CV5 8AD,Land - Parks - Public Open Space / Nature Reserve,Land - Parks - Public Open Space / Nature Reserve,Manually Updated,Coventry City Council (LLPG),52.411111,-1.558259,LLPG 9 Jul 2020
Tocil Wood,TOCIL WOOD GIBBET HILL ROAD,CV4 7AJ,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.373502,-1.553144,LLPG 9 Jul 2020
Wainbody Wood,WAINBODY WOOD KENILWORTH ROAD,CV4 7AJ,Green Space,Forest/Woodlands,Manually Updated,Coventry City Council (LLPG),52.373502,-1.553144,LLPG 9 Jul 2020
"Tom Farndon Memorial; By Ormerod, Richard (1896-1979); In St. Paul'S Cemetery, Holbrook'S Lane, Coventry. Commissioned By Farndon, Mrs. Installed 1935-6; Sa/1;1935","Tom Farndon Memorial; By Ormerod, Richard (1896-1979); In St. Paul'S Cemetery, Holbrook'S Lane, Coventry. Commissioned By Farndon, Mrs. Installed 1935-6; Sa/1;1935",CV6 4BW,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.439868,-1.50371,
"Glass Screen ('West Window'); By Hutton, John (1906-1978); Forms South Wall Of The Cathedral, Coventry New Cathedral; Sa/269;","Glass Screen ('West Window'); By Hutton, John (1906-1978); Forms South Wall Of The Cathedral, Coventry New Cathedral; Sa/269;",CV1 5FB,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.405314,-1.500063,
"Pax; By Ehrlich, Georg. (1897-1966); In Garden Of Rest, Canley Crematorium, Coventry; Sa/3;1945","Pax; By Ehrlich, Georg. (1897-1966); In Garden Of Rest, Canley Crematorium, Coventry; Sa/3;1945",CV4 7DF,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.387289,-1.547006,
"Levelling Stone, The; By Tennant, Trevor (Born 1906) Or (1900-1980); In Upper Precinct, Coventry; Sa/4;1946","Levelling Stone, The; By Tennant, Trevor (Born 1906) Or (1900-1980); In Upper Precinct, Coventry; Sa/4;1946",CV1 1DE,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.408338,-1.511686,
"Broadgate Standard; By British Pressed Panels Ltd.  Incl: Wilf Bullingham; At Very Top Of Precinct, Upper Precinct, Coventry; Sa/5;1948","Broadgate Standard; By British Pressed Panels Ltd.  Incl: Wilf Bullingham; At Very Top Of Precinct, Upper Precinct, Coventry; Sa/5;1948",CV1 1DE,Public Art - Monument,Public Art - Monument,,Public Art Audit,52.408338,-1.511686,
"Self Sacrifice (Lady Godiva); By Lutyens, Sir Edwin, And/Or Burnett, Sir John (Plinth By); In Broadgate, Coventry; Sa/6;1944","Self Sacrifice (Lady Godiva); By Lutyens, Sir Edwin, And/Or Burnett, Sir John (Plinth By); In Broadgate, Coventry; Sa/6;1944",CV1 1LL,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.407755,-1.509767,
"Christ; By John, Alain (1921-1943); In The North Aisle, East End Of St Michael'S Cathedral Ruins, Coventry. Installed 9 Nov 1949.; Sa/7;1949","Christ; By John, Alain (1921-1943); In The North Aisle, East End Of St Michael'S Cathedral Ruins, Coventry. Installed 9 Nov 1949.; Sa/7;1949",CV1 5RN,Public Art - ,Public Art - ,,Public Art Audit,52.407709,-1.507671,
"Bond'S  Hospital/Bablake School; By ; In Hill Street, Coventry; Sa/8;C 1500","Bond'S  Hospital/Bablake School; By ; In Hill Street, Coventry; Sa/8;C 1500",CV1 4AN,Public Art - Building,Public Art - Building,,Public Art Audit,52.409442,-1.515511,
"Ford'S Hospital; By Unknown; Ford'S Hospital Was Founed In 1529 In Greyfriars Lane, Coventry.; Sa/9;1529","Ford'S Hospital; By Unknown; Ford'S Hospital Was Founed In 1529 In Greyfriars Lane, Coventry.; Sa/9;1529",CV1 2GY,Public Art - Building,Public Art - Building,,Public Art Audit,52.406121,-1.510358,
"Cathedral Centre Of  Studies; By Owned By Wells, David (Wine Cooper, Owner And Commissioner Of This Building). ?Smith Bros Of Warwick? Gd; 11 Priory Row, Coventry; Sa/10;1720 - 1730 (Circa)","Cathedral Centre Of  Studies; By Owned By Wells, David (Wine Cooper, Owner And Commissioner Of This Building). ?Smith Bros Of Warwick? Gd; 11 Priory Row, Coventry; Sa/10;1720 - 1730 (Circa)",CV1 5EP,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.408844,-1.507785,
"Kirby House; By Unknown; 16 Little Park Street, Coventry; Sa/11;C 1740","Kirby House; By Unknown; 16 Little Park Street, Coventry; Sa/11;C 1740",CV1 2JZ,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.406339,-1.508892,
"M. U. Oddfellows Club; By Bird, Thomas (?) (Architect); 7 Little Park Street, Coventry; Sa/12;C 1750","M. U. Oddfellows Club; By Bird, Thomas (?) (Architect); 7 Little Park Street, Coventry; Sa/12;C 1750",CV1 2UR,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.406465,-1.508738,
"Coat Of Arms Bridge; By London And Birmingham Railway Company (Built By); Over Coat Of Arms Bridge Road, Coventry; Sa/13;1844","Coat Of Arms Bridge; By London And Birmingham Railway Company (Built By); Over Coat Of Arms Bridge Road, Coventry; Sa/13;1844",CV3 6GL,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.387477,-1.522074,
"Paxton Memorial, The; By Goddard, Joseph And Son (Architect); In London Road Cemetery, Coventry, Commissioned By Paxton Memorial Committee, Installed 1867-70; Sa/14;1867 - 1870","Paxton Memorial, The; By Goddard, Joseph And Son (Architect); In London Road Cemetery, Coventry, Commissioned By Paxton Memorial Committee, Installed 1867-70; Sa/14;1867 - 1870",CV1 2JT,Public Art - Monument,Public Art - Monument,Manually Updated,Public Art Audit,52.402772,-1.50065,
"Goodwins Flour Mill; By Hardy, Richard, Of Nottingham (Architect); Formerly At Wheatley Street, Coventry; Sa/15;1878","Goodwins Flour Mill; By Hardy, Richard, Of Nottingham (Architect); Formerly At Wheatley Street, Coventry; Sa/15;1878",CV1 5FS,Public Art - Building,Public Art - Building,Manually Updated,Public Art Audit,52.411436,-1.504125,
"Sir Thomas White Memorial, The; By Wills, W. W. And T. W.; On Greyfriars Green, Coventry, Commissioned By Sir Thomas White Memorial Committee, Installed 1883 October 11; Sa/16;1883","Sir Thomas White Memorial, The; By Wills, W. W. And T. W.; On Greyfriars Green, Coventry, Commissioned By Sir Thomas White Memorial Committee, Installed 1883 October 11; Sa/16;1883",CV1 1EE,Public Art - Statue,Public Art - Statue,,Public Art Audit,52.405505,-1.513423,
"James Starley Memorial, The; By Whitehead, J. And Sons; On Greyfriars Green, Coventry, Commissioned By Committee For The Starley Memorial, Installed 1884 November 8; Sa/17;1884","James Starley Memorial, The; By Whitehead, J. And Sons; On Greyfriars Green, Coventry, Commissioned By Committee For The Starley Memorial, Installed 1884 November 8; Sa/17;1884",CV1 1EE,Public Art - Statue,Public Art - Statue,,Public Art Audit,52.405505,-1.513423,
"Midland Bank; By Osborn, F. B. (Architect); 18, High Street, Coventry; Sa/18;1896","Midland Bank; By Osborn, F. B. (Architect); 18, High Street, Coventry; Sa/18;1896",CV1 5RF,Public Art - Building,Public Art - Building,,Public Art Audit,52.407561,-1.508461,
"General Wolfe Pub; By Unknown; On Foleshill Road, Coventry; Sa/19;1900","General Wolfe Pub; By Unknown; On Foleshill Road, Coventry; Sa/19;1900",CV6 5AL,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.42915,-1.498543,
"Coventry Martyrs Memorial, The; By Maile, G. And Sons (Architect); On Traffic Island, Ringway St. Patricks, Coventry, Committee For Martyrs Memorial, Installed 1910; Sa/20;1910","Coventry Martyrs Memorial, The; By Maile, G. And Sons (Architect); On Traffic Island, Ringway St. Patricks, Coventry, Committee For Martyrs Memorial, Installed 1910; Sa/20;1910",CV1 2JX,Public Art - Monument,Public Art - Monument,,Public Art Audit,52.404528,-1.507701,
"Council House; By Garrett And Simster (Birmingham) (Architect); Earl Street, Coventry; Sa/22;1913 - 1926","Council House; By Garrett And Simster (Birmingham) (Architect); Earl Street, Coventry; Sa/22;1913 - 1926",CV1 5RR,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.40709,-1.507613,
"Coliseum Dance Hall; By Gilbert, J. H.  (?) (Architect); Whitefriars Street/ Jordan Well, Coventry   Now Part Of The Ellen Terry Building, Coventry University; Sa/23;1921 - 1923","Coliseum Dance Hall; By Gilbert, J. H.  (?) (Architect); Whitefriars Street/ Jordan Well, Coventry   Now Part Of The Ellen Terry Building, Coventry University; Sa/23;1921 - 1923",CV1 5RW,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.406704,-1.505845,
"Dr. Yeatman Biggs.; By Thornycroft, Hamo. Sir. Ra. (1850-1925); In North East Aisle, Cathedral Ruins, Coventry, Commissioned By The Bishop'S Children, Installed 1925 July; Sa/24;1924","Dr. Yeatman Biggs.; By Thornycroft, Hamo. Sir. Ra. (1850-1925); In North East Aisle, Cathedral Ruins, Coventry, Commissioned By The Bishop'S Children, Installed 1925 July; Sa/24;1924",CV1 5EP,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.408844,-1.507785,
"Cenotaph, The; By Tickner, T. F., Friba. (1866-1924) (Architect); In War Memorial Park, Coventry, Commissioned By Coventry War Memorial General Committee, Installed 1927 October 8; Sa/25;1927","Cenotaph, The; By Tickner, T. F., Friba. (1866-1924) (Architect); In War Memorial Park, Coventry, Commissioned By Coventry War Memorial General Committee, Installed 1927 October 8; Sa/25;1927",CV3 6PT,Public Art - Monument,Public Art - Monument,,Public Art Audit,52.395564,-1.520718,
"Odeon Cinema; By Watkins, M.H. (Bristol) (Architect); Jordan Well, Coventry   Now Part Of The Ellen Terry Building, Coventry University; Sa/26;1928 - 1930","Odeon Cinema; By Watkins, M.H. (Bristol) (Architect); Jordan Well, Coventry   Now Part Of The Ellen Terry Building, Coventry University; Sa/26;1928 - 1930",CV1 5RW,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.406704,-1.505845,
"National Westminster Bank; By Palmer, F. C. R. And Holden, W. F. C. (Architect); High Street, Coventry; Sa/27;1930","National Westminster Bank; By Palmer, F. C. R. And Holden, W. F. C. (Architect); High Street, Coventry; Sa/27;1930",CV1 1NE,Public Art - Building,Public Art - Building,Manually Updated,Public Art Audit,52.407578,-1.510475,
"Co-Operative Emporium; By Johnson, W. A., Cws Architects Depart. (Architect); 378-384 Foleshill Road, Coventry; Sa/28;1931","Co-Operative Emporium; By Johnson, W. A., Cws Architects Depart. (Architect); 378-384 Foleshill Road, Coventry; Sa/28;1931",CV6 5AN,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.428693,-1.498902,
"Lloyds Bank; By Buckland And Haywood (Architect); High Street, Coventry; Sa/29;1932","Lloyds Bank; By Buckland And Haywood (Architect); High Street, Coventry; Sa/29;1932",CV1 5RE,Public Art - Building,Public Art - Building,,Public Art Audit,52.407374,-1.508875,
"Coventry Technical College; By Hoare, A. W. (Architect); The Butts, Coventry; Sa/30;1913 (Plans); Built 1933-5","Coventry Technical College; By Hoare, A. W. (Architect); The Butts, Coventry; Sa/30;1913 (Plans); Built 1933-5",CV1 3BH,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.405882,-1.524487,
"Princess Elizabeth'S Column; By Skelton, John (1923-1999); At Ne Corner Of Building, Street Level, Broadgate House, Coventry, Commissioned By Coventry Planning And Redevelopment Committee, Installed 1950-1; Sa/31;1951","Princess Elizabeth'S Column; By Skelton, John (1923-1999); At Ne Corner Of Building, Street Level, Broadgate House, Coventry, Commissioned By Coventry Planning And Redevelopment Committee, Installed 1950-1; Sa/31;1951",CV1 1NE,Public Art - Architectural Detail,Public Art - Architectural Detail,,Public Art Audit,52.407578,-1.510475,
"Coventry Martyrs Mosaic; By Hosking, Hugh Richard, Arca, (Born In 1904) (Designer); In East Entrance, Broadgate House, Coventry, Commissioned By Coventry Planning And Redevelopment Committee, Installed In 1951-3; Sa/32;1951 - 1953","Coventry Martyrs Mosaic; By Hosking, Hugh Richard, Arca, (Born In 1904) (Designer); In East Entrance, Broadgate House, Coventry, Commissioned By Coventry Planning And Redevelopment Committee, Installed In 1951-3; Sa/32;1951 - 1953",CV1 1NE,Public Art - Mosaic,Public Art - Mosaic,,Public Art Audit,52.407578,-1.510475,
"Sir Guy And The Dun Cow; By Ramsey, Alma (Mrs. Hosking) (Born In 1907); Above Pedestrian Route Between Bull Yard And Shelton Square, Coventry, Commissioned By Coventry Planning And Redevelopment Committee, Installed 1952 March; Sa/33;1952","Sir Guy And The Dun Cow; By Ramsey, Alma (Mrs. Hosking) (Born In 1907); Above Pedestrian Route Between Bull Yard And Shelton Square, Coventry, Commissioned By Coventry Planning And Redevelopment Committee, Installed 1952 March; Sa/33;1952",CV1 1LH,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.406124,-1.513166,
"People Of Coventry, The; By Tennant, Trevor (Born 1906) Or (1900-1980); Broadgate House, Coventry, Facing Hertford Street, Commissioned By Coventry Planning And Redevelopment Committee, Installed 1953 January; Sa/34;1953","People Of Coventry, The; By Tennant, Trevor (Born 1906) Or (1900-1980); Broadgate House, Coventry, Facing Hertford Street, Commissioned By Coventry Planning And Redevelopment Committee, Installed 1953 January; Sa/34;1953",CV1 1FQ,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.407534,-1.510696,
"Godiva And Peeping Tom; By Tennant, Trevor (Born 1906) Or (1900-1980); Broadgate House, Coventry, Facing Broadgate, Commissioned By Coventry Planning And Redevelopment Committee, Installed 1953 July; Sa/35;1951","Godiva And Peeping Tom; By Tennant, Trevor (Born 1906) Or (1900-1980); Broadgate House, Coventry, Facing Broadgate, Commissioned By Coventry Planning And Redevelopment Committee, Installed 1953 July; Sa/35;1951",CV1 1NE,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.407578,-1.510475,
"Co-Operative Wholesale Society Columns; By Skelton, John (1923-1999); Frontage Of Co-Op, Co-Operative Store, Corporation Street, Coventry; Sa/38;1956","Co-Operative Wholesale Society Columns; By Skelton, John (1923-1999); Frontage Of Co-Op, Co-Operative Store, Corporation Street, Coventry; Sa/38;1956",CV1 1GF,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.409102,-1.514051,
"Reliefs; By Herbert, Alfred, And Sons (Architect); Exterior Of Herbert Art Gallery And Museum, Jordan Well, Coventry   On East Wall; Sa/39;1957","Reliefs; By Herbert, Alfred, And Sons (Architect); Exterior Of Herbert Art Gallery And Museum, Jordan Well, Coventry   On East Wall; Sa/39;1957",CV1 5QP,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.407192,-1.506128,
"Mosaic; By City Architects Department, Coventry (Architects); Centre Of Floor Of Retail Market, Coventry; Sa/40;1958","Mosaic; By City Architects Department, Coventry (Architects); Centre Of Floor Of Retail Market, Coventry; Sa/40;1958",CV1 3HT,Public Art - Mosaic,Public Art - Mosaic,,Public Art Audit,52.406991,-1.514382,
"Belgrade; By Brown, James C. ('Jim') (B. 1917); Belgrade Theatre, Coventry   On Exterior Wall Of Theatre, Facing Corporation St; Sa/41;1958","Belgrade; By Brown, James C. ('Jim') (B. 1917); Belgrade Theatre, Coventry   On Exterior Wall Of Theatre, Facing Corporation St; Sa/41;1958",CV1 1GX,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.409464,-1.514394,
"Fish Market Figures; By Brown, James C. ('Jim') (B. 1917); Fish Market, Victoria Buildings, Coventry; Sa/42;1958","Fish Market Figures; By Brown, James C. ('Jim') (B. 1917); Fish Market, Victoria Buildings, Coventry; Sa/42;1958",CV1 3HT,Public Art - Architectural Detail,Public Art - Architectural Detail,Manually Updated,Public Art Audit,52.407017,-1.514294,
"Coventry Mural; By Cullen, Gordon; Lower Precinct,Coventry; Sa/43;1958","Coventry Mural; By Cullen, Gordon; Lower Precinct,Coventry; Sa/43;1958",CV1 1DX,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.408409,-1.513838,
"Neon Panels; By Ling, Arthur (City Architect); Lower Precinct, Coventry   Panels Above Shops In The Upper Level; Sa/45;1958 - 1961","Neon Panels; By Ling, Arthur (City Architect); Lower Precinct, Coventry   Panels Above Shops In The Upper Level; Sa/45;1958 - 1961",CV1 1DX,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.408409,-1.513838,
"Four Seasons; By Froy, Martin (B. 1926); Belgrade Theatre, Coventry   On Interior Wall Of Theatre; Sa/46;1954 - 1959","Four Seasons; By Froy, Martin (B. 1926); Belgrade Theatre, Coventry   On Interior Wall Of Theatre; Sa/46;1954 - 1959",CV1 1GX,Public Art - Mosaic,Public Art - Mosaic,Manually Updated,Public Art Audit,52.409464,-1.514394,
"Man'S Struggle; By Ritchie, Walter (1919-1997); This Consists Of Two Panels Now On The Exterior Of Herbert, Jordan Well, Coventry. They Were Originally At Either End Of A Large Fountain In The Upper Precinct, Coventry, And Were Re-Sited With The Assistance Of The Artist, Who Declared Himself Very Happy With Their New Location. They Were Removed From The Precinct Around July 1993 And Installed At The Herbert Around Feb 1994.; Sa/47;1954 - 1958","Man'S Struggle; By Ritchie, Walter (1919-1997); This Consists Of Two Panels Now On The Exterior Of Herbert, Jordan Well, Coventry. They Were Originally At Either End Of A Large Fountain In The Upper Precinct, Coventry, And Were Re-Sited With The Assistance Of The Artist, Who Declared Himself Very Happy With Their New Location. They Were Removed From The Precinct Around July 1993 And Installed At The Herbert Around Feb 1994.; Sa/47;1954 - 1958",CV1 5QP,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.407192,-1.506128,
"St. Michael And The Devil; By Epstein, Jacob., Sir.; Coventry Cathedral   On East Wall, Beside Steps; Sa/48;1958","St. Michael And The Devil; By Epstein, Jacob., Sir.; Coventry Cathedral   On East Wall, Beside Steps; Sa/48;1958",CV1 5EP,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.408844,-1.507785,
"Mosaic; By Millett, Fred; On Upper Exterior Walls Of Central Library, Formerly Tiffany'S Ballroom, Smithford Way, Coventry; Sa/49;1960","Mosaic; By Millett, Fred; On Upper Exterior Walls Of Central Library, Formerly Tiffany'S Ballroom, Smithford Way, Coventry; Sa/49;1960",CV1 1FY,Public Art - Mosaic,Public Art - Mosaic,,Public Art Audit,52.40926,-1.513211,
"Cathedral Doorhandles; By Osman, Louis (Designer Of Handles); At West End Entrances Of Coventry Cathedral. The Handles Were Cast In 1956.; Sa/50;1956","Cathedral Doorhandles; By Osman, Louis (Designer Of Handles); At West End Entrances Of Coventry Cathedral. The Handles Were Cast In 1956.; Sa/50;1956",CV1 5EP,Public Art - Architectural Details,Public Art - Architectural Details,,Public Art Audit,52.408844,-1.507785,
"Dresden Mural; By Seidel, Jurgen. (Dresden); High Up, Facing Inwards, In A Circle, In Retail Market, Coventry; Sa/51;1958","Dresden Mural; By Seidel, Jurgen. (Dresden); High Up, Facing Inwards, In A Circle, In Retail Market, Coventry; Sa/51;1958",CV1 3HT,Public Art - Mural,Public Art - Mural,,Public Art Audit,52.406991,-1.514382,
"Naiad; By Wagstaffe, George (Born In 1939); In Pool In Courtyard Of City Hall, Coventry; Sa/52;1960","Naiad; By Wagstaffe, George (Born In 1939); In Pool In Courtyard Of City Hall, Coventry; Sa/52;1960",CV1 5RR,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.40709,-1.507613,
"Phoenix; By Burleighfield Foundry, High Wycombe (Bronze Casters); Hertford Street/Bull Yard, Coventry; Sa/53;1962","Phoenix; By Burleighfield Foundry, High Wycombe (Bronze Casters); Hertford Street/Bull Yard, Coventry; Sa/53;1962",CV1 1LH,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.406124,-1.513166,
"Bryan Bailey Memorial; By Keddie, Norelle; Outside The Theatre, Belgrade Theatre, Coventry; Sa/56;1962","Bryan Bailey Memorial; By Keddie, Norelle; Outside The Theatre, Belgrade Theatre, Coventry; Sa/56;1962",CV1 1GX,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.409464,-1.514394,
"Growth Of The City, (Coventry); By Skelton, John (1923-1999); At Old Entrance To Building At Upper End Of Sainsbury'S   J. Sainsbury Ltd, Trinity Street, Coventry; Sa/60;1964","Growth Of The City, (Coventry); By Skelton, John (1923-1999); At Old Entrance To Building At Upper End Of Sainsbury'S   J. Sainsbury Ltd, Trinity Street, Coventry; Sa/60;1964",CV1 1FJ,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.409776,-1.509604,
"Elisabeth Frink; By Mcwilliam, F. E.; In Rosegarden By Entrance To The Herbert Art Gallery And Museum, Jordan Well, Coventry; Sa/61;1956","Elisabeth Frink; By Mcwilliam, F. E.; In Rosegarden By Entrance To The Herbert Art Gallery And Museum, Jordan Well, Coventry; Sa/61;1956",CV1 5QP,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.407192,-1.506128,
"Coventry Boy; By Bentham, Phillip J. (1910-1985); Priory Street, Coventry; Sa/62;1966","Coventry Boy; By Bentham, Phillip J. (1910-1985); Priory Street, Coventry; Sa/62;1966",CV1 5EP,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.408844,-1.507785,
"Civic Sculpture (Removed) Aka 'The Family' & 'Molars'; By Atkinson, Ted (Edward) (Born In1929); Formerly In Smithford Way, Coventry; Sa/63;1965","Civic Sculpture (Removed) Aka 'The Family' & 'Molars'; By Atkinson, Ted (Edward) (Born In1929); Formerly In Smithford Way, Coventry; Sa/63;1965",CV1 1FY,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.40926,-1.513211,
"Mural; By Mitchell, William. (B. 1925); Ground Floor Facade Of Three Tuns Pub, Bull Yard, Coventry; Sa/65;1966","Mural; By Mitchell, William. (B. 1925); Ground Floor Facade Of Three Tuns Pub, Bull Yard, Coventry; Sa/65;1966",CV1 1LH,Public Art - Building Facade,Public Art - Building Facade,,Public Art Audit,52.406124,-1.513166,
"Panels; By Mitchell, William; First Floor Facade Of Shops On West Side Of Hertford Street, Coventry; Sa/66;1967 - 1969","Panels; By Mitchell, William; First Floor Facade Of Shops On West Side Of Hertford Street, Coventry; Sa/66;1967 - 1969",CV1 1LP,Public Art - Relief,Public Art - Relief,,Public Art Audit,52.406452,-1.512089,
"Fisherman And Nymph; By Bentham, Percy. (1883-1936); Coombe Abbey Lake, Coventry; Sa/67;1922","Fisherman And Nymph; By Bentham, Percy. (1883-1936); Coombe Abbey Lake, Coventry; Sa/67;1922",CV3 2AB,Public Art - Sculpture,Public Art - Sculpture,,Public Art Audit,52.412078,-1.409101,
