MSOA,Attribute,Value,%,,MSOA,Attribute,Value,,
E02001980,% agree they have everything needed in kitchen to cook meals from scratch,,77.78%,,E02001979,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001981,% agree they have everything needed in kitchen to cook meals from scratch,,82.42%,,E02001980,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001982,% agree they have everything needed in kitchen to cook meals from scratch,,85.25%,,E02001981,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001983,% agree they have everything needed in kitchen to cook meals from scratch,,85.00%,,E02001982,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001984,% agree they have everything needed in kitchen to cook meals from scratch,,86.44%,,E02001983,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001985,% agree they have everything needed in kitchen to cook meals from scratch,,59.26%,,E02001984,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001986,% agree they have everything needed in kitchen to cook meals from scratch,,86.67%,,E02001985,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001987,% agree they have everything needed in kitchen to cook meals from scratch,,97.75%,,E02001986,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001988,% agree they have everything needed in kitchen to cook meals from scratch,,85.71%,,E02001987,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001989,% agree they have everything needed in kitchen to cook meals from scratch,,91.40%,,E02001988,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001990,% agree they have everything needed in kitchen to cook meals from scratch,,79.27%,,E02001989,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001991,% agree they have everything needed in kitchen to cook meals from scratch,,92.65%,,E02001990,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001992,% agree they have everything needed in kitchen to cook meals from scratch,,84.16%,,E02001991,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001993,% agree they have everything needed in kitchen to cook meals from scratch,,85.58%,,E02001992,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001994,% agree they have everything needed in kitchen to cook meals from scratch,,85.00%,,E02001993,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001995,% agree they have everything needed in kitchen to cook meals from scratch,,85.38%,,E02001994,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001996,% agree they have everything needed in kitchen to cook meals from scratch,,76.47%,,E02001995,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001997,% agree they have everything needed in kitchen to cook meals from scratch,,94.62%,,E02001996,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001998,% agree they have everything needed in kitchen to cook meals from scratch,,86.67%,,E02001997,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02001999,% agree they have everything needed in kitchen to cook meals from scratch,,100.00%,,E02001998,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E02006805,% agree they have everything needed in kitchen to cook meals from scratch,,77.33%,,E02001999,% agree they have everything needed in kitchen to cook meals from scratch,FALSETRUE,,
E08000026,% agree they have everything needed in kitchen to cook meals from scratch,,84.27%,,,,,,
E02001958,% agree they plan meals before going shopping,,71.28%,,E02006805,% agree they plan meals before going shopping,FALSETRUE,,
E02001959,% agree they plan meals before going shopping,,58.93%,,E02001958,% agree they plan meals before going shopping,FALSETRUE,,
E02001961,% agree they plan meals before going shopping,,74.31%,,E02001959,% agree they plan meals before going shopping,FALSETRUE,,
E02001962,% agree they plan meals before going shopping,,73.33%,,E02001961,% agree they plan meals before going shopping,FALSETRUE,,
E02001963,% agree they plan meals before going shopping,,70.37%,,E02001962,% agree they plan meals before going shopping,FALSETRUE,,
E02001964,% agree they plan meals before going shopping,,53.10%,,E02001963,% agree they plan meals before going shopping,FALSETRUE,,
E02001965,% agree they plan meals before going shopping,,70.67%,,E02001964,% agree they plan meals before going shopping,FALSETRUE,,
E02001966,% agree they plan meals before going shopping,,58.82%,,E02001965,% agree they plan meals before going shopping,FALSETRUE,,
E02001967,% agree they plan meals before going shopping,,69.86%,,E02001966,% agree they plan meals before going shopping,FALSETRUE,,
E02001968,% agree they plan meals before going shopping,,57.97%,,E02001967,% agree they plan meals before going shopping,FALSETRUE,,
E02001969,% agree they plan meals before going shopping,,62.90%,,E02001968,% agree they plan meals before going shopping,FALSETRUE,,
E02001970,% agree they plan meals before going shopping,,60.94%,,E02001969,% agree they plan meals before going shopping,FALSETRUE,,
E02001971,% agree they plan meals before going shopping,,65.52%,,E02001970,% agree they plan meals before going shopping,FALSETRUE,,
E02001972,% agree they plan meals before going shopping,,52.22%,,E02001971,% agree they plan meals before going shopping,FALSETRUE,,
E02001973,% agree they plan meals before going shopping,,59.43%,,E02001972,% agree they plan meals before going shopping,FALSETRUE,,
E02001974,% agree they plan meals before going shopping,,66.09%,,E02001973,% agree they plan meals before going shopping,FALSETRUE,,
E02001975,% agree they plan meals before going shopping,,56.47%,,E02001974,% agree they plan meals before going shopping,FALSETRUE,,
E02001976,% agree they plan meals before going shopping,,75.41%,,E02001975,% agree they plan meals before going shopping,FALSETRUE,,
E02001977,% agree they plan meals before going shopping,,61.54%,,E02001976,% agree they plan meals before going shopping,FALSETRUE,,
E02001978,% agree they plan meals before going shopping,,56.92%,,E02001977,% agree they plan meals before going shopping,FALSETRUE,,
E02001979,% agree they plan meals before going shopping,,72.53%,,E02001978,% agree they plan meals before going shopping,FALSETRUE,,
E02001980,% agree they plan meals before going shopping,,63.29%,,E02001979,% agree they plan meals before going shopping,FALSETRUE,,
E02001981,% agree they plan meals before going shopping,,63.83%,,E02001980,% agree they plan meals before going shopping,FALSETRUE,,
E02001982,% agree they plan meals before going shopping,,68.29%,,E02001981,% agree they plan meals before going shopping,FALSETRUE,,
E02001983,% agree they plan meals before going shopping,,74.79%,,E02001982,% agree they plan meals before going shopping,FALSETRUE,,
E02001984,% agree they plan meals before going shopping,,72.48%,,E02001983,% agree they plan meals before going shopping,FALSETRUE,,
E02001985,% agree they plan meals before going shopping,,57.14%,,E02001984,% agree they plan meals before going shopping,FALSETRUE,,
E02001986,% agree they plan meals before going shopping,,66.67%,,E02001985,% agree they plan meals before going shopping,FALSETRUE,,
E02001987,% agree they plan meals before going shopping,,64.04%,,E02001986,% agree they plan meals before going shopping,FALSETRUE,,
E02001988,% agree they plan meals before going shopping,,63.64%,,E02001987,% agree they plan meals before going shopping,FALSETRUE,,
E02001989,% agree they plan meals before going shopping,,65.98%,,E02001988,% agree they plan meals before going shopping,FALSETRUE,,
E02001990,% agree they plan meals before going shopping,,63.41%,,E02001989,% agree they plan meals before going shopping,FALSETRUE,,
E02001991,% agree they plan meals before going shopping,,51.82%,,E02001990,% agree they plan meals before going shopping,FALSETRUE,,
E02001992,% agree they plan meals before going shopping,,75.00%,,E02001991,% agree they plan meals before going shopping,FALSETRUE,,
E02001993,% agree they plan meals before going shopping,,72.00%,,E02001992,% agree they plan meals before going shopping,FALSETRUE,,
E02001994,% agree they plan meals before going shopping,,75.76%,,E02001993,% agree they plan meals before going shopping,FALSETRUE,,
E02001995,% agree they plan meals before going shopping,,68.03%,,E02001994,% agree they plan meals before going shopping,FALSETRUE,,
E02001996,% agree they plan meals before going shopping,,63.53%,,E02001995,% agree they plan meals before going shopping,FALSETRUE,,
E02001997,% agree they plan meals before going shopping,,66.67%,,E02001996,% agree they plan meals before going shopping,FALSETRUE,,
E02001998,% agree they plan meals before going shopping,,69.33%,,E02001997,% agree they plan meals before going shopping,FALSETRUE,,
E02001999,% agree they plan meals before going shopping,,72.31%,,E02001998,% agree they plan meals before going shopping,FALSETRUE,,
E02006805,% agree they plan meals before going shopping,,53.95%,,E02001999,% agree they plan meals before going shopping,FALSETRUE,,
E08000026,% agree they plan meals before going shopping,,65.25%,,,,,,
E02001958,% agree where they live is a place where people from different backgrounds get along,,76.74%,,E02006805,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001959,% agree where they live is a place where people from different backgrounds get along,,60.71%,,E02001958,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001961,% agree where they live is a place where people from different backgrounds get along,,49.47%,,E02001959,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001962,% agree where they live is a place where people from different backgrounds get along,,62.22%,,E02001961,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001963,% agree where they live is a place where people from different backgrounds get along,,60.00%,,E02001962,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001964,% agree where they live is a place where people from different backgrounds get along,,50.46%,,E02001963,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001965,% agree where they live is a place where people from different backgrounds get along,,60.27%,,E02001964,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001966,% agree where they live is a place where people from different backgrounds get along,,62.32%,,E02001965,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001967,% agree where they live is a place where people from different backgrounds get along,,61.43%,,E02001966,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001968,% agree where they live is a place where people from different backgrounds get along,,47.69%,,E02001967,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001969,% agree where they live is a place where people from different backgrounds get along,,62.30%,,E02001968,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001970,% agree where they live is a place where people from different backgrounds get along,,74.00%,,E02001969,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001971,% agree where they live is a place where people from different backgrounds get along,,76.36%,,E02001970,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001972,% agree where they live is a place where people from different backgrounds get along,,61.80%,,E02001971,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001973,% agree where they live is a place where people from different backgrounds get along,,57.14%,,E02001972,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001974,% agree where they live is a place where people from different backgrounds get along,,72.07%,,E02001973,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001975,% agree where they live is a place where people from different backgrounds get along,,57.83%,,E02001974,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001976,% agree where they live is a place where people from different backgrounds get along,,70.00%,,E02001975,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001977,% agree where they live is a place where people from different backgrounds get along,,75.31%,,E02001976,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001978,% agree where they live is a place where people from different backgrounds get along,,57.81%,,E02001977,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001979,% agree where they live is a place where people from different backgrounds get along,,76.54%,,E02001978,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001980,% agree where they live is a place where people from different backgrounds get along,,81.08%,,E02001979,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001981,% agree where they live is a place where people from different backgrounds get along,,47.73%,,E02001980,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001982,% agree where they live is a place where people from different backgrounds get along,,59.79%,,E02001981,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001983,% agree where they live is a place where people from different backgrounds get along,,65.09%,,E02001982,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001984,% agree where they live is a place where people from different backgrounds get along,,76.15%,,E02001983,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001985,% agree where they live is a place where people from different backgrounds get along,,72.37%,,E02001984,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001986,% agree where they live is a place where people from different backgrounds get along,,44.44%,,E02001985,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001987,% agree where they live is a place where people from different backgrounds get along,,71.08%,,E02001986,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001988,% agree where they live is a place where people from different backgrounds get along,,82.61%,,E02001987,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001989,% agree where they live is a place where people from different backgrounds get along,,61.36%,,E02001988,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001990,% agree where they live is a place where people from different backgrounds get along,,65.82%,,E02001989,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001991,% agree where they live is a place where people from different backgrounds get along,,84.50%,,E02001990,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001992,% agree where they live is a place where people from different backgrounds get along,,49.46%,,E02001991,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001993,% agree where they live is a place where people from different backgrounds get along,,65.56%,,E02001992,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001994,% agree where they live is a place where people from different backgrounds get along,,72.63%,,E02001993,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001995,% agree where they live is a place where people from different backgrounds get along,,57.50%,,E02001994,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001996,% agree where they live is a place where people from different backgrounds get along,,59.26%,,E02001995,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001997,% agree where they live is a place where people from different backgrounds get along,,70.45%,,E02001996,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001998,% agree where they live is a place where people from different backgrounds get along,,83.78%,,E02001997,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02001999,% agree where they live is a place where people from different backgrounds get along,,76.92%,,E02001998,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E02006805,% agree where they live is a place where people from different backgrounds get along,,46.38%,,E02001999,% agree where they live is a place where people from different backgrounds get along,FALSETRUE,,
E08000026,% agree where they live is a place where people from different backgrounds get along,,64.92%,,,,,,
E02001958,% currently smoke cigarettes,,14.58%,,E02001958,% currently smoke cigarettes,TRUETRUE,,
E02001959,% currently smoke cigarettes,,12.07%,,E02001959,% currently smoke cigarettes,TRUETRUE,,
E02001961,% currently smoke cigarettes,,20.00%,,E02001961,% currently smoke cigarettes,TRUETRUE,,
E02001962,% currently smoke cigarettes,,26.09%,,E02001962,% currently smoke cigarettes,TRUETRUE,,
E02001963,% currently smoke cigarettes,,4.55%,,E02001963,% currently smoke cigarettes,TRUETRUE,,
E02001964,% currently smoke cigarettes,,19.66%,,E02001964,% currently smoke cigarettes,TRUETRUE,,
E02001965,% currently smoke cigarettes,,10.39%,,E02001965,% currently smoke cigarettes,TRUETRUE,,
E02001966,% currently smoke cigarettes,,10.00%,,E02001966,% currently smoke cigarettes,TRUETRUE,,
E02001967,% currently smoke cigarettes,,12.82%,,E02001967,% currently smoke cigarettes,TRUETRUE,,
E02001968,% currently smoke cigarettes,,12.86%,,E02001968,% currently smoke cigarettes,TRUETRUE,,
E02001969,% currently smoke cigarettes,,14.52%,,E02001969,% currently smoke cigarettes,TRUETRUE,,
E02001970,% currently smoke cigarettes,,10.77%,,E02001970,% currently smoke cigarettes,TRUETRUE,,
E02001971,% currently smoke cigarettes,,3.39%,,E02001971,% currently smoke cigarettes,TRUETRUE,,
E02001972,% currently smoke cigarettes,,20.00%,,E02001972,% currently smoke cigarettes,TRUETRUE,,
E02001973,% currently smoke cigarettes,,9.35%,,E02001973,% currently smoke cigarettes,TRUETRUE,,
E02001974,% currently smoke cigarettes,,16.38%,,E02001974,% currently smoke cigarettes,TRUETRUE,,
E02001975,% currently smoke cigarettes,,9.41%,,E02001975,% currently smoke cigarettes,TRUETRUE,,
E02001976,% currently smoke cigarettes,,4.65%,,E02001976,% currently smoke cigarettes,TRUETRUE,,
E02001977,% currently smoke cigarettes,,23.08%,,E02001977,% currently smoke cigarettes,TRUETRUE,,
E02001978,% currently smoke cigarettes,,11.76%,,E02001978,% currently smoke cigarettes,TRUETRUE,,
E02001979,% currently smoke cigarettes,,4.26%,,E02001979,% currently smoke cigarettes,TRUETRUE,,
E02001980,% currently smoke cigarettes,,3.70%,,E02001980,% currently smoke cigarettes,TRUETRUE,,
E02001981,% currently smoke cigarettes,,8.42%,,E02001981,% currently smoke cigarettes,TRUETRUE,,
E02001982,% currently smoke cigarettes,,4.03%,,E02001982,% currently smoke cigarettes,TRUETRUE,,
E02001983,% currently smoke cigarettes,,3.33%,,E02001983,% currently smoke cigarettes,TRUETRUE,,
E02001984,% currently smoke cigarettes,,6.84%,,E02001984,% currently smoke cigarettes,TRUETRUE,,
E02001985,% currently smoke cigarettes,,23.17%,,E02001985,% currently smoke cigarettes,TRUETRUE,,
E02001986,% currently smoke cigarettes,,16.19%,,E02001986,% currently smoke cigarettes,TRUETRUE,,
E02001987,% currently smoke cigarettes,,5.49%,,E02001987,% currently smoke cigarettes,TRUETRUE,,
E02001988,% currently smoke cigarettes,,18.18%,,E02001988,% currently smoke cigarettes,TRUETRUE,,
E02001989,% currently smoke cigarettes,,13.68%,,E02001989,% currently smoke cigarettes,TRUETRUE,,
E02001990,% currently smoke cigarettes,,10.98%,,E02001990,% currently smoke cigarettes,TRUETRUE,,
E02001991,% currently smoke cigarettes,,10.88%,,E02001991,% currently smoke cigarettes,TRUETRUE,,
E02001992,% currently smoke cigarettes,,17.82%,,E02001992,% currently smoke cigarettes,TRUETRUE,,
E02001993,% currently smoke cigarettes,,12.84%,,E02001993,% currently smoke cigarettes,TRUETRUE,,
E02001994,% currently smoke cigarettes,,5.00%,,E02001994,% currently smoke cigarettes,TRUETRUE,,
E02001995,% currently smoke cigarettes,,10.61%,,E02001995,% currently smoke cigarettes,TRUETRUE,,
E02001996,% currently smoke cigarettes,,22.99%,,E02001996,% currently smoke cigarettes,TRUETRUE,,
E02001997,% currently smoke cigarettes,,5.38%,,E02001997,% currently smoke cigarettes,TRUETRUE,,
E02001998,% currently smoke cigarettes,,6.67%,,E02001998,% currently smoke cigarettes,TRUETRUE,,
E02001999,% currently smoke cigarettes,,3.03%,,E02001999,% currently smoke cigarettes,TRUETRUE,,
E02006805,% currently smoke cigarettes,,7.79%,,E02006805,% currently smoke cigarettes,TRUETRUE,,
E08000026,% currently smoke cigarettes,,11.61%,,,,,,
E02001958,% currently use E-cigarettes,,2.06%,,E02001958,% currently use E-cigarettes,TRUETRUE,,
E02001959,% currently use E-cigarettes,,3.39%,,E02001959,% currently use E-cigarettes,TRUETRUE,,
E02001961,% currently use E-cigarettes,,9.01%,,E02001961,% currently use E-cigarettes,TRUETRUE,,
E02001962,% currently use E-cigarettes,,0.00%,,E02001962,% currently use E-cigarettes,TRUETRUE,,
E02001963,% currently use E-cigarettes,,6.90%,,E02001963,% currently use E-cigarettes,TRUETRUE,,
E02001964,% currently use E-cigarettes,,6.84%,,E02001964,% currently use E-cigarettes,TRUETRUE,,
E02001965,% currently use E-cigarettes,,3.95%,,E02001965,% currently use E-cigarettes,TRUETRUE,,
E02001966,% currently use E-cigarettes,,1.41%,,E02001966,% currently use E-cigarettes,TRUETRUE,,
E02001967,% currently use E-cigarettes,,7.59%,,E02001967,% currently use E-cigarettes,TRUETRUE,,
E02001968,% currently use E-cigarettes,,2.86%,,E02001968,% currently use E-cigarettes,TRUETRUE,,
E02001969,% currently use E-cigarettes,,1.54%,,E02001969,% currently use E-cigarettes,TRUETRUE,,
E02001970,% currently use E-cigarettes,,9.23%,,E02001970,% currently use E-cigarettes,TRUETRUE,,
E02001971,% currently use E-cigarettes,,5.17%,,E02001971,% currently use E-cigarettes,TRUETRUE,,
E02001972,% currently use E-cigarettes,,1.11%,,E02001972,% currently use E-cigarettes,TRUETRUE,,
E02001973,% currently use E-cigarettes,,3.74%,,E02001973,% currently use E-cigarettes,TRUETRUE,,
E02001974,% currently use E-cigarettes,,1.72%,,E02001974,% currently use E-cigarettes,TRUETRUE,,
E02001975,% currently use E-cigarettes,,7.06%,,E02001975,% currently use E-cigarettes,TRUETRUE,,
E02001976,% currently use E-cigarettes,,2.34%,,E02001976,% currently use E-cigarettes,TRUETRUE,,
E02001977,% currently use E-cigarettes,,1.10%,,E02001977,% currently use E-cigarettes,TRUETRUE,,
E02001978,% currently use E-cigarettes,,0.00%,,E02001978,% currently use E-cigarettes,TRUETRUE,,
E02001979,% currently use E-cigarettes,,6.38%,,E02001979,% currently use E-cigarettes,TRUETRUE,,
E02001980,% currently use E-cigarettes,,2.47%,,E02001980,% currently use E-cigarettes,TRUETRUE,,
E02001981,% currently use E-cigarettes,,0.00%,,E02001981,% currently use E-cigarettes,TRUETRUE,,
E02001982,% currently use E-cigarettes,,4.00%,,E02001982,% currently use E-cigarettes,TRUETRUE,,
E02001983,% currently use E-cigarettes,,0.00%,,E02001983,% currently use E-cigarettes,TRUETRUE,,
E02001984,% currently use E-cigarettes,,5.93%,,E02001984,% currently use E-cigarettes,TRUETRUE,,
E02001985,% currently use E-cigarettes,,4.88%,,E02001985,% currently use E-cigarettes,TRUETRUE,,
E02001986,% currently use E-cigarettes,,0.96%,,E02001986,% currently use E-cigarettes,TRUETRUE,,
E02001987,% currently use E-cigarettes,,4.44%,,E02001987,% currently use E-cigarettes,TRUETRUE,,
E02001988,% currently use E-cigarettes,,7.79%,,E02001988,% currently use E-cigarettes,TRUETRUE,,
E02001989,% currently use E-cigarettes,,14.74%,,E02001989,% currently use E-cigarettes,TRUETRUE,,
E02001990,% currently use E-cigarettes,,8.54%,,E02001990,% currently use E-cigarettes,TRUETRUE,,
E02001991,% currently use E-cigarettes,,0.68%,,E02001991,% currently use E-cigarettes,TRUETRUE,,
E02001992,% currently use E-cigarettes,,2.94%,,E02001992,% currently use E-cigarettes,TRUETRUE,,
E02001993,% currently use E-cigarettes,,0.00%,,E02001993,% currently use E-cigarettes,TRUETRUE,,
E02001994,% currently use E-cigarettes,,10.00%,,E02001994,% currently use E-cigarettes,TRUETRUE,,
E02001995,% currently use E-cigarettes,,2.26%,,E02001995,% currently use E-cigarettes,TRUETRUE,,
E02001996,% currently use E-cigarettes,,1.15%,,E02001996,% currently use E-cigarettes,TRUETRUE,,
E02001997,% currently use E-cigarettes,,1.08%,,E02001997,% currently use E-cigarettes,TRUETRUE,,
E02001998,% currently use E-cigarettes,,5.26%,,E02001998,% currently use E-cigarettes,TRUETRUE,,
E02001999,% currently use E-cigarettes,,0.00%,,E02001999,% currently use E-cigarettes,TRUETRUE,,
E02006805,% currently use E-cigarettes,,7.79%,,E02006805,% currently use E-cigarettes,TRUETRUE,,
E08000026,% currently use E-cigarettes,,4.01%,,,,,,
E02001958,% eat 5 portions of fruit or vegetables a day,,17.53%,,E02001958,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001959,% eat 5 portions of fruit or vegetables a day,,17.24%,,E02001959,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001961,% eat 5 portions of fruit or vegetables a day,,20.19%,,E02001961,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001962,% eat 5 portions of fruit or vegetables a day,,20.45%,,E02001962,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001963,% eat 5 portions of fruit or vegetables a day,,20.93%,,E02001963,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001964,% eat 5 portions of fruit or vegetables a day,,25.89%,,E02001964,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001965,% eat 5 portions of fruit or vegetables a day,,32.89%,,E02001965,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001966,% eat 5 portions of fruit or vegetables a day,,14.29%,,E02001966,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001967,% eat 5 portions of fruit or vegetables a day,,39.74%,,E02001967,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001968,% eat 5 portions of fruit or vegetables a day,,27.54%,,E02001968,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001969,% eat 5 portions of fruit or vegetables a day,,23.44%,,E02001969,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001970,% eat 5 portions of fruit or vegetables a day,,27.87%,,E02001970,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001971,% eat 5 portions of fruit or vegetables a day,,31.58%,,E02001971,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001972,% eat 5 portions of fruit or vegetables a day,,7.23%,,E02001972,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001973,% eat 5 portions of fruit or vegetables a day,,21.15%,,E02001973,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001974,% eat 5 portions of fruit or vegetables a day,,28.07%,,E02001974,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001975,% eat 5 portions of fruit or vegetables a day,,23.53%,,E02001975,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001976,% eat 5 portions of fruit or vegetables a day,,20.17%,,E02001976,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001977,% eat 5 portions of fruit or vegetables a day,,10.34%,,E02001977,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001978,% eat 5 portions of fruit or vegetables a day,,21.88%,,E02001978,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001979,% eat 5 portions of fruit or vegetables a day,,19.15%,,E02001979,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001980,% eat 5 portions of fruit or vegetables a day,,26.92%,,E02001980,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001981,% eat 5 portions of fruit or vegetables a day,,16.30%,,E02001981,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001982,% eat 5 portions of fruit or vegetables a day,,22.40%,,E02001982,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001983,% eat 5 portions of fruit or vegetables a day,,40.00%,,E02001983,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001984,% eat 5 portions of fruit or vegetables a day,,29.66%,,E02001984,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001985,% eat 5 portions of fruit or vegetables a day,,18.07%,,E02001985,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001986,% eat 5 portions of fruit or vegetables a day,,24.76%,,E02001986,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001987,% eat 5 portions of fruit or vegetables a day,,31.46%,,E02001987,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001988,% eat 5 portions of fruit or vegetables a day,,36.84%,,E02001988,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001989,% eat 5 portions of fruit or vegetables a day,,25.00%,,E02001989,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001990,% eat 5 portions of fruit or vegetables a day,,30.95%,,E02001990,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001991,% eat 5 portions of fruit or vegetables a day,,30.71%,,E02001991,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001992,% eat 5 portions of fruit or vegetables a day,,22.77%,,E02001992,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001993,% eat 5 portions of fruit or vegetables a day,,16.19%,,E02001993,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001994,% eat 5 portions of fruit or vegetables a day,,22.45%,,E02001994,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001995,% eat 5 portions of fruit or vegetables a day,,15.63%,,E02001995,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001996,% eat 5 portions of fruit or vegetables a day,,18.52%,,E02001996,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001997,% eat 5 portions of fruit or vegetables a day,,41.76%,,E02001997,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
E02001998,% eat 5 portions of fruit or vegetables a day,,27.63%,,E02001998,% eat 5 portions of fruit or vegetables a day,TRUETRUE,,
