MSOA,Attribute,Value,%,DupValues+.01
E02001965,AFD-All_Bookers per artform_Contemporary Visual Arts,1,0.51%,0.0151
E02001969,AFD-All_Bookers per artform_Contemporary Visual Arts,1,0.51%,0.0151
E02001976,AFD-All_Bookers per artform_Contemporary Visual Arts,1,0.51%,0.0151
E02001981,AFD-All_Bookers per artform_Contemporary Visual Arts,1,0.51%,0.0151
E02001992,AFD-All_Bookers per artform_Contemporary Visual Arts,1,0.51%,0.0151
E02001961,AFD-All_Bookers per artform_Contemporary Visual Arts,2,1.02%,0.0102
E02001968,AFD-All_Bookers per artform_Contemporary Visual Arts,2,1.02%,0.0202
E02001975,AFD-All_Bookers per artform_Contemporary Visual Arts,2,1.02%,0.0202
E02001979,AFD-All_Bookers per artform_Contemporary Visual Arts,2,1.02%,0.0202
E02001985,AFD-All_Bookers per artform_Contemporary Visual Arts,2,1.02%,0.0202
E02001958,AFD-All_Bookers per artform_Contemporary Visual Arts,3,1.53%,0.0153
E02001959,AFD-All_Bookers per artform_Contemporary Visual Arts,3,1.53%,0.0253
E02001980,AFD-All_Bookers per artform_Contemporary Visual Arts,3,1.53%,0.0253
E02001995,AFD-All_Bookers per artform_Contemporary Visual Arts,3,1.53%,0.0253
E02001967,AFD-All_Bookers per artform_Contemporary Visual Arts,4,2.04%,0.0204
E02001971,AFD-All_Bookers per artform_Contemporary Visual Arts,4,2.04%,0.0304
E02001990,AFD-All_Bookers per artform_Contemporary Visual Arts,4,2.04%,0.0304
E02001974,AFD-All_Bookers per artform_Contemporary Visual Arts,5,2.55%,0.0255
E02001977,AFD-All_Bookers per artform_Contemporary Visual Arts,5,2.55%,0.0355
E02001989,AFD-All_Bookers per artform_Contemporary Visual Arts,5,2.55%,0.0355
E02001982,AFD-All_Bookers per artform_Contemporary Visual Arts,6,3.06%,0.0306
E02001983,AFD-All_Bookers per artform_Contemporary Visual Arts,6,3.06%,0.0406
E02001984,AFD-All_Bookers per artform_Contemporary Visual Arts,7,3.57%,0.0357
E02001994,AFD-All_Bookers per artform_Contemporary Visual Arts,7,3.57%,0.0457
E02001988,AFD-All_Bookers per artform_Contemporary Visual Arts,9,4.59%,0.0459
E02001998,AFD-All_Bookers per artform_Contemporary Visual Arts,9,4.59%,0.0559
E02001993,AFD-All_Bookers per artform_Contemporary Visual Arts,11,5.61%,0.0561
E02001987,AFD-All_Bookers per artform_Contemporary Visual Arts,14,7.14%,0.0714
E02001997,AFD-All_Bookers per artform_Contemporary Visual Arts,15,7.65%,0.0765
E02001999,AFD-All_Bookers per artform_Contemporary Visual Arts,16,8.16%,0.0816
E02001991,AFD-All_Bookers per artform_Contemporary Visual Arts,39,19.90%,0.199
E02001966,AFD-All_Bookers per artform_Dance,27,0.38%,0.0038
E02001972,AFD-All_Bookers per artform_Dance,32,0.45%,0.0045
E02001981,AFD-All_Bookers per artform_Dance,56,0.79%,0.0079
E02001961,AFD-All_Bookers per artform_Dance,62,0.87%,0.0087
E02001985,AFD-All_Bookers per artform_Dance,63,0.89%,0.0089
E02001962,AFD-All_Bookers per artform_Dance,66,0.93%,0.0093
E02001996,AFD-All_Bookers per artform_Dance,70,0.99%,0.0099
E02001964,AFD-All_Bookers per artform_Dance,77,1.08%,0.0108
E02001968,AFD-All_Bookers per artform_Dance,93,1.31%,0.0131
E02001970,AFD-All_Bookers per artform_Dance,94,1.32%,0.0132
E02001973,AFD-All_Bookers per artform_Dance,101,1.42%,0.0142
E02001969,AFD-All_Bookers per artform_Dance,103,1.45%,0.0145
E02001978,AFD-All_Bookers per artform_Dance,116,1.63%,0.0163
E02006805,AFD-All_Bookers per artform_Dance,116,1.63%,0.0263
E02001958,AFD-All_Bookers per artform_Dance,119,1.68%,0.0168
E02001959,AFD-All_Bookers per artform_Dance,120,1.69%,0.0169
E02001989,AFD-All_Bookers per artform_Dance,133,1.87%,0.0187
E02001976,AFD-All_Bookers per artform_Dance,135,1.90%,0.019
E02001977,AFD-All_Bookers per artform_Dance,137,1.93%,0.0193
E02001992,AFD-All_Bookers per artform_Dance,152,2.14%,0.0214
E02001963,AFD-All_Bookers per artform_Dance,157,2.21%,0.0221
E02001986,AFD-All_Bookers per artform_Dance,159,2.24%,0.0224
E02001975,AFD-All_Bookers per artform_Dance,164,2.31%,0.0231
E02001965,AFD-All_Bookers per artform_Dance,166,2.34%,0.0234
E02001988,AFD-All_Bookers per artform_Dance,173,2.44%,0.0244
E02001971,AFD-All_Bookers per artform_Dance,174,2.45%,0.0245
E02001995,AFD-All_Bookers per artform_Dance,187,2.63%,0.0263
E02001979,AFD-All_Bookers per artform_Dance,195,2.75%,0.0275
E02001980,AFD-All_Bookers per artform_Dance,198,2.79%,0.0279
E02001987,AFD-All_Bookers per artform_Dance,202,2.85%,0.0285
E02001993,AFD-All_Bookers per artform_Dance,207,2.92%,0.0292
E02001998,AFD-All_Bookers per artform_Dance,238,3.35%,0.0335
E02001984,AFD-All_Bookers per artform_Dance,244,3.44%,0.0344
E02001999,AFD-All_Bookers per artform_Dance,251,3.54%,0.0354
E02001982,AFD-All_Bookers per artform_Dance,261,3.68%,0.0368
E02001990,AFD-All_Bookers per artform_Dance,261,3.68%,0.0468
E02001967,AFD-All_Bookers per artform_Dance,270,3.80%,0.038
E02001983,AFD-All_Bookers per artform_Dance,270,3.80%,0.048
E02001994,AFD-All_Bookers per artform_Dance,301,4.24%,0.0424
E02001974,AFD-All_Bookers per artform_Dance,304,4.28%,0.0428
E02001997,AFD-All_Bookers per artform_Dance,362,5.10%,0.051
E02001991,AFD-All_Bookers per artform_Dance,482,6.79%,0.0679
E02001966,AFD-All_Bookers per artform_Film,7,0.14%,0.0014
E02001961,AFD-All_Bookers per artform_Film,13,0.26%,0.0026
E02001964,AFD-All_Bookers per artform_Film,13,0.26%,0.0126
E02001981,AFD-All_Bookers per artform_Film,15,0.29%,0.0029
E02001962,AFD-All_Bookers per artform_Film,16,0.31%,0.0031
E02001970,AFD-All_Bookers per artform_Film,19,0.37%,0.0037
E02001972,AFD-All_Bookers per artform_Film,19,0.37%,0.0137
E02001996,AFD-All_Bookers per artform_Film,20,0.39%,0.0039
E02001968,AFD-All_Bookers per artform_Film,23,0.45%,0.0045
E02001973,AFD-All_Bookers per artform_Film,25,0.49%,0.0049
E02006805,AFD-All_Bookers per artform_Film,28,0.55%,0.0055
E02001963,AFD-All_Bookers per artform_Film,32,0.63%,0.0063
E02001959,AFD-All_Bookers per artform_Film,33,0.65%,0.0065
E02001985,AFD-All_Bookers per artform_Film,34,0.67%,0.0067
E02001992,AFD-All_Bookers per artform_Film,34,0.67%,0.0167
E02001958,AFD-All_Bookers per artform_Film,39,0.77%,0.0077
E02001976,AFD-All_Bookers per artform_Film,39,0.77%,0.0177
E02001969,AFD-All_Bookers per artform_Film,40,0.79%,0.0079
E02001978,AFD-All_Bookers per artform_Film,41,0.81%,0.0081
E02001965,AFD-All_Bookers per artform_Film,48,0.94%,0.0094
E02001975,AFD-All_Bookers per artform_Film,49,0.96%,0.0096
E02001977,AFD-All_Bookers per artform_Film,65,1.28%,0.0128
E02001971,AFD-All_Bookers per artform_Film,69,1.36%,0.0136
E02001995,AFD-All_Bookers per artform_Film,70,1.38%,0.0138
E02001990,AFD-All_Bookers per artform_Film,86,1.69%,0.0169
E02001986,AFD-All_Bookers per artform_Film,101,1.99%,0.0199
E02001984,AFD-All_Bookers per artform_Film,106,2.08%,0.0208
E02001979,AFD-All_Bookers per artform_Film,115,2.26%,0.0226
E02001974,AFD-All_Bookers per artform_Film,139,2.73%,0.0273
E02001989,AFD-All_Bookers per artform_Film,142,2.79%,0.0279
E02001994,AFD-All_Bookers per artform_Film,144,2.83%,0.0283
E02001967,AFD-All_Bookers per artform_Film,159,3.13%,0.0313
E02001980,AFD-All_Bookers per artform_Film,163,3.20%,0.032
E02001982,AFD-All_Bookers per artform_Film,189,3.72%,0.0372
E02001998,AFD-All_Bookers per artform_Film,189,3.72%,0.0472
E02001988,AFD-All_Bookers per artform_Film,199,3.91%,0.0391
E02001983,AFD-All_Bookers per artform_Film,200,3.93%,0.0393
E02001997,AFD-All_Bookers per artform_Film,239,4.70%,0.047
E02001993,AFD-All_Bookers per artform_Film,387,7.61%,0.0761
E02001987,AFD-All_Bookers per artform_Film,400,7.86%,0.0786
E02001999,AFD-All_Bookers per artform_Film,565,11.11%,0.1111
E02001991,AFD-All_Bookers per artform_Film,772,15.18%,0.1518
E02001966,AFD-All_Bookers per artform_General Entertainment,30,0.28%,0.0028
E02001972,AFD-All_Bookers per artform_General Entertainment,64,0.59%,0.0059
E02001981,AFD-All_Bookers per artform_General Entertainment,76,0.70%,0.007
E02001962,AFD-All_Bookers per artform_General Entertainment,103,0.95%,0.0095
E02001964,AFD-All_Bookers per artform_General Entertainment,113,1.04%,0.0104
E02001985,AFD-All_Bookers per artform_General Entertainment,117,1.08%,0.0108
E02001996,AFD-All_Bookers per artform_General Entertainment,124,1.14%,0.0114
E02001961,AFD-All_Bookers per artform_General Entertainment,133,1.23%,0.0123
E02001970,AFD-All_Bookers per artform_General Entertainment,153,1.41%,0.0141
E02001968,AFD-All_Bookers per artform_General Entertainment,159,1.47%,0.0147
E02006805,AFD-All_Bookers per artform_General Entertainment,173,1.59%,0.0159
E02001969,AFD-All_Bookers per artform_General Entertainment,176,1.62%,0.0162
E02001973,AFD-All_Bookers per artform_General Entertainment,187,1.72%,0.0172
E02001992,AFD-All_Bookers per artform_General Entertainment,195,1.80%,0.018
E02001977,AFD-All_Bookers per artform_General Entertainment,196,1.81%,0.0181
E02001988,AFD-All_Bookers per artform_General Entertainment,200,1.84%,0.0184
E02001976,AFD-All_Bookers per artform_General Entertainment,202,1.86%,0.0186
E02001978,AFD-All_Bookers per artform_General Entertainment,203,1.87%,0.0187
E02001959,AFD-All_Bookers per artform_General Entertainment,208,1.92%,0.0192
E02001958,AFD-All_Bookers per artform_General Entertainment,209,1.93%,0.0193
E02001963,AFD-All_Bookers per artform_General Entertainment,210,1.94%,0.0194
E02001975,AFD-All_Bookers per artform_General Entertainment,222,2.05%,0.0205
E02001989,AFD-All_Bookers per artform_General Entertainment,250,2.30%,0.023
E02001971,AFD-All_Bookers per artform_General Entertainment,251,2.31%,0.0231
E02001965,AFD-All_Bookers per artform_General Entertainment,254,2.34%,0.0234
E02001995,AFD-All_Bookers per artform_General Entertainment,267,2.46%,0.0246
E02001986,AFD-All_Bookers per artform_General Entertainment,279,2.57%,0.0257
E02001980,AFD-All_Bookers per artform_General Entertainment,307,2.83%,0.0283
E02001994,AFD-All_Bookers per artform_General Entertainment,316,2.91%,0.0291
E02001998,AFD-All_Bookers per artform_General Entertainment,317,2.92%,0.0292
E02001979,AFD-All_Bookers per artform_General Entertainment,322,2.97%,0.0297
E02001993,AFD-All_Bookers per artform_General Entertainment,352,3.24%,0.0324
E02001967,AFD-All_Bookers per artform_General Entertainment,368,3.39%,0.0339
E02001999,AFD-All_Bookers per artform_General Entertainment,374,3.45%,0.0345
E02001987,AFD-All_Bookers per artform_General Entertainment,382,3.52%,0.0352
E02001984,AFD-All_Bookers per artform_General Entertainment,398,3.67%,0.0367
E02001990,AFD-All_Bookers per artform_General Entertainment,403,3.71%,0.0371
E02001983,AFD-All_Bookers per artform_General Entertainment,409,3.77%,0.0377
E02001997,AFD-All_Bookers per artform_General Entertainment,447,4.12%,0.0412
E02001982,AFD-All_Bookers per artform_General Entertainment,453,4.17%,0.0417
E02001974,AFD-All_Bookers per artform_General Entertainment,513,4.73%,0.0473
E02001991,AFD-All_Bookers per artform_General Entertainment,737,6.79%,0.0679
E02001970,AFD-All_Bookers per artform_Literature,0,0.00%,0
E02006805,AFD-All_Bookers per artform_Literature,0,0.00%,0.01
E02001964,AFD-All_Bookers per artform_Literature,1,0.33%,0.0033
E02001965,AFD-All_Bookers per artform_Literature,1,0.33%,0.0133
E02001966,AFD-All_Bookers per artform_Literature,1,0.33%,0.0133
E02001996,AFD-All_Bookers per artform_Literature,1,0.33%,0.0133
E02001961,AFD-All_Bookers per artform_Literature,2,0.66%,0.0066
E02001969,AFD-All_Bookers per artform_Literature,2,0.66%,0.0166
E02001973,AFD-All_Bookers per artform_Literature,2,0.66%,0.0166
E02001963,AFD-All_Bookers per artform_Literature,3,0.99%,0.0099
E02001979,AFD-All_Bookers per artform_Literature,3,0.99%,0.0199
E02001981,AFD-All_Bookers per artform_Literature,3,0.99%,0.0199
E02001985,AFD-All_Bookers per artform_Literature,3,0.99%,0.0199
E02001992,AFD-All_Bookers per artform_Literature,3,0.99%,0.0199
E02001958,AFD-All_Bookers per artform_Literature,4,1.32%,0.0132
E02001968,AFD-All_Bookers per artform_Literature,4,1.32%,0.0232
E02001972,AFD-All_Bookers per artform_Literature,4,1.32%,0.0232
E02001977,AFD-All_Bookers per artform_Literature,4,1.32%,0.0232
E02001962,AFD-All_Bookers per artform_Literature,5,1.65%,0.0165
E02001975,AFD-All_Bookers per artform_Literature,5,1.65%,0.0265
E02001978,AFD-All_Bookers per artform_Literature,5,1.65%,0.0265
E02001990,AFD-All_Bookers per artform_Literature,5,1.65%,0.0265
E02001976,AFD-All_Bookers per artform_Literature,6,1.98%,0.0198
E02001980,AFD-All_Bookers per artform_Literature,6,1.98%,0.0298
E02001986,AFD-All_Bookers per artform_Literature,6,1.98%,0.0298
E02001989,AFD-All_Bookers per artform_Literature,6,1.98%,0.0298
E02001959,AFD-All_Bookers per artform_Literature,7,2.31%,0.0231
E02001988,AFD-All_Bookers per artform_Literature,7,2.31%,0.0331
E02001995,AFD-All_Bookers per artform_Literature,7,2.31%,0.0331
E02001971,AFD-All_Bookers per artform_Literature,8,2.64%,0.0264
E02001999,AFD-All_Bookers per artform_Literature,8,2.64%,0.0364
E02001998,AFD-All_Bookers per artform_Literature,10,3.30%,0.033
E02001974,AFD-All_Bookers per artform_Literature,11,3.63%,0.0363
E02001982,AFD-All_Bookers per artform_Literature,11,3.63%,0.0463
E02001984,AFD-All_Bookers per artform_Literature,11,3.63%,0.0463
E02001994,AFD-All_Bookers per artform_Literature,12,3.96%,0.0396
E02001967,AFD-All_Bookers per artform_Literature,13,4.29%,0.0429
E02001983,AFD-All_Bookers per artform_Literature,13,4.29%,0.0529
E02001993,AFD-All_Bookers per artform_Literature,13,4.29%,0.0529
E02001997,AFD-All_Bookers per artform_Literature,15,4.95%,0.0495
E02001987,AFD-All_Bookers per artform_Literature,21,6.93%,0.0693
E02001991,AFD-All_Bookers per artform_Literature,51,16.83%,0.1683
E02001972,AFD-All_Bookers per artform_Museums/Heritage,18,0.61%,0.0061
E02001966,AFD-All_Bookers per artform_Museums/Heritage,20,0.67%,0.0067
E02001981,AFD-All_Bookers per artform_Museums/Heritage,22,0.74%,0.0074
E02001962,AFD-All_Bookers per artform_Museums/Heritage,29,0.97%,0.0097
E02001996,AFD-All_Bookers per artform_Museums/Heritage,34,1.14%,0.0114
E02001985,AFD-All_Bookers per artform_Museums/Heritage,39,1.31%,0.0131
E02001988,AFD-All_Bookers per artform_Museums/Heritage,45,1.51%,0.0151
E02001970,AFD-All_Bookers per artform_Museums/Heritage,48,1.61%,0.0161
E02001987,AFD-All_Bookers per artform_Museums/Heritage,48,1.61%,0.0261
E02001969,AFD-All_Bookers per artform_Museums/Heritage,51,1.71%,0.0171
E02001978,AFD-All_Bookers per artform_Museums/Heritage,53,1.78%,0.0178
E02001964,AFD-All_Bookers per artform_Museums/Heritage,57,1.92%,0.0192
E02001961,AFD-All_Bookers per artform_Museums/Heritage,58,1.95%,0.0195
E02001968,AFD-All_Bookers per artform_Museums/Heritage,58,1.95%,0.0295
E02001999,AFD-All_Bookers per artform_Museums/Heritage,61,2.05%,0.0205
E02006805,AFD-All_Bookers per artform_Museums/Heritage,61,2.05%,0.0305
E02001973,AFD-All_Bookers per artform_Museums/Heritage,62,2.08%,0.0208
E02001977,AFD-All_Bookers per artform_Museums/Heritage,62,2.08%,0.0308
E02001963,AFD-All_Bookers per artform_Museums/Heritage,64,2.15%,0.0215
E02001975,AFD-All_Bookers per artform_Museums/Heritage,64,2.15%,0.0315
E02001959,AFD-All_Bookers per artform_Museums/Heritage,65,2.18%,0.0218
E02001998,AFD-All_Bookers per artform_Museums/Heritage,67,2.25%,0.0225
E02001976,AFD-All_Bookers per artform_Museums/Heritage,70,2.35%,0.0235
E02001979,AFD-All_Bookers per artform_Museums/Heritage,74,2.49%,0.0249
E02001992,AFD-All_Bookers per artform_Museums/Heritage,80,2.69%,0.0269
E02001971,AFD-All_Bookers per artform_Museums/Heritage,81,2.72%,0.0272
E02001995,AFD-All_Bookers per artform_Museums/Heritage,83,2.79%,0.0279
E02001989,AFD-All_Bookers per artform_Museums/Heritage,84,2.82%,0.0282
E02001965,AFD-All_Bookers per artform_Museums/Heritage,86,2.89%,0.0289
E02001980,AFD-All_Bookers per artform_Museums/Heritage,87,2.92%,0.0292
E02001958,AFD-All_Bookers per artform_Museums/Heritage,88,2.96%,0.0296
E02001967,AFD-All_Bookers per artform_Museums/Heritage,90,3.03%,0.0303
E02001993,AFD-All_Bookers per artform_Museums/Heritage,90,3.03%,0.0403
E02001994,AFD-All_Bookers per artform_Museums/Heritage,90,3.03%,0.0403
E02001997,AFD-All_Bookers per artform_Museums/Heritage,92,3.09%,0.0309
E02001983,AFD-All_Bookers per artform_Museums/Heritage,95,3.19%,0.0319
E02001986,AFD-All_Bookers per artform_Museums/Heritage,99,3.33%,0.0333
E02001990,AFD-All_Bookers per artform_Museums/Heritage,103,3.46%,0.0346
E02001974,AFD-All_Bookers per artform_Museums/Heritage,118,3.97%,0.0397
E02001991,AFD-All_Bookers per artform_Museums/Heritage,118,3.97%,0.0497
E02001984,AFD-All_Bookers per artform_Museums/Heritage,126,4.24%,0.0424
E02001982,AFD-All_Bookers per artform_Museums/Heritage,135,4.54%,0.0454
E02001966,AFD-All_Bookers per artform_Music,53,0.34%,0.0034
E02001972,AFD-All_Bookers per artform_Music,93,0.60%,0.006
E02001981,AFD-All_Bookers per artform_Music,116,0.75%,0.0075
E02001962,AFD-All_Bookers per artform_Music,124,0.80%,0.008
E02001985,AFD-All_Bookers per artform_Music,137,0.89%,0.0089
E02001964,AFD-All_Bookers per artform_Music,174,1.12%,0.0112
E02001996,AFD-All_Bookers per artform_Music,185,1.20%,0.012
E02006805,AFD-All_Bookers per artform_Music,200,1.29%,0.0129
E02001961,AFD-All_Bookers per artform_Music,213,1.38%,0.0138
E02001973,AFD-All_Bookers per artform_Music,227,1.47%,0.0147
E02001970,AFD-All_Bookers per artform_Music,234,1.51%,0.0151
E02001969,AFD-All_Bookers per artform_Music,243,1.57%,0.0157
E02001968,AFD-All_Bookers per artform_Music,250,1.62%,0.0162
E02001958,AFD-All_Bookers per artform_Music,283,1.83%,0.0183
E02001959,AFD-All_Bookers per artform_Music,285,1.84%,0.0184
E02001978,AFD-All_Bookers per artform_Music,287,1.86%,0.0186
E02001977,AFD-All_Bookers per artform_Music,289,1.87%,0.0187
E02001992,AFD-All_Bookers per artform_Music,289,1.87%,0.0287
E02001976,AFD-All_Bookers per artform_Music,319,2.06%,0.0206
E02001975,AFD-All_Bookers per artform_Music,329,2.13%,0.0213
E02001965,AFD-All_Bookers per artform_Music,345,2.23%,0.0223
E02001986,AFD-All_Bookers per artform_Music,353,2.28%,0.0228
E02001963,AFD-All_Bookers per artform_Music,356,2.30%,0.023
E02001995,AFD-All_Bookers per artform_Music,368,2.38%,0.0238
E02001971,AFD-All_Bookers per artform_Music,371,2.40%,0.024
E02001988,AFD-All_Bookers per artform_Music,383,2.48%,0.0248
E02001989,AFD-All_Bookers per artform_Music,386,2.49%,0.0249
E02001979,AFD-All_Bookers per artform_Music,400,2.59%,0.0259
E02001998,AFD-All_Bookers per artform_Music,451,2.92%,0.0292
E02001994,AFD-All_Bookers per artform_Music,466,3.01%,0.0301
E02001984,AFD-All_Bookers per artform_Music,477,3.08%,0.0308
E02001980,AFD-All_Bookers per artform_Music,478,3.09%,0.0309
E02001967,AFD-All_Bookers per artform_Music,537,3.47%,0.0347
E02001982,AFD-All_Bookers per artform_Music,543,3.51%,0.0351
E02001997,AFD-All_Bookers per artform_Music,557,3.60%,0.036
E02001993,AFD-All_Bookers per artform_Music,560,3.62%,0.0362
E02001983,AFD-All_Bookers per artform_Music,569,3.68%,0.0368
E02001987,AFD-All_Bookers per artform_Music,587,3.79%,0.0379
E02001990,AFD-All_Bookers per artform_Music,607,3.92%,0.0392
E02001974,AFD-All_Bookers per artform_Music,652,4.21%,0.0421
E02001999,AFD-All_Bookers per artform_Music,677,4.38%,0.0438
E02001991,AFD-All_Bookers per artform_Music,1018,6.58%,0.0658
E02001966,AFD-All_Bookers per artform_Musical Theatre,63,0.42%,0.0042
E02001972,AFD-All_Bookers per artform_Musical Theatre,84,0.55%,0.0055
E02001981,AFD-All_Bookers per artform_Musical Theatre,89,0.59%,0.0059
E02001985,AFD-All_Bookers per artform_Musical Theatre,144,0.95%,0.0095
E02001962,AFD-All_Bookers per artform_Musical Theatre,145,0.96%,0.0096
E02001996,AFD-All_Bookers per artform_Musical Theatre,173,1.14%,0.0114
E02001964,AFD-All_Bookers per artform_Musical Theatre,192,1.27%,0.0127
E02001961,AFD-All_Bookers per artform_Musical Theatre,201,1.33%,0.0133
E02006805,AFD-All_Bookers per artform_Musical Theatre,219,1.44%,0.0144
E02001973,AFD-All_Bookers per artform_Musical Theatre,228,1.50%,0.015
E02001969,AFD-All_Bookers per artform_Musical Theatre,230,1.52%,0.0152
E02001968,AFD-All_Bookers per artform_Musical Theatre,234,1.54%,0.0154
E02001970,AFD-All_Bookers per artform_Musical Theatre,250,1.65%,0.0165
E02001977,AFD-All_Bookers per artform_Musical Theatre,259,1.71%,0.0171
E02001988,AFD-All_Bookers per artform_Musical Theatre,278,1.83%,0.0183
E02001978,AFD-All_Bookers per artform_Musical Theatre,293,1.93%,0.0193
E02001987,AFD-All_Bookers per artform_Musical Theatre,296,1.95%,0.0195
E02001989,AFD-All_Bookers per artform_Musical Theatre,315,2.08%,0.0208
E02001959,AFD-All_Bookers per artform_Musical Theatre,330,2.18%,0.0218
E02001976,AFD-All_Bookers per artform_Musical Theatre,336,2.22%,0.0222
E02001992,AFD-All_Bookers per artform_Musical Theatre,338,2.23%,0.0223
E02001986,AFD-All_Bookers per artform_Musical Theatre,344,2.27%,0.0227
E02001995,AFD-All_Bookers per artform_Musical Theatre,345,2.27%,0.0327
E02001958,AFD-All_Bookers per artform_Musical Theatre,349,2.30%,0.023
E02001993,AFD-All_Bookers per artform_Musical Theatre,382,2.52%,0.0252
E02001963,AFD-All_Bookers per artform_Musical Theatre,397,2.62%,0.0262
E02001971,AFD-All_Bookers per artform_Musical Theatre,406,2.68%,0.0268
E02001998,AFD-All_Bookers per artform_Musical Theatre,413,2.72%,0.0272
E02001999,AFD-All_Bookers per artform_Musical Theatre,422,2.78%,0.0278
E02001975,AFD-All_Bookers per artform_Musical Theatre,435,2.87%,0.0287
E02001979,AFD-All_Bookers per artform_Musical Theatre,457,3.01%,0.0301
E02001994,AFD-All_Bookers per artform_Musical Theatre,472,3.11%,0.0311
E02001965,AFD-All_Bookers per artform_Musical Theatre,486,3.20%,0.032
E02001984,AFD-All_Bookers per artform_Musical Theatre,496,3.27%,0.0327
E02001983,AFD-All_Bookers per artform_Musical Theatre,513,3.38%,0.0338
E02001980,AFD-All_Bookers per artform_Musical Theatre,555,3.66%,0.0366
E02001967,AFD-All_Bookers per artform_Musical Theatre,596,3.93%,0.0393
E02001982,AFD-All_Bookers per artform_Musical Theatre,628,4.14%,0.0414
E02001997,AFD-All_Bookers per artform_Musical Theatre,651,4.29%,0.0429
E02001974,AFD-All_Bookers per artform_Musical Theatre,693,4.57%,0.0457
E02001990,AFD-All_Bookers per artform_Musical Theatre,694,4.58%,0.0458
E02001991,AFD-All_Bookers per artform_Musical Theatre,736,4.85%,0.0485
E02001966,AFD-All_Bookers per artform_Other Artforms,2,0.23%,0.0023
E02001961,AFD-All_Bookers per artform_Other Artforms,4,0.47%,0.0047
E02001964,AFD-All_Bookers per artform_Other Artforms,4,0.47%,0.0147
E02001962,AFD-All_Bookers per artform_Other Artforms,5,0.59%,0.0059
E02001996,AFD-All_Bookers per artform_Other Artforms,5,0.59%,0.0159
E02001958,AFD-All_Bookers per artform_Other Artforms,6,0.70%,0.007
E02001973,AFD-All_Bookers per artform_Other Artforms,6,0.70%,0.017
E02001959,AFD-All_Bookers per artform_Other Artforms,7,0.82%,0.0082
E02001981,AFD-All_Bookers per artform_Other Artforms,7,0.82%,0.0182
E02006805,AFD-All_Bookers per artform_Other Artforms,7,0.82%,0.0182
E02001968,AFD-All_Bookers per artform_Other Artforms,8,0.94%,0.0094
E02001970,AFD-All_Bookers per artform_Other Artforms,9,1.06%,0.0106
E02001963,AFD-All_Bookers per artform_Other Artforms,10,1.17%,0.0117
E02001972,AFD-All_Bookers per artform_Other Artforms,11,1.29%,0.0129
E02001975,AFD-All_Bookers per artform_Other Artforms,11,1.29%,0.0229
E02001985,AFD-All_Bookers per artform_Other Artforms,11,1.29%,0.0229
E02001965,AFD-All_Bookers per artform_Other Artforms,13,1.53%,0.0153
E02001986,AFD-All_Bookers per artform_Other Artforms,13,1.53%,0.0253
E02001992,AFD-All_Bookers per artform_Other Artforms,14,1.64%,0.0164
E02001969,AFD-All_Bookers per artform_Other Artforms,16,1.88%,0.0188
E02001977,AFD-All_Bookers per artform_Other Artforms,16,1.88%,0.0288
E02001971,AFD-All_Bookers per artform_Other Artforms,17,2.00%,0.02
E02001976,AFD-All_Bookers per artform_Other Artforms,17,2.00%,0.03
E02001978,AFD-All_Bookers per artform_Other Artforms,18,2.11%,0.0211
E02001989,AFD-All_Bookers per artform_Other Artforms,18,2.11%,0.0311
E02001990,AFD-All_Bookers per artform_Other Artforms,18,2.11%,0.0311
E02001980,AFD-All_Bookers per artform_Other Artforms,20,2.35%,0.0235
E02001995,AFD-All_Bookers per artform_Other Artforms,21,2.46%,0.0246
E02001979,AFD-All_Bookers per artform_Other Artforms,22,2.58%,0.0258
E02001988,AFD-All_Bookers per artform_Other Artforms,25,2.93%,0.0293
E02001984,AFD-All_Bookers per artform_Other Artforms,27,3.17%,0.0317
E02001993,AFD-All_Bookers per artform_Other Artforms,27,3.17%,0.0417
E02001982,AFD-All_Bookers per artform_Other Artforms,30,3.52%,0.0352
E02001967,AFD-All_Bookers per artform_Other Artforms,32,3.76%,0.0376
E02001994,AFD-All_Bookers per artform_Other Artforms,33,3.87%,0.0387
E02001974,AFD-All_Bookers per artform_Other Artforms,37,4.34%,0.0434
E02001998,AFD-All_Bookers per artform_Other Artforms,40,4.69%,0.0469
E02001983,AFD-All_Bookers per artform_Other Artforms,41,4.81%,0.0481
E02001987,AFD-All_Bookers per artform_Other Artforms,42,4.93%,0.0493
E02001997,AFD-All_Bookers per artform_Other Artforms,45,5.28%,0.0528
E02001999,AFD-All_Bookers per artform_Other Artforms,47,5.52%,0.0552
E02001991,AFD-All_Bookers per artform_Other Artforms,90,10.56%,0.1056
E02001965,AFD-All_Bookers per artform_Outdoor Arts,0,0.00%,0
E02001966,AFD-All_Bookers per artform_Outdoor Arts,0,0.00%,0.01
E02001961,AFD-All_Bookers per artform_Outdoor Arts,1,0.49%,0.0049
E02001962,AFD-All_Bookers per artform_Outdoor Arts,1,0.49%,0.0149
E02001968,AFD-All_Bookers per artform_Outdoor Arts,1,0.49%,0.0149
E02001969,AFD-All_Bookers per artform_Outdoor Arts,1,0.49%,0.0149
E02001996,AFD-All_Bookers per artform_Outdoor Arts,1,0.49%,0.0149
E02001964,AFD-All_Bookers per artform_Outdoor Arts,2,0.98%,0.0098
E02001972,AFD-All_Bookers per artform_Outdoor Arts,2,0.98%,0.0198
