Attribute,Theme,Order,Hyperlink - link to a pdf or a webpage poss FAC poss CoC,Notes
Q24a - Tick the box that best describes your experience over the past two weeks: I've been feeling optimistic about the future - Often,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Often' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling optimistic about the future 
Q24a - Tick the box that best describes your experience over the past two weeks: I've been feeling optimistic about the future - Rarely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Rarely' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling optimistic about the future 
Q24a - Tick the box that best describes your experience over the past two weeks: I've been feeling optimistic about the future - Some of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Some of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling optimistic about the future 
Q24b - Tick the box that best describes your experience over the past two weeks: I've been feeling useful - All of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'All of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling useful 
Q24b - Tick the box that best describes your experience over the past two weeks: I've been feeling useful - None of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'None of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling useful 
Q24b - Tick the box that best describes your experience over the past two weeks: I've been feeling useful - Often,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Often' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling useful 
Q24b - Tick the box that best describes your experience over the past two weeks: I've been feeling useful - Rarely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Rarely' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling useful 
Q24b - Tick the box that best describes your experience over the past two weeks: I've been feeling useful - Some of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Some of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling useful 
Q24c - Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed - All of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'All of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed 
Q24c - Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed - None of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'None of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed 
Q24c - Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed - Often,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Often' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed 
Q24c - Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed - Rarely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Rarely' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed 
Q24c - Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed - Some of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Some of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling relaxed 
Q24d - Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well - All of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'All of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well 
Q24d - Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well - None of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'None of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well 
Q24d - Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well - Often,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Often' to the question: Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well 
Q24d - Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well - Rarely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Rarely' to the question: Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well 
Q24d - Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well - Some of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Some of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been dealing with problems well 
Q24e - Tick the box that best describes your experience over the past two weeks: I've been thinking clearly - All of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'All of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been thinking clearly 
Q24e - Tick the box that best describes your experience over the past two weeks: I've been thinking clearly - None of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'None of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been thinking clearly 
Q24e - Tick the box that best describes your experience over the past two weeks: I've been thinking clearly - Often,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Often' to the question: Tick the box that best describes your experience over the past two weeks: I've been thinking clearly 
Q24e - Tick the box that best describes your experience over the past two weeks: I've been thinking clearly - Rarely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Rarely' to the question: Tick the box that best describes your experience over the past two weeks: I've been thinking clearly 
Q24e - Tick the box that best describes your experience over the past two weeks: I've been thinking clearly - Some of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Some of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been thinking clearly 
Q24f - Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people - All of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'All of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people 
Q24f - Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people - None of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'None of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people 
Q24f - Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people - Often,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Often' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people 
Q24f - Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people - Rarely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Rarely' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people 
Q24f - Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people - Some of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Some of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been feeling close to other people 
Q24g - Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things - All of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'All of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things 
Q24g - Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things - None of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'None of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things 
Q24g - Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things - Often,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Often' to the question: Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things 
Q24g - Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things - Rarely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Rarely' to the question: Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things 
Q24g - Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things - Some of the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Some of the time' to the question: Tick the box that best describes your experience over the past two weeks: I've been able to make up my own mind about things 
"Q25 - Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?  - Not at all",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Not at all' to the question: Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?  "
"Q25 - Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?  - Yes, limited a little",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, limited a little' to the question: Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?  "
"Q25 - Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?  - Yes, limited a lot",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Yes, limited a lot' to the question: Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?  "
Q26 - How often would you say you have been worried about money during the last few weeks? - Almost all the time,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Almost all the time' to the question: How often would you say you have been worried about money during the last few weeks? 
Q26 - How often would you say you have been worried about money during the last few weeks? - Never,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Never' to the question: How often would you say you have been worried about money during the last few weeks? 
Q26 - How often would you say you have been worried about money during the last few weeks? - Only sometimes,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Only sometimes' to the question: How often would you say you have been worried about money during the last few weeks? 
Q26 - How often would you say you have been worried about money during the last few weeks? - Quite often,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Quite often' to the question: How often would you say you have been worried about money during the last few weeks? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Bicycle,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Bicycle' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Bus,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Bus' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Car as a driver,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Car as a driver' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Car as a passenger,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Car as a passenger' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Motorbike,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Motorbike' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Park and Ride,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Park and Ride' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Taxi or Uber,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Taxi or Uber' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Train,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Train' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Tram/Metro,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tram/Metro' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27a - What is the main form of transport you have used in the last 12 months to travel to work? - Walking,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Walking' to the question: What is the main form of transport you have used in the last 12 months to travel to work? 
Q27b - What is the main form of transport you have used in the last 12 months for education? - Bicycle,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Bicycle' to the question: What is the main form of transport you have used in the last 12 months for education? 
Q27b - What is the main form of transport you have used in the last 12 months for education? - Bus,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Bus' to the question: What is the main form of transport you have used in the last 12 months for education? 
Q27b - What is the main form of transport you have used in the last 12 months for education? - Car as a driver,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Car as a driver' to the question: What is the main form of transport you have used in the last 12 months for education? 
Q27b - What is the main form of transport you have used in the last 12 months for education? - Car as a passenger,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Car as a passenger' to the question: What is the main form of transport you have used in the last 12 months for education? 
Q27b - What is the main form of transport you have used in the last 12 months for education? - Park and Ride,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Park and Ride' to the question: What is the main form of transport you have used in the last 12 months for education? 
Q27b - What is the main form of transport you have used in the last 12 months for education? - Taxi or Uber,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Taxi or Uber' to the question: What is the main form of transport you have used in the last 12 months for education? 
Q27b - What is the main form of transport you have used in the last 12 months for education? - Train,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Train' to the question: What is the main form of transport you have used in the last 12 months for education? 
Q27b - What is the main form of transport you have used in the last 12 months for education? - Tram/Metro,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tram/Metro' to the question: What is the main form of transport you have used in the last 12 months for education? 
Q27b - What is the main form of transport you have used in the last 12 months for education? - Walking,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Walking' to the question: What is the main form of transport you have used in the last 12 months for education? 
Q27c - What is the main form of transport you have used in the last 12 months for escorting children to school? - Bicycle,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Bicycle' to the question: What is the main form of transport you have used in the last 12 months for escorting children to school? 
Q27c - What is the main form of transport you have used in the last 12 months for escorting children to school? - Bus,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Bus' to the question: What is the main form of transport you have used in the last 12 months for escorting children to school? 
Q27c - What is the main form of transport you have used in the last 12 months for escorting children to school? - Car as a driver,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Car as a driver' to the question: What is the main form of transport you have used in the last 12 months for escorting children to school? 
Q27c - What is the main form of transport you have used in the last 12 months for escorting children to school? - Car as a passenger,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Car as a passenger' to the question: What is the main form of transport you have used in the last 12 months for escorting children to school? 
Q27c - What is the main form of transport you have used in the last 12 months for escorting children to school? - Park and Ride,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Park and Ride' to the question: What is the main form of transport you have used in the last 12 months for escorting children to school? 
Q27c - What is the main form of transport you have used in the last 12 months for escorting children to school? - Taxi or Uber,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Taxi or Uber' to the question: What is the main form of transport you have used in the last 12 months for escorting children to school? 
Q27c - What is the main form of transport you have used in the last 12 months for escorting children to school? - Train,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Train' to the question: What is the main form of transport you have used in the last 12 months for escorting children to school? 
Q27c - What is the main form of transport you have used in the last 12 months for escorting children to school? - Walking,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Walking' to the question: What is the main form of transport you have used in the last 12 months for escorting children to school? 
Q28a - To what extent do you agree or disagree that Coventry is an easy place to travel around by car? - Definitely agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely agree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by car? 
Q28a - To what extent do you agree or disagree that Coventry is an easy place to travel around by car? - Definitely disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely disagree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by car? 
Q28a - To what extent do you agree or disagree that Coventry is an easy place to travel around by car? - Tend to agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to agree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by car? 
Q28a - To what extent do you agree or disagree that Coventry is an easy place to travel around by car? - Tend to disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to disagree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by car? 
Q28b - To what extent do you agree or disagree that Coventry is an easy place to travel around by public transport? - Definitely agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely agree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by public transport? 
Q28b - To what extent do you agree or disagree that Coventry is an easy place to travel around by public transport? - Definitely disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely disagree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by public transport? 
Q28b - To what extent do you agree or disagree that Coventry is an easy place to travel around by public transport? - Tend to agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to agree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by public transport? 
Q28b - To what extent do you agree or disagree that Coventry is an easy place to travel around by public transport? - Tend to disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to disagree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by public transport? 
Q28c - To what extent do you agree or disagree that Coventry is an easy place to travel around by bike? - Definitely agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely agree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by bike? 
Q28c - To what extent do you agree or disagree that Coventry is an easy place to travel around by bike? - Definitely disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely disagree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by bike? 
Q28c - To what extent do you agree or disagree that Coventry is an easy place to travel around by bike? - Tend to agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to agree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by bike? 
Q28c - To what extent do you agree or disagree that Coventry is an easy place to travel around by bike? - Tend to disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to disagree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around by bike? 
Q28d - To what extent do you agree or disagree that Coventry is an easy place to travel around on foot? - Definitely agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely agree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around on foot? 
Q28d - To what extent do you agree or disagree that Coventry is an easy place to travel around on foot? - Definitely disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Definitely disagree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around on foot? 
Q28d - To what extent do you agree or disagree that Coventry is an easy place to travel around on foot? - Tend to agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to agree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around on foot? 
Q28d - To what extent do you agree or disagree that Coventry is an easy place to travel around on foot? - Tend to disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to disagree' to the question: To what extent do you agree or disagree that Coventry is an easy place to travel around on foot? 
Q29.1 - What do you think are the main barriers in making your home more energy efficient? - Cost of making improvements is too high,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Cost of making improvements is too high' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29.10 - What do you think are the main barriers in making your home more energy efficient? - Other - (please specify in the box below),Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Other' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29.2 - What do you think are the main barriers in making your home more energy efficient? - I currently rent so unable to make improvements to the property,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'I currently rent so unable to make improvements to the property' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29.3 - What do you think are the main barriers in making your home more energy efficient? - The property I'm living in is not suitable for energy efficiency improvements,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'The property I'm living in is not suitable for energy efficiency improvements' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29.4 - What do you think are the main barriers in making your home more energy efficient? - The payback period of making energy efficiency improvements is too long,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'The payback period of making energy efficiency improvements is too long' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29.5 - What do you think are the main barriers in making your home more energy efficient? - The energy efficiency improvements will not increase the value of my property,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'The energy efficiency improvements will not increase the value of my property' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29.6 - What do you think are the main barriers in making your home more energy efficient? - There will be too much disruption to my home,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'There will be too much disruption to my home' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29.7 - What do you think are the main barriers in making your home more energy efficient? - There is a lack of information on what help/schemes are available,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'There is a lack of information on what help/schemes are available' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29.8 - What do you think are the main barriers in making your home more energy efficient? - I have found applying for funding/support too difficult/complex,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'I have found applying for funding/support too difficult/complex' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29.9 - What do you think are the main barriers in making your home more energy efficient? - I am not sure what improvements I can make to my property,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'I am not sure what improvements I can make to my property' to the question: What do you think are the main barriers in making your home more energy efficient? 
Q29a - What do you think are the main barriers in making your home more energy efficient? Other (please specify) - Hard to find reliable people to do the work.,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Hard to find reliable people to do the work.' to the question: What do you think are the main barriers in making your home more energy efficient? Other (please specify) 
Q3 - To what extent do you agree or disagree that Coventry City Council provides value for money? - Neither agree nor disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Neither agree nor disagree' to the question: To what extent do you agree or disagree that Coventry City Council provides value for money? 
Q3 - To what extent do you agree or disagree that Coventry City Council provides value for money? - Strongly agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Strongly agree' to the question: To what extent do you agree or disagree that Coventry City Council provides value for money? 
Q3 - To what extent do you agree or disagree that Coventry City Council provides value for money? - Strongly disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Strongly disagree' to the question: To what extent do you agree or disagree that Coventry City Council provides value for money? 
Q3 - To what extent do you agree or disagree that Coventry City Council provides value for money? - Tend to agree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to agree' to the question: To what extent do you agree or disagree that Coventry City Council provides value for money? 
Q3 - To what extent do you agree or disagree that Coventry City Council provides value for money? - Tend to disagree,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Tend to disagree' to the question: To what extent do you agree or disagree that Coventry City Council provides value for money? 
Q30 - How likely is it that you will move house in the next 4 or 5 years? - Fairly likely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Fairly likely' to the question: How likely is it that you will move house in the next 4 or 5 years? 
Q30 - How likely is it that you will move house in the next 4 or 5 years? - Not at all likely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not at all likely' to the question: How likely is it that you will move house in the next 4 or 5 years? 
Q30 - How likely is it that you will move house in the next 4 or 5 years? - Not very Likely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Not very Likely' to the question: How likely is it that you will move house in the next 4 or 5 years? 
Q30 - How likely is it that you will move house in the next 4 or 5 years? - Very likely,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Very likely' to the question: How likely is it that you will move house in the next 4 or 5 years? 
Q31.1 - What are your main reasons for possibly wanting to move house? - To move to a larger property,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'To move to a larger property' to the question: What are your main reasons for possibly wanting to move house? 
Q31.2 - What are your main reasons for possibly wanting to move house? - To move to a property more suited to my needs,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'To move to a property more suited to my needs' to the question: What are your main reasons for possibly wanting to move house? 
Q31.3 - What are your main reasons for possibly wanting to move house? - To move to a more desirable location,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'To move to a more desirable location' to the question: What are your main reasons for possibly wanting to move house? 
Q31.4 - What are your main reasons for possibly wanting to move house? - To be nearer to place of work or job opportunities,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'To be nearer to place of work or job opportunities' to the question: What are your main reasons for possibly wanting to move house? 
Q31.5 - What are your main reasons for possibly wanting to move house? - To be nearer to family or friends,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'To be nearer to family or friends' to the question: What are your main reasons for possibly wanting to move house? 
Q31.6 - What are your main reasons for possibly wanting to move house? - To move to a smaller property,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'To move to a smaller property' to the question: What are your main reasons for possibly wanting to move house? 
Q32 - Where would you like to move to? Tick one box only - Elsewhere in Coventry - (please specify in the box below),Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Elsewhere in Coventry' to the question: Where would you like to move to? Tick one box only 
Q32 - Where would you like to move to? Tick one box only - Somewhere in this neighbourhood,Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Somewhere in this neighbourhood' to the question: Where would you like to move to? Tick one box only 
Q32 - Where would you like to move to? Tick one box only - Somewhere outside Coventry - (please specify in the box below),Coventry Household Survey 2021,5,Coventry Household Survey 2021,% of people who responded 'Somewhere outside Coventry' to the question: Where would you like to move to? Tick one box only 
"Q33a - During the last week, how many hours did you spend on cultural Activities and social activities – e.g. visiting a museum virtually, watching a play or musical online or an online/virtual chat with a friend? - 1 hour but less than 2.5 hours",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '1 hour but less than 2.5 hours' to the question: During the last week, how many hours did you spend on cultural Activities and social activities – e.g. visiting a museum virtually, watching a play or musical online or an online/virtual chat with a friend? "
"Q33a - During the last week, how many hours did you spend on cultural Activities and social activities – e.g. visiting a museum virtually, watching a play or musical online or an online/virtual chat with a friend? - More than 2.5 hours",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'More than 2.5 hours' to the question: During the last week, how many hours did you spend on cultural Activities and social activities – e.g. visiting a museum virtually, watching a play or musical online or an online/virtual chat with a friend? "
"Q33a - During the last week, how many hours did you spend on cultural Activities and social activities – e.g. visiting a museum virtually, watching a play or musical online or an online/virtual chat with a friend? - None",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'None' to the question: During the last week, how many hours did you spend on cultural Activities and social activities – e.g. visiting a museum virtually, watching a play or musical online or an online/virtual chat with a friend? "
"Q33a - During the last week, how many hours did you spend on cultural Activities and social activities – e.g. visiting a museum virtually, watching a play or musical online or an online/virtual chat with a friend? - Some but less than 1 hour",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded 'Some but less than 1 hour' to the question: During the last week, how many hours did you spend on cultural Activities and social activities – e.g. visiting a museum virtually, watching a play or musical online or an online/virtual chat with a friend? "
"Q33b - During the last week, how many hours did you spend on everyday activity For example: Active travel (walking or cycling as a form of transport), heavy housework, gardening / DIY, occupational activity? - 1 hour but less than 2.5 hours",Coventry Household Survey 2021,5,Coventry Household Survey 2021,"% of people who responded '1 hour but less than 2.5 hours' to the question: During the last week, how many hours did you spend on everyday activity For example: Active travel (walking or cycling as a form of transport), heavy housework, gardening / DIY, occupational activity? "
