MSOA,Attribute,Value,%
E02001966,TGI-Leisure_Theatre once a month or more,179,3.45%
E02001966,TGI-Leisure_Museums,1331,25.62%
E02001966,TGI-Leisure_Archaeological sites,274,5.27%
E02001966,TGI-Leisure_Stately homes/ castles,1097,21.12%
E02001966,TGI-Leisure_Cinema_Ever go to the cinema,3788,72.92%
E02001966,TGI-Leisure_Cinema_Go every two or three months,1002,19.29%
E02001966,TGI-Leisure_Cinema_Go once or more a month,989,19.04%
E02001966,TGI-Leisure_Cinema_Never go,1407,27.08%
E02001966,TGI-Leisure_Adults 15+ estimate 2018,5195,
E02001966,TGI-Media_Daily Express,108,2.08%
E02001966,TGI-Media_Daily Mail,144,2.77%
E02001966,TGI-Media_Daily Mirror,113,2.18%
E02001966,TGI-Media_Daily Record,6,0.12%
E02001966,TGI-Media_Daily Star,107,2.06%
E02001966,TGI-Media_Daily Telegraph,79,1.52%
E02001966,TGI-Media_Financial Times,27,0.52%
E02001966,TGI-Media_The Guardian,88,1.69%
E02001966,TGI-Media_i (newspaper),53,1.02%
E02001966,TGI-Media_The Sun,429,8.26%
E02001966,TGI-Media_The Times,121,2.33%
E02001966,TGI-Media_Adults 15+ estimate 2018,5195,
E02001966,AFD-All_Number of Bookers,245,0.49%
E02001966,AFD-All_Tickets Issued,1642,0.35%
E02001966,AFD-All_No of venues visited_1,200,0.59%
E02001966,AFD-All_No of venues visited_2,29,0.30%
E02001966,AFD-All_No of venues visited_3,10,0.28%
E02001966,AFD-All_No of venues visited_4,2,0.14%
E02001966,AFD-All_No of venues visited_5,2,0.33%
E02001966,AFD-All_No of venues visited_6,1,0.38%
E02001966,AFD-All_No of venues visited_7,0,0.00%
E02001966,AFD-All_No of venues visited_8,1,1.54%
E02001966,AFD-All_No of venues visited_9,0,0.00%
E02001966,AFD-All_No of venues visited_10,0,0.00%
E02001966,AFD-All_No of venues visited_More than 10,0,0.00%
E02001966,AFD-All_No of venues visited_Average,1.306122449,130.61%
E02001966,AFD-All_Bookers per artform_Children/Family,45,0.57%
E02001966,AFD-All_Bookers per artform_Christmas Show,43,0.44%
E02001966,AFD-All_Bookers per artform_Contemporary Visual Arts,0,0.00%
E02001966,AFD-All_Bookers per artform_Dance,27,0.38%
E02001966,AFD-All_Bookers per artform_Film,7,0.14%
E02001966,AFD-All_Bookers per artform_General Entertainment,30,0.28%
E02001966,AFD-All_Bookers per artform_Literature,1,0.33%
E02001966,AFD-All_Bookers per artform_Museums/Heritage,20,0.67%
E02001966,AFD-All_Bookers per artform_Music,53,0.34%
E02001966,AFD-All_Bookers per artform_Musical Theatre,63,0.42%
E02001966,AFD-All_Bookers per artform_Other Artforms,2,0.23%
E02001966,AFD-All_Bookers per artform_Outdoor Arts,0,0.00%
E02001966,AFD-All_Bookers per artform_Plays/Drama,53,0.37%
E02001966,AFD-All_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001966,AFD-All_Bookers per artform_Uncoded,9,0.63%
E02001966,AFD-All_Bookers per artform_Workshops,7,0.75%
E02001966,AFD-All_Performances_Number of performances,542,0.50%
E02001966,AFD-All_Performances_Avg. performances booked for per customer,2.212244898,221.22%
E02001966,AFD-All_Yield_Average yield per ticket,18.8346,1883.46%
E02001966,AFD-All_Bookers per artform_Total income,28779.35,0.30%
E02001966,AFD-All_Audience Spectrum_Metro-culturals,0,0.00%
E02001966,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%
E02001966,AFD-All_Audience Spectrum_Experience Seekers,3,1.22%
E02001966,AFD-All_Audience Spectrum_Dormitory Dependables,0,0.00%
E02001966,AFD-All_Audience Spectrum_Trips & Treats,1,0.41%
E02001966,AFD-All_Audience Spectrum_Home & Heritage,0,0.00%
E02001966,AFD-All_Audience Spectrum_Up Our Street,41,16.73%
E02001966,AFD-All_Audience Spectrum_Facebook Families,38,15.51%
E02001966,AFD-All_Audience Spectrum_Kaleidoscope Creativity,138,56.33%
E02001966,AFD-All_Audience Spectrum_Heydays,24,9.80%
E02001966,AFD-All_Audience Spectrum_Total,245,
E02001966,AFD-Coventry_Number of Bookers,182,0.47%
E02001966,AFD-Coventry_Tickets Issued,1143,0.35%
E02001966,AFD-Coventry_No of venues visited_1,168,0.51%
E02001966,AFD-Coventry_No of venues visited_2,14,0.23%
E02001966,AFD-Coventry_No of venues visited_Average,1.076923077,107.69%
E02001966,AFD-Coventry_Bookers per artform_Children/Family,43,0.59%
E02001966,AFD-Coventry_Bookers per artform_Christmas Show,42,0.51%
E02001966,AFD-Coventry_Bookers per artform_Contemporary Visual Arts,0,0.00%
E02001966,AFD-Coventry_Bookers per artform_Dance,19,0.44%
E02001966,AFD-Coventry_Bookers per artform_Film,5,0.11%
E02001966,AFD-Coventry_Bookers per artform_General Entertainment,23,0.26%
E02001966,AFD-Coventry_Bookers per artform_Literature,0,0.00%
E02001966,AFD-Coventry_Bookers per artform_Museums/Heritage,0,0.00%
E02001966,AFD-Coventry_Bookers per artform_Music,31,0.27%
E02001966,AFD-Coventry_Bookers per artform_Musical Theatre,50,0.51%
E02001966,AFD-Coventry_Bookers per artform_Other Artforms,1,0.20%
E02001966,AFD-Coventry_Bookers per artform_Outdoor Arts,0,0.00%
E02001966,AFD-Coventry_Bookers per artform_Plays/Drama,41,0.38%
E02001966,AFD-Coventry_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001966,AFD-Coventry_Bookers per artform_Uncoded,0,0.00%
E02001966,AFD-Coventry_Bookers per artform_Workshops,7,0.93%
E02001966,AFD-Coventry_Performances_Number of performances,331,0.57%
E02001966,AFD-Coventry_Performances_Avg. performances booked for per customer,1.818681319,
E02001966,AFD-Coventry_Yield_Average yield per ticket,16.8906,
E02001966,AFD-Coventry_Bookers per artform_Total income,17904.05,
E02001966,AFD-Coventry_Audience Spectrum_Metro-culturals,0,0.00%
E02001966,AFD-Coventry_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%
E02001966,AFD-Coventry_Audience Spectrum_Experience Seekers,3,1.65%
E02001966,AFD-Coventry_Audience Spectrum_Dormitory Dependables,0,0.00%
E02001966,AFD-Coventry_Audience Spectrum_Trips & Treats,0,0.00%
E02001966,AFD-Coventry_Audience Spectrum_Home & Heritage,0,0.00%
E02001966,AFD-Coventry_Audience Spectrum_Up Our Street,29,15.93%
E02001966,AFD-Coventry_Audience Spectrum_Facebook Families,32,17.58%
E02001966,AFD-Coventry_Audience Spectrum_Kaleidoscope Creativity,101,55.49%
E02001966,AFD-Coventry_Audience Spectrum_Heydays,17,9.34%
E02001966,AFD-Coventry_Audience Spectrum_Total,182,0.47%
E02001966,Index of Multiple Deprivation (IMD) Score,39.91662731,
E02001966,Income Score (rate),0.282183935,
E02001966,Employment Score (rate),0.095911856,
E02001966,"Education, Skills and Training Score",43.83723657,
E02001966,Health Deprivation and Disability Score,0.673210526,
E02001966,Crime Score,0.052235602,
E02001966,Barriers to Housing and Services Score,25.08033976,
E02001966,Living Environment Score,39.17706062,
E02001966,Income Deprivation Affecting Children Index (IDACI) Score (rate),0.089041058,
E02001966,Income Deprivation Affecting Older People (IDAOPI) Score (rate),0.046830394,
E02001966,Children and Young People Sub-domain Score,0.535331496,
E02001966,Adult Skills Sub-domain Score,0.484177046,
E02001966,Geographical Barriers Sub-domain Score,-0.873399008,
E02001966,Wider Barriers Sub-domain Score,3.099764122,
E02001966,Indoors Sub-domain Score,0.855659273,
E02001966,Outdoors Sub-domain Score,0.634811381,
E02001967,Adults 15+ estimate 2018,5920,2.04%
E02001967,Household estimate 2018,3060,2.11%
E02001967,Population estimate 2018,7128,2.00%
E02001967,Segmentation_Audience Spectrum_Metro-culturals,0,0.00%
E02001967,Segmentation_Audience Spectrum_Commuter-land Culturebuffs,1070,18.14%
E02001967,Segmentation_Audience Spectrum_Experience Seekers,33,0.56%
E02001967,Segmentation_Audience Spectrum_Dormitory Dependables,1843,31.25%
E02001967,Segmentation_Audience Spectrum_Trips & Treats,1371,23.25%
E02001967,Segmentation_Audience Spectrum_Home & Heritage,1237,20.97%
E02001967,Segmentation_Audience Spectrum_Up Our Street,195,3.31%
E02001967,Segmentation_Audience Spectrum_Facebook Families,83,1.41%
E02001967,Segmentation_Audience Spectrum_Kaleidoscope Creativity,33,0.56%
E02001967,Segmentation_Audience Spectrum segment_Heydays,33,0.56%
E02001967,Segmentation_Audience Spectrum_Adults 15+ estimate 2018,5898,
E02001967,Segmentation_MOSAIC_A City Prosperity ,0,0.00%
E02001967,Segmentation_MOSAIC_B Prestige Positions ,429,7.25%
E02001967,Segmentation_MOSAIC_C Country Living ,824,13.92%
E02001967,Segmentation_MOSAIC_D Rural Reality ,133,2.25%
E02001967,Segmentation_MOSAIC_E Senior Security ,989,16.71%
E02001967,Segmentation_MOSAIC_F Suburban Stability ,861,14.54%
E02001967,Segmentation_MOSAIC_G Domestic Success ,904,15.27%
E02001967,Segmentation_MOSAIC_H Aspiring Homemakers ,1287,21.74%
E02001967,Segmentation_MOSAIC_I Family Basics ,0,0.00%
E02001967,Segmentation_MOSAIC_J Transient Renters ,139,2.35%
E02001967,Segmentation_MOSAIC_K Municipal Tenants,0,0.00%
E02001967,Segmentation_MOSAIC_L Vintage Value ,147,2.48%
E02001967,Segmentation_MOSAIC_M Modest Traditions ,107,1.81%
E02001967,Segmentation_MOSAIC_N Urban Cohesion ,0,0.00%
E02001967,Segmentation_MOSAIC_O Rental Hubs ,100,1.69%
E02001967,Segmentation_MOSAIC_U Unclassified,0,0.00%
E02001967,Segmentation_MOSAIC 6 Group (Adults 15+)_Adults 15+ estimate 2018,5920,
E02001967,TGI-Leisure_Art galleries,1517,25.63%
E02001967,TGI-Leisure_Art gallery once a month or more,49,0.83%
E02001967,TGI-Leisure_Ballet,636,10.74%
E02001967,TGI-Leisure_Classical concerts,812,13.72%
E02001967,TGI-Leisure_Comedy Shows,1451,24.51%
E02001967,TGI-Leisure_Contemp-orary dance,382,6.45%
E02001967,TGI-Leisure_Jazz concerts,501,8.46%
E02001967,TGI-Leisure_Opera,423,7.15%
E02001967,TGI-Leisure_Plays,1885,31.84%
E02001967,TGI-Leisure_Popular/rock concert,2223,37.55%
E02001967,TGI-Leisure_Theatre,2672,45.14%
E02001967,TGI-Leisure_Theatre once a month or more,90,1.52%
E02001967,TGI-Leisure_Museums,1280,21.62%
E02001967,TGI-Leisure_Archaeological sites,330,5.57%
E02001967,TGI-Leisure_Stately homes/ castles,1464,24.73%
E02001967,TGI-Leisure_Cinema_Ever go to the cinema,4615,77.96%
E02001967,TGI-Leisure_Cinema_Go every two or three months,929,15.69%
E02001967,TGI-Leisure_Cinema_Go once or more a month,780,13.18%
E02001967,TGI-Leisure_Cinema_Never go,1305,22.04%
E02001967,TGI-Leisure_Adults 15+ estimate 2018,5920,
E02001967,TGI-Media_Daily Express,140,2.36%
E02001967,TGI-Media_Daily Mail,369,6.23%
E02001967,TGI-Media_Daily Mirror,76,1.28%
E02001967,TGI-Media_Daily Record,1,0.02%
E02001967,TGI-Media_Daily Star,57,0.96%
E02001967,TGI-Media_Daily Telegraph,124,2.09%
E02001967,TGI-Media_Financial Times,6,0.10%
E02001967,TGI-Media_The Guardian,71,1.20%
E02001967,TGI-Media_i (newspaper),65,1.10%
E02001967,TGI-Media_The Sun,254,4.29%
E02001967,TGI-Media_The Times,109,1.84%
E02001967,TGI-Media_Adults 15+ estimate 2018,5920,
E02001967,AFD-All_Number of Bookers,1616,3.24%
E02001967,AFD-All_Tickets Issued,17818,3.83%
E02001967,AFD-All_No of venues visited_1,987,2.92%
E02001967,AFD-All_No of venues visited_2,376,3.85%
E02001967,AFD-All_No of venues visited_3,131,3.61%
E02001967,AFD-All_No of venues visited_4,72,5.04%
E02001967,AFD-All_No of venues visited_5,24,3.93%
E02001967,AFD-All_No of venues visited_6,12,4.51%
E02001967,AFD-All_No of venues visited_7,3,2.24%
E02001967,AFD-All_No of venues visited_8,4,6.15%
E02001967,AFD-All_No of venues visited_9,5,12.20%
E02001967,AFD-All_No of venues visited_10,0,0.00%
E02001967,AFD-All_No of venues visited_More than 10,2,3.64%
E02001967,AFD-All_No of venues visited_Average,1.696782178,169.68%
E02001967,AFD-All_Bookers per artform_Children/Family,313,3.95%
E02001967,AFD-All_Bookers per artform_Christmas Show,349,3.60%
E02001967,AFD-All_Bookers per artform_Contemporary Visual Arts,4,2.04%
E02001967,AFD-All_Bookers per artform_Dance,270,3.80%
E02001967,AFD-All_Bookers per artform_Film,159,3.13%
E02001967,AFD-All_Bookers per artform_General Entertainment,368,3.39%
E02001967,AFD-All_Bookers per artform_Literature,13,4.29%
E02001967,AFD-All_Bookers per artform_Museums/Heritage,90,3.03%
E02001967,AFD-All_Bookers per artform_Music,537,3.47%
E02001967,AFD-All_Bookers per artform_Musical Theatre,596,3.93%
E02001967,AFD-All_Bookers per artform_Other Artforms,32,3.76%
E02001967,AFD-All_Bookers per artform_Outdoor Arts,6,2.94%
E02001967,AFD-All_Bookers per artform_Plays/Drama,504,3.47%
E02001967,AFD-All_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001967,AFD-All_Bookers per artform_Uncoded,46,3.24%
E02001967,AFD-All_Bookers per artform_Workshops,31,3.31%
E02001967,AFD-All_Performances_Number of performances,3689,3.41%
E02001967,AFD-All_Performances_Avg. performances booked for per customer,2.28279703,228.28%
E02001967,AFD-All_Yield_Average yield per ticket,23.266,2326.60%
E02001967,AFD-All_Bookers per artform_Total income,403944.73,4.19%
E02001967,AFD-All_Audience Spectrum_Metro-culturals,0,0.00%
E02001967,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,337,20.85%
E02001967,AFD-All_Audience Spectrum_Experience Seekers,13,0.80%
E02001967,AFD-All_Audience Spectrum_Dormitory Dependables,582,36.01%
E02001967,AFD-All_Audience Spectrum_Trips & Treats,341,21.10%
E02001967,AFD-All_Audience Spectrum_Home & Heritage,250,15.47%
E02001967,AFD-All_Audience Spectrum_Up Our Street,48,2.97%
E02001967,AFD-All_Audience Spectrum_Facebook Families,22,1.36%
E02001967,AFD-All_Audience Spectrum_Kaleidoscope Creativity,13,0.80%
E02001967,AFD-All_Audience Spectrum_Heydays,10,0.62%
E02001967,AFD-All_Audience Spectrum_Total,1616,
E02001967,AFD-Coventry_Number of Bookers,1284,3.31%
E02001967,AFD-Coventry_Tickets Issued,12354,3.83%
E02001967,AFD-Coventry_No of venues visited_1,1025,3.14%
E02001967,AFD-Coventry_No of venues visited_2,259,4.26%
E02001967,AFD-Coventry_No of venues visited_Average,1.201713396,120.17%
E02001967,AFD-Coventry_Bookers per artform_Children/Family,286,3.95%
E02001967,AFD-Coventry_Bookers per artform_Christmas Show,304,3.66%
E02001967,AFD-Coventry_Bookers per artform_Contemporary Visual Arts,3,2.19%
E02001967,AFD-Coventry_Bookers per artform_Dance,148,3.43%
E02001967,AFD-Coventry_Bookers per artform_Film,141,3.03%
E02001967,AFD-Coventry_Bookers per artform_General Entertainment,314,3.49%
E02001967,AFD-Coventry_Bookers per artform_Literature,2,7.14%
E02001967,AFD-Coventry_Bookers per artform_Museums/Heritage,0,0.00%
E02001967,AFD-Coventry_Bookers per artform_Music,407,3.52%
E02001967,AFD-Coventry_Bookers per artform_Musical Theatre,366,3.76%
E02001967,AFD-Coventry_Bookers per artform_Other Artforms,15,2.95%
E02001967,AFD-Coventry_Bookers per artform_Outdoor Arts,3,5.26%
E02001967,AFD-Coventry_Bookers per artform_Plays/Drama,376,3.44%
E02001967,AFD-Coventry_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001967,AFD-Coventry_Bookers per artform_Uncoded,0,0.00%
E02001967,AFD-Coventry_Bookers per artform_Workshops,24,3.19%
E02001967,AFD-Coventry_Performances_Number of performances,1870,3.23%
E02001967,AFD-Coventry_Performances_Avg. performances booked for per customer,1.456386293,
E02001967,AFD-Coventry_Yield_Average yield per ticket,17.9571,
E02001967,AFD-Coventry_Bookers per artform_Total income,216886.71,
E02001967,AFD-Coventry_Audience Spectrum_Metro-culturals,0,0.00%
E02001967,AFD-Coventry_Audience Spectrum_Commuter-land Culturebuffs,250,19.47%
E02001967,AFD-Coventry_Audience Spectrum_Experience Seekers,11,0.86%
E02001967,AFD-Coventry_Audience Spectrum_Dormitory Dependables,473,36.84%
E02001967,AFD-Coventry_Audience Spectrum_Trips & Treats,265,20.64%
E02001967,AFD-Coventry_Audience Spectrum_Home & Heritage,216,16.82%
E02001967,AFD-Coventry_Audience Spectrum_Up Our Street,33,2.57%
E02001967,AFD-Coventry_Audience Spectrum_Facebook Families,17,1.32%
E02001967,AFD-Coventry_Audience Spectrum_Kaleidoscope Creativity,10,0.78%
E02001967,AFD-Coventry_Audience Spectrum_Heydays,9,0.70%
E02001967,AFD-Coventry_Audience Spectrum_Total,1284,3.31%
E02001967,Index of Multiple Deprivation (IMD) Score,13.23241955,
E02001967,Income Score (rate),0.065142561,
E02001967,Employment Score (rate),0.029144373,
E02001967,"Education, Skills and Training Score",9.637045549,
E02001967,Health Deprivation and Disability Score,-0.137420586,
E02001967,Crime Score,0.174207483,
E02001967,Barriers to Housing and Services Score,24.4090071,
E02001967,Living Environment Score,21.45117051,
E02001967,Income Deprivation Affecting Children Index (IDACI) Score (rate),0.013059746,
E02001967,Income Deprivation Affecting Older People (IDAOPI) Score (rate),0.028962585,
E02001967,Children and Young People Sub-domain Score,-0.427784531,
E02001967,Adult Skills Sub-domain Score,0.258537415,
E02001967,Geographical Barriers Sub-domain Score,0.484653653,
E02001967,Wider Barriers Sub-domain Score,-0.528370009,
E02001967,Indoors Sub-domain Score,0.399032091,
E02001967,Outdoors Sub-domain Score,-0.246238095,
E02001968,Adults 15+ estimate 2018,6258,2.16%
E02001968,Household estimate 2018,3068,2.12%
E02001968,Population estimate 2018,8162,2.29%
E02001968,Segmentation_Audience Spectrum_Metro-culturals,0,0.00%
E02001968,Segmentation_Audience Spectrum_Commuter-land Culturebuffs,183,2.92%
E02001968,Segmentation_Audience Spectrum_Experience Seekers,0,0.00%
E02001968,Segmentation_Audience Spectrum_Dormitory Dependables,0,0.00%
E02001968,Segmentation_Audience Spectrum_Trips & Treats,1865,29.77%
E02001968,Segmentation_Audience Spectrum_Home & Heritage,0,0.00%
E02001968,Segmentation_Audience Spectrum_Up Our Street,1860,29.69%
E02001968,Segmentation_Audience Spectrum_Facebook Families,1804,28.79%
E02001968,Segmentation_Audience Spectrum_Kaleidoscope Creativity,465,7.42%
E02001968,Segmentation_Audience Spectrum segment_Heydays,88,1.40%
E02001968,Segmentation_Audience Spectrum_Adults 15+ estimate 2018,6265,
E02001968,Segmentation_MOSAIC_A City Prosperity ,0,0.00%
E02001968,Segmentation_MOSAIC_B Prestige Positions ,0,0.00%
E02001968,Segmentation_MOSAIC_C Country Living ,0,0.00%
E02001968,Segmentation_MOSAIC_D Rural Reality ,0,0.00%
E02001968,Segmentation_MOSAIC_E Senior Security ,0,0.00%
E02001968,Segmentation_MOSAIC_F Suburban Stability ,0,0.00%
E02001968,Segmentation_MOSAIC_G Domestic Success ,0,0.00%
E02001968,Segmentation_MOSAIC_H Aspiring Homemakers ,357,5.70%
E02001968,Segmentation_MOSAIC_I Family Basics ,2430,38.83%
E02001968,Segmentation_MOSAIC_J Transient Renters ,1224,19.56%
E02001968,Segmentation_MOSAIC_K Municipal Tenants,0,0.00%
E02001968,Segmentation_MOSAIC_L Vintage Value ,327,5.23%
E02001968,Segmentation_MOSAIC_M Modest Traditions ,1409,22.52%
E02001968,Segmentation_MOSAIC_N Urban Cohesion ,511,8.17%
E02001968,Segmentation_MOSAIC_O Rental Hubs ,0,0.00%
E02001968,Segmentation_MOSAIC_U Unclassified,0,0.00%
E02001968,Segmentation_MOSAIC 6 Group (Adults 15+)_Adults 15+ estimate 2018,6258,
E02001968,TGI-Leisure_Art galleries,1278,20.42%
E02001968,TGI-Leisure_Art gallery once a month or more,36,0.58%
E02001968,TGI-Leisure_Ballet,448,7.16%
E02001968,TGI-Leisure_Classical concerts,583,9.32%
E02001968,TGI-Leisure_Comedy Shows,1394,22.28%
E02001968,TGI-Leisure_Contemp-orary dance,401,6.41%
E02001968,TGI-Leisure_Jazz concerts,408,6.52%
E02001968,TGI-Leisure_Opera,298,4.76%
E02001968,TGI-Leisure_Plays,1372,21.92%
E02001968,TGI-Leisure_Popular/rock concert,2163,34.56%
E02001968,TGI-Leisure_Theatre,2061,32.93%
E02001968,TGI-Leisure_Theatre once a month or more,106,1.69%
E02001968,TGI-Leisure_Museums,1299,20.76%
E02001968,TGI-Leisure_Archaeological sites,256,4.09%
E02001968,TGI-Leisure_Stately homes/ castles,1165,18.62%
E02001968,TGI-Leisure_Cinema_Ever go to the cinema,4800,76.70%
E02001968,TGI-Leisure_Cinema_Go every two or three months,902,14.41%
E02001968,TGI-Leisure_Cinema_Go once or more a month,835,13.34%
E02001968,TGI-Leisure_Cinema_Never go,1458,23.30%
E02001968,TGI-Leisure_Adults 15+ estimate 2018,6258,
E02001968,TGI-Media_Daily Express,88,1.41%
E02001968,TGI-Media_Daily Mail,177,2.83%
E02001968,TGI-Media_Daily Mirror,122,1.95%
E02001968,TGI-Media_Daily Record,8,0.13%
E02001968,TGI-Media_Daily Star,104,1.66%
E02001968,TGI-Media_Daily Telegraph,44,0.70%
E02001968,TGI-Media_Financial Times,18,0.29%
E02001968,TGI-Media_The Guardian,49,0.78%
E02001968,TGI-Media_i (newspaper),35,0.56%
E02001968,TGI-Media_The Sun,382,6.10%
E02001968,TGI-Media_The Times,64,1.02%
E02001968,TGI-Media_Adults 15+ estimate 2018,6258,
E02001968,AFD-All_Number of Bookers,818,1.64%
E02001968,AFD-All_Tickets Issued,6251,1.35%
E02001968,AFD-All_No of venues visited_1,632,1.87%
E02001968,AFD-All_No of venues visited_2,121,1.24%
E02001968,AFD-All_No of venues visited_3,40,1.10%
E02001968,AFD-All_No of venues visited_4,16,1.12%
E02001968,AFD-All_No of venues visited_5,4,0.66%
E02001968,AFD-All_No of venues visited_6,2,0.75%
E02001968,AFD-All_No of venues visited_7,3,2.24%
E02001968,AFD-All_No of venues visited_8,0,0.00%
E02001968,AFD-All_No of venues visited_9,0,0.00%
E02001968,AFD-All_No of venues visited_10,0,0.00%
E02001968,AFD-All_No of venues visited_More than 10,0,0.00%
E02001968,AFD-All_No of venues visited_Average,1.358190709,135.82%
E02001968,AFD-All_Bookers per artform_Children/Family,143,1.81%
E02001968,AFD-All_Bookers per artform_Christmas Show,186,1.92%
E02001968,AFD-All_Bookers per artform_Contemporary Visual Arts,2,1.02%
E02001968,AFD-All_Bookers per artform_Dance,93,1.31%
E02001968,AFD-All_Bookers per artform_Film,23,0.45%
E02001968,AFD-All_Bookers per artform_General Entertainment,159,1.47%
E02001968,AFD-All_Bookers per artform_Literature,4,1.32%
E02001968,AFD-All_Bookers per artform_Museums/Heritage,58,1.95%
E02001968,AFD-All_Bookers per artform_Music,250,1.62%
E02001968,AFD-All_Bookers per artform_Musical Theatre,234,1.54%
E02001968,AFD-All_Bookers per artform_Other Artforms,8,0.94%
E02001968,AFD-All_Bookers per artform_Outdoor Arts,1,0.49%
E02001968,AFD-All_Bookers per artform_Plays/Drama,181,1.25%
E02001968,AFD-All_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001968,AFD-All_Bookers per artform_Uncoded,22,1.55%
E02001968,AFD-All_Bookers per artform_Workshops,12,1.28%
E02001968,AFD-All_Performances_Number of performances,1543,1.43%
E02001968,AFD-All_Performances_Avg. performances booked for per customer,1.886308068,188.63%
E02001968,AFD-All_Yield_Average yield per ticket,21.1092,2110.92%
E02001968,AFD-All_Bookers per artform_Total income,126444.32,1.31%
E02001968,AFD-All_Audience Spectrum_Metro-culturals,0,0.00%
E02001968,AFD-All_Audience Spectrum_Commuter-land Culturebuffs,9,1.10%
E02001968,AFD-All_Audience Spectrum_Experience Seekers,4,0.49%
E02001968,AFD-All_Audience Spectrum_Dormitory Dependables,12,1.47%
E02001968,AFD-All_Audience Spectrum_Trips & Treats,178,21.76%
E02001968,AFD-All_Audience Spectrum_Home & Heritage,4,0.49%
E02001968,AFD-All_Audience Spectrum_Up Our Street,243,29.71%
E02001968,AFD-All_Audience Spectrum_Facebook Families,240,29.34%
E02001968,AFD-All_Audience Spectrum_Kaleidoscope Creativity,85,10.39%
E02001968,AFD-All_Audience Spectrum_Heydays,43,5.26%
E02001968,AFD-All_Audience Spectrum_Total,818,
E02001968,AFD-Coventry_Number of Bookers,635,1.64%
E02001968,AFD-Coventry_Tickets Issued,4633,1.43%
E02001968,AFD-Coventry_No of venues visited_1,577,1.77%
E02001968,AFD-Coventry_No of venues visited_2,58,0.95%
E02001968,AFD-Coventry_No of venues visited_Average,1.091338583,109.13%
E02001968,AFD-Coventry_Bookers per artform_Children/Family,133,1.84%
E02001968,AFD-Coventry_Bookers per artform_Christmas Show,165,1.99%
E02001968,AFD-Coventry_Bookers per artform_Contemporary Visual Arts,1,0.73%
E02001968,AFD-Coventry_Bookers per artform_Dance,65,1.51%
E02001968,AFD-Coventry_Bookers per artform_Film,17,0.37%
E02001968,AFD-Coventry_Bookers per artform_General Entertainment,130,1.45%
E02001968,AFD-Coventry_Bookers per artform_Literature,1,3.57%
E02001968,AFD-Coventry_Bookers per artform_Museums/Heritage,0,0.00%
E02001968,AFD-Coventry_Bookers per artform_Music,178,1.54%
E02001968,AFD-Coventry_Bookers per artform_Musical Theatre,158,1.62%
E02001968,AFD-Coventry_Bookers per artform_Other Artforms,5,0.98%
E02001968,AFD-Coventry_Bookers per artform_Outdoor Arts,1,1.75%
E02001968,AFD-Coventry_Bookers per artform_Plays/Drama,146,1.34%
E02001968,AFD-Coventry_Bookers per artform_Traditional Visual Arts,0,0.00%
E02001968,AFD-Coventry_Bookers per artform_Uncoded,0,0.00%
E02001968,AFD-Coventry_Bookers per artform_Workshops,9,1.20%
E02001968,AFD-Coventry_Performances_Number of performances,932,1.61%
E02001968,AFD-Coventry_Performances_Avg. performances booked for per customer,1.467716535,
E02001968,AFD-Coventry_Yield_Average yield per ticket,17.7362,
E02001968,AFD-Coventry_Bookers per artform_Total income,79263.2,
E02001968,AFD-Coventry_Audience Spectrum_Metro-culturals,0,0.00%
E02001968,AFD-Coventry_Audience Spectrum_Commuter-land Culturebuffs,6,0.94%
E02001968,AFD-Coventry_Audience Spectrum_Experience Seekers,3,0.47%
E02001968,AFD-Coventry_Audience Spectrum_Dormitory Dependables,9,1.42%
E02001968,AFD-Coventry_Audience Spectrum_Trips & Treats,126,19.84%
E02001968,AFD-Coventry_Audience Spectrum_Home & Heritage,4,0.63%
E02001968,AFD-Coventry_Audience Spectrum_Up Our Street,192,30.24%
E02001968,AFD-Coventry_Audience Spectrum_Facebook Families,198,31.18%
E02001968,AFD-Coventry_Audience Spectrum_Kaleidoscope Creativity,63,9.92%
E02001968,AFD-Coventry_Audience Spectrum_Heydays,34,5.35%
E02001968,AFD-Coventry_Audience Spectrum_Total,635,1.64%
E02001968,Index of Multiple Deprivation (IMD) Score,28.05006911,
E02001968,Income Score (rate),0.170318662,
E02001968,Employment Score (rate),0.06865,
E02001968,"Education, Skills and Training Score",28.74074118,
E02001968,Health Deprivation and Disability Score,0.210198842,
E02001968,Crime Score,0.277327156,
E02001968,Barriers to Housing and Services Score,18.85283964,
E02001968,Living Environment Score,48.54442819,
E02001968,Income Deprivation Affecting Children Index (IDACI) Score (rate),0.053553925,
E02001968,Income Deprivation Affecting Older People (IDAOPI) Score (rate),0.033939125,
E02001968,Children and Young People Sub-domain Score,0.337579279,
E02001968,Adult Skills Sub-domain Score,0.386311068,
E02001968,Geographical Barriers Sub-domain Score,-0.558165766,
E02001968,Wider Barriers Sub-domain Score,1.557206178,
E02001968,Indoors Sub-domain Score,1.200092793,
