GeographyID,GeographyName,GeographyDescription,GeographyType,FamilyHub,PCD,OA11,LSOA11,MSOA,Ward,LTLA18CD,UTLA18CD,LAUA,CAUTH,REGION,CTRY,LAT,LONG,WestMidlandsPolice,WestMidlandsPoliceImpactAreas,PrimaryCareNetwork,CCG18CD
C88090,Manor and Park Group Practice,,GP,,,,,,,,,,,,,,,,,,
C88091,Barnsley Road Surgery,,GP,,,,,,,,,,,,,,,,,,
C88092,Valley Medical Centre,,GP,,,,,,,,,,,,,,,,,,
C88095,Mill Road Surgery,,GP,,,,,,,,,,,,,,,,,,
C88096,Hackenthorpe Medical Centre,,GP,,,,,,,,,,,,,,,,,,
C88622,Sheffield Medical Centre,,GP,,,,,,,,,,,,,,,,,,
C88627,University Health Service Health Centre,,GP,,,,,,,,,,,,,,,,,,
C88631,Veritas Health Centre,,GP,,,,,,,,,,,,,,,,,,
C88643,Dunninc Road Surgery,,GP,,,,,,,,,,,,,,,,,,
C88647,Owlthorpe Medical Centre,,GP,,,,,,,,,,,,,,,,,,
C88648,Crystal Peaks Medical Centre,,GP,,,,,,,,,,,,,,,,,,
C88652,Greystones Medical Centre,,GP,,,,,,,,,,,,,,,,,,
C88655,The Medical Centre Dr Okorie,,GP,,,,,,,,,,,,,,,,,,
C88656,Stannington Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81001,Lensfield Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81002,Huntingdon Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D81003,York Street Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81004,Alconbury Surgery,,GP,,,,,,,,,,,,,,,,,,
D81005,Newnham Walk Surgery,,GP,,,,,,,,,,,,,,,,,,
D81007,Park Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81008,North Brink Practice,,GP,,,,,,,,,,,,,,,,,,
D81009,Shelford Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81010,Priory Fields Surgery,,GP,,,,,,,,,,,,,,,,,,
D81011,Clarkson Surgery,,GP,,,,,,,,,,,,,,,,,,
D81012,Cornford House Surgery,,GP,,,,,,,,,,,,,,,,,,
D81013,Trumpington Street Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81014,Staploe Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81015,Parson Drove Surgery,,GP,,,,,,,,,,,,,,,,,,
D81016,Arbury Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D81017,Mill Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D81018,"Orchard Surgery,Melbourn",,GP,,,,,,,,,,,,,,,,,,
D81019,Minster Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81020,Nene Valley Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81021,St. George's Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81022,Octagon Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81023,Paston Health Centre,,GP,,,,,,,,,,,,,,,,,,
D81024,Thomas Walker,,GP,,,,,,,,,,,,,,,,,,
D81025,Cherry Hinton Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81026,Boroughbury Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81027,Wellside Surgery,,GP,,,,,,,,,,,,,,,,,,
D81028,Firs House Surgery,,GP,,,,,,,,,,,,,,,,,,
D81029,Old Fletton Surgery,,GP,,,,,,,,,,,,,,,,,,
D81030,Cromwell Place Surgery,,GP,,,,,,,,,,,,,,,,,,
D81031,Yaxley Group Practice,,GP,,,,,,,,,,,,,,,,,,
D81032,Eaton Socon Health Centre,,GP,,,,,,,,,,,,,,,,,,
D81033,Over Surgery,,GP,,,,,,,,,,,,,,,,,,
D81034,St Mary's Surgery,,GP,,,,,,,,,,,,,,,,,,
D81035,Comberton Surgery,,GP,,,,,,,,,,,,,,,,,,
D81036,Priors Field Surgery,,GP,,,,,,,,,,,,,,,,,,
D81037,Bridge Street Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81038,Kimbolton Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81039,Jenner Health Centre,,GP,,,,,,,,,,,,,,,,,,
D81040,Church Street Health Centre,,GP,,,,,,,,,,,,,,,,,,
D81041,Bourn Surgery,,GP,,,,,,,,,,,,,,,,,,
D81042,Waterbeach Surgery,,GP,,,,,,,,,,,,,,,,,,
D81043,Granta Medical Practices,,GP,,,,,,,,,,,,,,,,,,
D81044,Nuffield Road Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81045,Buckden Surgery,,GP,,,,,,,,,,,,,,,,,,
D81046,New Queen Street Surgery,,GP,,,,,,,,,,,,,,,,,,
D81047,Ashwell Surgery,,GP,,,,,,,,,,,,,,,,,,
D81049,Spinney Surgery,,GP,,,,,,,,,,,,,,,,,,
D81050,The Hicks Group Practice,,GP,,,,,,,,,,,,,,,,,,
D81051,Burwell Surgery,,GP,,,,,,,,,,,,,,,,,,
D81052,Cornerstone Practice,,GP,,,,,,,,,,,,,,,,,,
D81053,Bretton Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81054,Red House Surgery,,GP,,,,,,,,,,,,,,,,,,
D81055,Bottisham Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81056,Petersfield Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81057,Cedar House Surgery,,GP,,,,,,,,,,,,,,,,,,
D81058,Harston Surgery,,GP,,,,,,,,,,,,,,,,,,
D81059,Ramsey Health Centre,,GP,,,,,,,,,,,,,,,,,,
D81060,Moat House Surgery,,GP,,,,,,,,,,,,,,,,,,
D81061,George Clare Surgery,,GP,,,,,,,,,,,,,,,,,,
D81062,Haddenham Surgery,,GP,,,,,,,,,,,,,,,,,,
D81063,Westgate,,GP,,,,,,,,,,,,,,,,,,
D81064,Mercheford House,,GP,,,,,,,,,,,,,,,,,,
D81065,Welland Medical,,GP,,,,,,,,,,,,,,,,,,
D81066,Queen Edith Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81070,Woodlands Surgery,,GP,,,,,,,,,,,,,,,,,,
D81073,Westwood Clinic,,GP,,,,,,,,,,,,,,,,,,
D81074,Northcote House Surgery,,GP,,,,,,,,,,,,,,,,,,
D81078,Maple Surgery Bar Hill Health Centre,,GP,,,,,,,,,,,,,,,,,,
D81081,Great Staughton Surgery,,GP,,,,,,,,,,,,,,,,,,
D81082,Almond Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D81084,Willingham Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81085,Papworth Surgery,,GP,,,,,,,,,,,,,,,,,,
D81086,East Barnwell Health Centre,,GP,,,,,,,,,,,,,,,,,,
D81087,Rainbow Surgery,,GP,,,,,,,,,,,,,,,,,,
D81602,Cottenham Surgery,,GP,,,,,,,,,,,,,,,,,,
D81603,Riverside Practice,,GP,,,,,,,,,,,,,,,,,,
D81605,Huntly Grove,,GP,,,,,,,,,,,,,,,,,,
D81606,"Orchard Surgery, St Ives",,GP,,,,,,,,,,,,,,,,,,
D81607,Swavesey Surgery,,GP,,,,,,,,,,,,,,,,,,
D81611,Fenland Group Practice,,GP,,,,,,,,,,,,,,,,,,
D81612,Milton Surgery,,GP,,,,,,,,,,,,,,,,,,
D81615,Thorpe Road,,GP,,,,,,,,,,,,,,,,,,
D81616,Hodgson Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81618,Ailsworth Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81619,Parkhall Surgery,,GP,,,,,,,,,,,,,,,,,,
D81622,Trinity Surgery,,GP,,,,,,,,,,,,,,,,,,
D81623,Old Exchange Surgery,,GP,,,,,,,,,,,,,,,,,,
D81624,Dogsthorpe Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81625,Thistlemoor Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81629,Bushfield,,GP,,,,,,,,,,,,,,,,,,
D81630,Hampton Health,,GP,,,,,,,,,,,,,,,,,,
D81631,Central Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D81633,Acorn Surgery,,GP,,,,,,,,,,,,,,,,,,
D81637,Monkfield Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D81645,The Grange Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82001,Holt Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82002,Grove Surgery,,GP,,,,,,,,,,,,,,,,,,
D82003,Central Healthcare Centre,,GP,,,,,,,,,,,,,,,,,,
D82004,Cromer Group Practice,,GP,,,,,,,,,,,,,,,,,,
D82005,Sheringham Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82006,Chet Valley Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82007,East Norfolk Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82008,St Stephen's Gate M/Pract,,GP,,,,,,,,,,,,,,,,,,
D82009,Stalham Staithe Surgery,,GP,,,,,,,,,,,,,,,,,,
D82010,Grimston Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82011,Castle Partnership,,GP,,,,,,,,,,,,,,,,,,
D82012,Magdalen Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82013,Old Catton Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82015,Bridge Street Surgery,,GP,,,,,,,,,,,,,,,,,,
D82016,Market Surgery,,GP,,,,,,,,,,,,,,,,,,
D82017,Trinity & Bowthorpe Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82018,Hellesdon Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82019,The Millwood Partnership,,GP,,,,,,,,,,,,,,,,,,
D82020,Orchard Surgery,,GP,,,,,,,,,,,,,,,,,,
D82022,Lawns Practice,,GP,,,,,,,,,,,,,,,,,,
D82023,Roundwell Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82024,Taverham Partnership,,GP,,,,,,,,,,,,,,,,,,
D82025,Hoveton & Wroxham Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82026,Lakenham Surgery,,GP,,,,,,,,,,,,,,,,,,
D82027,Heacham Group Practice,,GP,,,,,,,,,,,,,,,,,,
D82028,Ludham and Stalham Green Surgeries,,GP,,,,,,,,,,,,,,,,,,
D82029,Drayton & St Faiths Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82030,Reepham & Aylsham Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82031,Parish Fields Practice,,GP,,,,,,,,,,,,,,,,,,
D82032,Brundall Medical Partnership,,GP,,,,,,,,,,,,,,,,,,
D82034,Attleborough Surgery,,GP,,,,,,,,,,,,,,,,,,
D82035,Upwell Health Centre,,GP,,,,,,,,,,,,,,,,,,
D82036,Old Mill and Millgates Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82037,Long Stratton Medical Partnership,,GP,,,,,,,,,,,,,,,,,,
D82038,Wells Health Centre,,GP,,,,,,,,,,,,,,,,,,
D82039,Mattishall Surgery,,GP,,,,,,,,,,,,,,,,,,
D82040,Wensum Valley Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82041,School Lane Surgery,,GP,,,,,,,,,,,,,,,,,,
D82042,E Harling & Kenninghall Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82043,Watlington Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82044,Vida Healthcare,,GP,,,,,,,,,,,,,,,,,,
D82045,Wymondham Medical Partnership,,GP,,,,,,,,,,,,,,,,,,
D82046,Church Hill Surgery,,GP,,,,,,,,,,,,,,,,,,
D82047,Oak Street Medical Pract.,,GP,,,,,,,,,,,,,,,,,,
D82048,Thorpewood Medical Group,,GP,,,,,,,,,,,,,,,,,,
D82049,Litcham Health Centre,,GP,,,,,,,,,,,,,,,,,,
D82050,Theatre Royal Surgery,,GP,,,,,,,,,,,,,,,,,,
D82051,St James Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82053,Mundesley Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82054,Fakenham Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82056,Elmham Surgery,,GP,,,,,,,,,,,,,,,,,,
D82057,Campingland Surgery,,GP,,,,,,,,,,,,,,,,,,
D82058,Coastal Villages Practice,,GP,,,,,,,,,,,,,,,,,,
D82059,Birchwood Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82060,Bacon Road Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82062,Coltishall Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82063,Watton Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82064,Humbleyard Practice,,GP,,,,,,,,,,,,,,,,,,
D82065,Manor Farm Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82066,Paston Surgery,,GP,,,,,,,,,,,,,,,,,,
D82067,The Park Surgery,,GP,,,,,,,,,,,,,,,,,,
D82068,Howdale Surgery,,GP,,,,,,,,,,,,,,,,,,
D82069,Newmarket Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D82070,Great Massingham Surgery,,GP,,,,,,,,,,,,,,,,,,
D82071,East Norwich Medical Partnership,,GP,,,,,,,,,,,,,,,,,,
D82072,Burnham Surgery,,GP,,,,,,,,,,,,,,,,,,
D82073,The Lionwood Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82076,Lawson Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D82078,Heathgate Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82079,Feltwell Surgery,,GP,,,,,,,,,,,,,,,,,,
D82080,Blofield Surgery,,GP,,,,,,,,,,,,,,,,,,
D82081,Falkland Surgery,,GP,,,,,,,,,,,,,,,,,,
D82084,Harleston Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82085,Hingham Surgery,,GP,,,,,,,,,,,,,,,,,,
D82087,Prospect Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D82088,UEA Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82096,Woodcock Rd Surgery,,GP,,,,,,,,,,,,,,,,,,
D82099,Southgates Surgical & Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82100,Shipdham Surgery,,GP,,,,,,,,,,,,,,,,,,
D82104,Acle Medical Partnership,,GP,,,,,,,,,,,,,,,,,,
D82105,St Clements Surgery,,GP,,,,,,,,,,,,,,,,,,
D82106,West Pottergate Med Prac,,GP,,,,,,,,,,,,,,,,,,
D82600,Fleggburgh Surgery,,GP,,,,,,,,,,,,,,,,,,
D82604,Boughton Surgery,,GP,,,,,,,,,,,,,,,,,,
D82613,Gorleston Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82618,The Woottons Surgery,,GP,,,,,,,,,,,,,,,,,,
D82621,Plowright Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D82624,Windmill Surgery,,GP,,,,,,,,,,,,,,,,,,
D82628,Aldborough Surgery,,GP,,,,,,,,,,,,,,,,,,
D83001,Constable Country Rural Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D83002,Alexandra & Crestview Surgeries,,GP,,,,,,,,,,,,,,,,,,
D83003,Wickhambrook Surgery,,GP,,,,,,,,,,,,,,,,,,
D83004,Felixstowe Road Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D83005,Angel Hill Surgery,,GP,,,,,,,,,,,,,,,,,,
D83006,Bildeston Health Centre,,GP,,,,,,,,,,,,,,,,,,
D83007,Ixworth Surgery,,GP,,,,,,,,,,,,,,,,,,
D83008,Burlington Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D83009,Beccles Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D83010,Longshore Surgeries,,GP,,,,,,,,,,,,,,,,,,
D83011,Bridge Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D83012,Christmas Maltings and Clements Practice,,GP,,,,,,,,,,,,,,,,,,
D83013,The Guildhall and Barrow Surgery,,GP,,,,,,,,,,,,,,,,,,
D83014,The Long Melford Practice,,GP,,,,,,,,,,,,,,,,,,
D83015,Howard House Surgery,,GP,,,,,,,,,,,,,,,,,,
D83016,Victoria Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D83017,Needham Market Country Practice,,GP,,,,,,,,,,,,,,,,,,
D83018,Market Cross Surgery,,GP,,,,,,,,,,,,,,,,,,
D83019,Mendlesham Health Centre,,GP,,,,,,,,,,,,,,,,,,
D83020,The Holbrook and Shotley Practice,,GP,,,,,,,,,,,,,,,,,,
D83021,Haverhill Family Practice,,GP,,,,,,,,,,,,,,,,,,
D83022,Sole Bay H/C,,GP,,,,,,,,,,,,,,,,,,
D83023,High Street Surgery,,GP,,,,,,,,,,,,,,,,,,
D83024,Ivry Street Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D83026,Framlingham Surgery,,GP,,,,,,,,,,,,,,,,,,
D83027,Orchard House Surgery,,GP,,,,,,,,,,,,,,,,,,
D83028,Leiston Surgery,,GP,,,,,,,,,,,,,,,,,,
D83029,The Rookery Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D83030,Kirkley Mill Health Centre,,GP,,,,,,,,,,,,,,,,,,
D83033,Botesdale Health Centre,,GP,,,,,,,,,,,,,,,,,,
D83034,Bungay Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D83035,Cutlers Hill Surgery,,GP,,,,,,,,,,,,,,,,,,
D83036,Church Farm Surgery,,GP,,,,,,,,,,,,,,,,,,
D83037,Hadleigh Boxford Group Practice,,GP,,,,,,,,,,,,,,,,,,
D83038,Mount Farm Surgery,,GP,,,,,,,,,,,,,,,,,,
D83039,The Chesterfield Drive Practice,,GP,,,,,,,,,,,,,,,,,,
D83040,Victoria Surgery,,GP,,,,,,,,,,,,,,,,,,
D83041,Debenham Group Practice,,GP,,,,,,,,,,,,,,,,,,
D83043,Eye Health Centre,,GP,,,,,,,,,,,,,,,,,,
D83044,Stowhealth,,GP,,,,,,,,,,,,,,,,,,
D83045,Lakenheath Surgery,,GP,,,,,,,,,,,,,,,,,,
D83046,Two Rivers Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D83047,Rosedale Surgery,,GP,,,,,,,,,,,,,,,,,,
D83048,Grove Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D83049,Little St John Street Surgery,,GP,,,,,,,,,,,,,,,,,,
D83050,Deben Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D83051,The Derby Road Practice,,GP,,,,,,,,,,,,,,,,,,
D83053,Saxmundham Health Centre,,GP,,,,,,,,,,,,,,,,,,
D83054,The Peninsula Practice,,GP,,,,,,,,,,,,,,,,,,
D83055,Woolpit Health Centre,,GP,,,,,,,,,,,,,,,,,,
D83056,Hawthorn Drive Surgery,,GP,,,,,,,,,,,,,,,,,,
D83057,Framfield House Surgery,,GP,,,,,,,,,,,,,,,,,,
D83058,The Norwich Road Surgery,,GP,,,,,,,,,,,,,,,,,,
D83059,Barrack Lane Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D83060,Hardwicke House Group Practice,,GP,,,,,,,,,,,,,,,,,,
D83061,Wickham Market Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D83062,Forest Surgery,,GP,,,,,,,,,,,,,,,,,,
D83064,Glemsford Surgery,,GP,,,,,,,,,,,,,,,,,,
D83067,Oakfield Surgery,,GP,,,,,,,,,,,,,,,,,,
D83069,Fressingfield Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D83070,Stanton,,GP,,,,,,,,,,,,,,,,,,
D83073,Dr Solway & Dr Whale Practice,,GP,,,,,,,,,,,,,,,,,,
D83074,Orchard Medical Practice,,GP,,,,,,,,,,,,,,,,,,
D83075,Siam Surgery,,GP,,,,,,,,,,,,,,,,,,
D83076,Clare Guildhall Surgery,,GP,,,,,,,,,,,,,,,,,,
D83078,The Reynard Surgery,,GP,,,,,,,,,,,,,,,,,,
D83079,Combs Ford Surgery,,GP,,,,,,,,,,,,,,,,,,
D83080,Martlesham Surgery,,GP,,,,,,,,,,,,,,,,,,
D83081,Haven Health,,GP,,,,,,,,,,,,,,,,,,
D83082,Walton Surgery,,GP,,,,,,,,,,,,,,,,,,
D83084,The Birches Medical Centre,,GP,,,,,,,,,,,,,,,,,,
D83608,andaman Surgery,,GP,,,,,,,,,,,,,,,,,,
D83610,Swan Surgery,,GP,,,,,,,,,,,,,,,,,,
D83615,The Barham & Claydon Surgery,,GP,,,,,,,,,,,,,,,,,,
E81001,Dr I Saleh's Practice,,GP,,,,,,,,,,,,,,,,,,
E81002,Greensand Surgery (Ampthill),,GP,,,,,,,,,,,,,,,,,,
E81003,Dr Jl Henderson & Partners,,GP,,,,,,,,,,,,,,,,,,
E81004,Salisbury House Surgery,,GP,,,,,,,,,,,,,,,,,,
E81005,Bell House Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E81006,Stopsley Village Practice,,GP,,,,,,,,,,,,,,,,,,
E81007,Harrold Medical Practice,,GP,,,,,,,,,,,,,,,,,,
E81008,Wheatfield Surgery,,GP,,,,,,,,,,,,,,,,,,
E81009,West Street Surgery,,GP,,,,,,,,,,,,,,,,,,
E81010,Dr Whm Matta's Practice,,GP,,,,,,,,,,,,,,,,,,
E81011,Goldington Medical Practice,,GP,,,,,,,,,,,,,,,,,,
E81012,Greensands (Potton),,GP,,,,,,,,,,,,,,,,,,
E81013,Castle Medical Group Practice,,GP,,,,,,,,,,,,,,,,,,
E81014,Priory Gardens Surgery,,GP,,,,,,,,,,,,,,,,,,
E81015,Flitwick Surgery,,GP,,,,,,,,,,,,,,,,,,
E81016,Lister House Surgery,,GP,,,,,,,,,,,,,,,,,,
E81017,Pemberley Surgery,,GP,,,,,,,,,,,,,,,,,,
E81018,Dr Jk Marsden's Practice,,GP,,,,,,,,,,,,,,,,,,
E81019,London Road Health Centre,,GP,,,,,,,,,,,,,,,,,,
E81021,Queens Park Health Centre,,GP,,,,,,,,,,,,,,,,,,
E81022,Larksfield Surgery Medical Partnership,,GP,,,,,,,,,,,,,,,,,,
E81023,Cater Street Surgery,,GP,,,,,,,,,,,,,,,,,,
E81024,Sharnbrook Surgery,,GP,,,,,,,,,,,,,,,,,,
E81025,The Oakley Surgery,,GP,,,,,,,,,,,,,,,,,,
E81026,Larkside Practice,,GP,,,,,,,,,,,,,,,,,,
E81027,Houghton Regis Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E81028,Dr R Khanchandani's Practice,,GP,,,,,,,,,,,,,,,,,,
E81029,Putnoe Medical Centre Partnership,,GP,,,,,,,,,,,,,,,,,,
E81030,Cauldwell Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E81031,Great Barford Surgery,,GP,,,,,,,,,,,,,,,,,,
E81032,Lea Vale Medical Practice,,GP,,,,,,,,,,,,,,,,,,
E81033,Shefford Health Centre,,GP,,,,,,,,,,,,,,,,,,
E81034,Toddington Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E81035,Sandy Health Centre,,GP,,,,,,,,,,,,,,,,,,
E81036,Ivel Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E81037,The De Parys Group,,GP,,,,,,,,,,,,,,,,,,
E81038,King Street Surgery,,GP,,,,,,,,,,,,,,,,,,
E81040,Sundon Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E81041,Gardenia Practice,,GP,,,,,,,,,,,,,,,,,,
E81043,Cranfield Surgery,,GP,,,,,,,,,,,,,,,,,,
E81044,Leighton Road Surgery,,GP,,,,,,,,,,,,,,,,,,
E81045,Kingsbury Court Surgery,,GP,,,,,,,,,,,,,,,,,,
E81046,Dr Hughes & Partners,,GP,,,,,,,,,,,,,,,,,,
E81047,Goldington Avenue Surgery,,GP,,,,,,,,,,,,,,,,,,
E81048,Bute House Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E81049,Priory Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E81050,Asplands Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E81052,Kirby Road Surgery,,GP,,,,,,,,,,,,,,,,,,
E81054,Sundon Park Health Centre,,GP,,,,,,,,,,,,,,,,,,
E81056,St. John's Street Surgery,,GP,,,,,,,,,,,,,,,,,,
E81057,Saffron Road Surgery,,GP,,,,,,,,,,,,,,,,,,
E81059,Shannon Court Surgery,,GP,,,,,,,,,,,,,,,,,,
E81060,Linden Road Surgery,,GP,,,,,,,,,,,,,,,,,,
E81061,Dr Collins and Carragher,,GP,,,,,,,,,,,,,,,,,,
E81063,Dr K Prasad's Practice,,GP,,,,,,,,,,,,,,,,,,
E81064,Phoenix Primary Care (South) Ltd,,GP,,,,,,,,,,,,,,,,,,
E81065,Dr Sa Subramony's Practice,,GP,,,,,,,,,,,,,,,,,,
E81069,Caddington Surgery,,GP,,,,,,,,,,,,,,,,,,
E81073,The Medici Medical Practice,,GP,,,,,,,,,,,,,,,,,,
E81074,Houghton Close Surgery,,GP,,,,,,,,,,,,,,,,,,
E81075,Kingfisher Practice,,GP,,,,,,,,,,,,,,,,,,
E81076,Dr Dv Shah's Practice,,GP,,,,,,,,,,,,,,,,,,
E81077,Oliver Street Surgery,,GP,,,,,,,,,,,,,,,,,,
E81611,Rothsay Surgery,,GP,,,,,,,,,,,,,,,,,,
E81612,Drs Mirza Sukhani & Partners,,GP,,,,,,,,,,,,,,,,,,
E81615,Ashburnham Road Surgery,,GP,,,,,,,,,,,,,,,,,,
E81617,Dr Ps Bath's Practice,,GP,,,,,,,,,,,,,,,,,,
E81631,Malzeard Road Practice,,GP,,,,,,,,,,,,,,,,,,
E81632,Barton Hills Medical Group,,GP,,,,,,,,,,,,,,,,,,
E81633,Neville Road Surgery,,GP,,,,,,,,,,,,,,,,,,
E81635,Eastgate Surgery,,GP,,,,,,,,,,,,,,,,,,
E82001,Rothschild House Surgery,,GP,,,,,,,,,,,,,,,,,,
E82002,Wrafton House Surgery,,GP,,,,,,,,,,,,,,,,,,
E82004,Hatfield Road Surgery,,GP,,,,,,,,,,,,,,,,,,
E82005,Stanmore Medical Group,,GP,,,,,,,,,,,,,,,,,,
E82006,The Limes Surgery,,GP,,,,,,,,,,,,,,,,,,
E82007,Hanscombe House Surgery,,GP,,,,,,,,,,,,,,,,,,
E82008,The Nevells Road Surgery,,GP,,,,,,,,,,,,,,,,,,
E82009,Lincoln House Surgery,,GP,,,,,,,,,,,,,,,,,,
E82012,Fairbrook Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E82013,Bridgewater Surgeries,,GP,,,,,,,,,,,,,,,,,,
E82014,Lodge Group,,GP,,,,,,,,,,,,,,,,,,
E82015,Suthergrey House Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E82017,Garston Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E82018,Lister House Surgery,,GP,,,,,,,,,,,,,,,,,,
E82019,Bridge Cottage Surgery,,GP,,,,,,,,,,,,,,,,,,
E82020,Consulting Rooms,,GP,,,,,,,,,,,,,,,,,,
E82021,Much Hadham Health Centre,,GP,,,,,,,,,,,,,,,,,,
E82022,Fernville Surgery,,GP,,,,,,,,,,,,,,,,,,
E82023,Burvill House Surgery,,GP,,,,,,,,,,,,,,,,,,
E82024,Wallace House,,GP,,,,,,,,,,,,,,,,,,
E82025,Park End Surgery,,GP,,,,,,,,,,,,,,,,,,
E82027,Parkfield Medical Centre,,GP,,,,,,,,,,,,,,,,,,
E82028,Berkhamsted Group Practice,,GP,,,,,,,,,,,,,,,,,,
E82031,Maltings Surgery,,GP,,,,,,,,,,,,,,,,,,
E82032,Bennetts End Surgery,,GP,,,,,,,,,,,,,,,,,,
E82034,Tudor Surgery,,GP,,,,,,,,,,,,,,,,,,
E82035,Knebworth & Marymead Medical Practice,,GP,,,,,,,,,,,,,,,,,,
E82037,Village Surgery,,GP,,,,,,,,,,,,,,,,,,
E82038,Puckeridge & Standon Surgery,,GP,,,,,,,,,,,,,,,,,,
E82040,Peartree Lane Surgery,,GP,,,,,,,,,,,,,,,,,,
