Q2,Q7,Q8,Q9,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q22,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q27,Q28,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q39_1,Q39_2,Q39_3,Q40,Q41_1,Q41_2,Q42_1,Q42_2,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q44_1_1,Q44_1_2,Q44_1_3,Q44_1_4,Q44_1_5,Q44_2_1,Q44_2_2,Q44_2_3,Q44_2_4,Q44_2_5,Q45,Q49,Q50,Q51,Q52,Q52_13_Other,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q54,Q54_6_Other,Q55,Q55_8_Other,Q56,Q56_4_Other,Q56_18_Other,Q57,DBMSOA,DBIMDDECILE,DBWARD,DBNEIGHBOURHOOD,Q26WEBWBSMETRIC,WEIGHT,SWEMWBS_Score,SWEMWBSCategories
Fairly satisfied,3,Neither agree nor disagree,Fairly unsafe,Fairly unsafe,Not changed much (hasn't got better or worse),Not at all strongly,Not at all strongly,I feel the same,Tend to agree,Tend to disagree,Fairly likely,Very good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely disagree,Tend to disagree,Definitely agree,Definitely disagree,Definitely agree,Definitely agree,Definitely agree,Tend to disagree,Less frequently,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,1 day,Often,Often,Some of the time,All of the time,Often,Some of the time,Often,Not at all,Only sometimes,Some but less than 1 hour,More than 2 and a half hours,Some but less than 1 hour,More than 2 and a half hours,Some but less than 1 hour,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Yes,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Glastonbury,Cov City home game,Everton FC - home game,No - I don't think it has changed my perception,None,None,Yes,Yes,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,25-34,Married,In full time paid work, ,3,0,0,0,2,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001983,8,Sherbourne Ward,SW,24.11,3.9136352,27,Average Mental Wellbeing
Very satisfied,1 - Terrible,Tend to agree,Very safe,Fairly safe,Got better to live in,Very strongly,Not at all strongly,I feel the same,Definitely agree,Tend to agree,Not at all likely,Good,"Yes, but I no longer smoke","No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely disagree,Definitely disagree,Tend to agree,Definitely agree,Definitely agree,Tend to agree,Definitely agree,Definitely disagree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,5-6 days,5 days,All of the time,All of the time,Often,All of the time,Often,Some of the time,All of the time,Not at all,Never,1 hour but less than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Yes,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person, , , ,No - I don't think it has changed my perception,None,None,No,No,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Male,35-44,Married,In full time paid work, ,0,1,0,0,2,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001998,10,Wainbody Ward,SW,28.13,1.20255275,31,High Mental Wellbeing
Very satisfied,5 - Fantastic,Tend to agree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Fairly strongly,Very strongly,Don't know,Tend to agree,Definitely agree,Not very likely,Good,No,"No, I have never used e-cigarettes",At least one portion but less than 3 portions,Definitely agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Definitely agree,Tend to disagree,Once or twice a month,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,Often,All of the time,Often,All of the time,All of the time,All of the time,Often,Not at all,Only sometimes,Some but less than 1 hour,1 hour but less than 2 and a half hours,Some but less than 1 hour,None,None,Both,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,In person,Both,Both,Yes,Both,Not attended/done at least three times in past 12 months,Both,Both,Not attended/done at least three times in past 12 months,In person,In person,Both,Both,Art exhibition,Cinema,Folk party,Yes - it has changed my perception in a positive way,None,1,Yes,Don't know,10 - Very worried,9,8,6,5,5,0 - Not worried at all,1,0 - Not worried at all,5,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,Not,No but I would like to,No,Female,45-54,Married,In full time paid work, ,0,0,1,0,3,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: Other (please specify in the box below),Polish, ,Not an ex-services member or their dependant,E02001990,8,Binley and Willenhall Ward,SE,29.31,.725070667,32,High Mental Wellbeing
Fairly satisfied,I haven't visited Coventry City Centre in the last year,I haven't visited Coventry City Centre in the last year,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,I feel the same,Tend to agree,Tend to disagree,Fairly likely,Fair,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Once or twice a month,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Often,Often,"Yes, limited a little",Only sometimes,Some but less than 1 hour,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,In person,In person,In person,In person,In person,In person,In person,In person,In person,No, , , , , , , , , , , , ,Yes - it has changed my perception in a positive way,2 or 3,2 or 3,Yes,Yes,8,5,8,8,10 - Very worried,7,6,10 - Very worried,8,6,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,25-34,Single (Never married and never registered a same-sex civil partnership),In full time paid work, ,0,0,0,0,1,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001979,7,Whoberley Ward,SW,19.98,2.839696818,22,Average Mental Wellbeing
Fairly satisfied,3,Neither agree nor disagree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Not very strongly,Not very strongly,I feel the same,Tend to agree,Tend to agree,Not very likely,Very good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to disagree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Definitely agree,Tend to disagree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,0 days,Rarely,Some of the time,Some of the time,Some of the time,Often,Some of the time,Often,Not at all,Never,None,1 hour but less than 2 and a half hours,Some but less than 1 hour,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Play at Belgrade Coventry,Live music concert but wasn't in Coventry,Food festival but wasn't in Coventry,Yes - it has changed my perception in a positive way,1,None,Yes,Don't know,1,1,3,2,3,0 - Not worried at all,2,0 - Not worried at all,0 - Not worried at all,3,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,45-54,Married,In full time paid work, ,0,0,0,0,2,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001998,10,Wainbody Ward,SW,19.98,.628729514,22,Average Mental Wellbeing
Fairly satisfied,1 - Terrible,Strongly disagree,Fairly unsafe,Fairly unsafe,Got worse to live in,Fairly strongly,Very strongly,I feel the same,Neither agree nor disagree,Definitely agree,Not at all likely,Good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Definitely disagree,Tend to agree,Tend to agree,Definitely disagree,Tend to agree,Definitely agree,Tend to agree,Once or twice a week,"You and other household members had enough to eat, but not always the kinds of food you wanted",7 days,7 days,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Often,"Yes, limited a little",Never,Some but less than 1 hour,1 hour but less than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,Not attended/done at least three times in past 12 months,Both,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,None,None,None,No - I don't think it has changed my perception,None,None,Don't know,Don't know,5,8,8,8,8,10 - Very worried,8,10 - Very worried,8,8,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,55-64,Married,In part time paid work, ,0,0,0,0,3,0,0,Heterosexual, ,Hindu, ,Asian: Asian British Indian, , ,Not an ex-services member or their dependant,E02001978,5,Upper Stoke Ward,SE,18.59,.668158302,20,Possible Depression
Very satisfied,3,Tend to agree,Neither safe nor unsafe,Fairly safe,Got better to live in,Fairly strongly,Not very strongly,I feel the same,Definitely agree,Tend to agree,Fairly likely,Good,"Yes, but I no longer smoke","No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to disagree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Tend to disagree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,1 day,Some of the time,Often,Often,Often,Often,Often,All of the time,Not at all,Only sometimes,Some but less than 1 hour,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,More than 2 and a half hours,Both,In person,In person,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,Both,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,cemetory installation,coventry theatre,concert at methodist hall,Yes - it has changed my perception in a positive way,2 or 3,2 or 3,Yes,Don't know,0 - Not worried at all,4,4,2,1,1,2,1,1,3,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Female,65-74,Married,Retired, ,0,0,0,0,0,2,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001994,9,Cheylesmore Ward,SE,25.03,.481338542,28,High Mental Wellbeing
Very satisfied,5 - Fantastic,Strongly agree,Fairly safe,Fairly safe,Not changed much (hasn't got better or worse),Very strongly,Very strongly,I feel the same,Tend to agree,Don't know,Not at all likely,Good,"Yes, but I no longer smoke","No, I have never used e-cigarettes",At least 5 portions,Tend to agree,Definitely agree,Definitely agree,Definitely disagree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,0 days,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,"Yes, limited a little",Almost all the time,None,1 hour but less than 2 and a half hours,None,None,None,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,2 or 3,2 or 3,Yes,Yes,8,8,8,5,6,8,8,8,6,8,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,45-54,Married,In full time paid work, ,0,0,0,0,3,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001965,5,Henley Ward,NE,18.59,.77264925,20,Possible Depression
Fairly satisfied,4,Tend to agree,Fairly unsafe,Fairly safe,Not changed much (hasn't got better or worse),Fairly strongly,Not very strongly,I feel less of a sense of belonging,Neither agree nor disagree,Tend to agree,Fairly likely,Good,No,"No, I have never used e-cigarettes",At least one portion but less than 3 portions,Definitely agree,Tend to agree,Definitely agree,Tend to disagree,Tend to disagree,Tend to disagree,Tend to agree,Tend to agree,Once or twice a month,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,Often,Often,Some of the time,Some of the time,Often,Some of the time,All of the time,Not at all,Quite often,More than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,More than 2 and a half hours,Some but less than 1 hour,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Summer Ball capital fm,The reel store,Laser show at cathedral,Yes - it has changed my perception in a positive way,4 or more,4 or more,Don't know,Don't know,5,7,9,1,9,1,3,9,10 - Very worried,6,Not,Not,I have in the past but no longer do so,Not,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,16-24,Surviving partner from a same-sex civil partnership,In full time paid work, ,0,0,0,0,1,0,0,Heterosexual, ,No religion, ,White: Other (please specify in the box below),White, ,Not an ex-services member or their dependant,E02001988,4,St. Michael's Ward,SE,23.21,5.102535771,26,Average Mental Wellbeing
Fairly satisfied,4,Tend to agree,Fairly safe,Very safe,Got better to live in,Fairly strongly,Fairly strongly,I feel more of a sense of belonging,Tend to agree,Definitely disagree,Fairly likely,Good,"Yes, but I no longer smoke","No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Definitely agree,Tend to agree,Tend to disagree,Definitely disagree,Tend to disagree,Definitely agree,Tend to disagree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,2 days,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Often,Some of the time,"Yes, limited a little",Quite often,More than 2 and a half hours,Some but less than 1 hour,None,None,Some but less than 1 hour,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Gigs at the tin arts,Gigs at the crew in Nuneaton, ,Yes - it has changed my perception in a positive way,None,None,Yes,Yes,10 - Very worried,10 - Very worried,10 - Very worried,6,10 - Very worried,9,7,10 - Very worried,8,8,Not,Not,Not,Not,No but I would like to,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Female,35-44,Single (Never married and never registered a same-sex civil partnership),In full time paid work, ,0,0,0,0,3,0,0,Heterosexual, ,No religion, ,White: Irish, , ,Not an ex-services member or their dependant,E02001985,4,St. Michael's Ward,SE,18.59,1.124108227,20,Possible Depression
Fairly satisfied,3,Strongly disagree,Fairly safe,Fairly safe,Got worse to live in,Not very strongly,Not very strongly,I feel the same,Tend to agree,Definitely disagree,Not very likely,Good,"Yes, but I no longer smoke","Yes, but I no longer use e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to disagree,Definitely agree,Tend to agree,Tend to agree,Definitely agree,Definitely agree,Tend to agree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Once a week,0 days,Rarely,Often,Some of the time,Often,Often,All of the time,Often,Not at all,Only sometimes,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,None,More than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Jethro Tull Christmas concert at Coventry Cathedral,Cara Dillon concert at Draper Hall,Cinema for No Time To Die movie,No - I don't think it has changed my perception,None,None,No,No,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,45-54,Married,In full time paid work, ,0,0,0,0,2,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001995,6,Cheylesmore Ward,SE,23.21,.899328213,26,Average Mental Wellbeing
Fairly satisfied,5 - Fantastic,Strongly agree,Fairly safe,Fairly safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,I feel less of a sense of belonging,Definitely agree,Tend to disagree,Fairly likely,Fair,No,"No, I have never used e-cigarettes",At least one portion but less than 3 portions,Tend to agree,Definitely agree,Definitely agree,Tend to disagree,Tend to disagree,Definitely agree,Definitely agree,Definitely disagree,Less frequently,Sometimes you and other household members did not have enough to eat,I Don't drink,0 days,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,None of the time,Some of the time,"Yes, limited a little",Almost all the time,None,None,Some but less than 1 hour,None,Some but less than 1 hour,Both,In person,Virtual,In person,Both,Virtual,Virtual,In person,Both,Yes,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Virtual,Virtual,Virtual,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Both,Not attended/done at least three times in past 12 months,None,None,None,No - I don't think it has changed my perception,None,None,Don't know,Don't know,10 - Very worried,9,10 - Very worried,10 - Very worried,8,8,9,9,6,10 - Very worried,Not,Not,Not,Not,No but I would like to,Not,Not,Not,No and I do not wish to for now,Not,No,Male,45-54,Married,In full time paid work, ,0,3,0,0,2,0,0,Bisexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,Black: Black British African, , ,Not an ex-services member or their dependant,E02001992,3,Binley and Willenhall Ward,SE,17.43,.899328213,18,Possible Depression
Very satisfied,4,Strongly agree,Fairly safe,Very safe,Got worse to live in,Very strongly,Very strongly,I feel the same,Definitely agree,Tend to agree,Fairly likely,Good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to agree,Definitely agree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Tend to agree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,2 days,Often,All of the time,Often,Often,All of the time,All of the time,All of the time,Not at all,Never,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,More than 2 and a half hours,Both,In person,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Theatre,Exhibition,Memorial park events,Yes - it has changed my perception in a positive way,2 or 3,4 or more,Don't know,Don't know,0 - Not worried at all,0 - Not worried at all,3,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Female,65-74,Married,Retired, ,0,0,0,0,0,2,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001997,10,Earlsdon Ward,SW,29.31,.403053742,32,High Mental Wellbeing
Very satisfied,4,Strongly agree,Very unsafe,Neither safe nor unsafe,Got better to live in,Not very strongly,Fairly strongly,I feel the same,Definitely agree,Tend to agree,Not very likely,Good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Tend to disagree,Tend to agree,Definitely agree,Tend to disagree,Definitely disagree,Definitely agree,Tend to disagree,Tend to agree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,1 day,Often,Some of the time,Rarely,Some of the time,Some of the time,Often,Often,Not at all,Only sometimes,More than 2 and a half hours,1 hour but less than 2 and a half hours,More than 2 and a half hours,None,Some but less than 1 hour,In person,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,In person,No, , , , , , , , , ,choir of man, , ,Yes - it has changed my perception in a positive way,None,1,Yes,Don't know,9,8,7,8,10 - Very worried,9,6,3,8,4,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,Not,Not,I have in the past but no longer do so,Not,Not,No,Female,16-24,Single (Never married and never registered a same-sex civil partnership),In full-time education, ,0,0,0,0,4,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001993,2,Westwood Ward,SW,20.73,2.839696818,23,Average Mental Wellbeing
Fairly satisfied,4,Tend to agree,Fairly safe,Fairly safe,Not changed much (hasn't got better or worse),Fairly strongly,Very strongly,I feel more of a sense of belonging,Definitely agree,Definitely disagree,Fairly likely,Good,No,"No, I have never used e-cigarettes",At least one portion but less than 3 portions,Definitely disagree,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Once or twice a month,"You and other household members had enough to eat, but not always the kinds of food you wanted",2-4 days,2 days,Rarely,Often,Some of the time,Some of the time,Some of the time,Rarely,Often,Not at all,Quite often,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,More than 2 and a half hours,None,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,No,No,7,5,3,7,7,7,5,6,6,5,Not,Not,Not,Not,No but I would like to,Not,Not,Not,Not,No but I would like to,No,Male,25-34,Co-habiting,In full time paid work, ,0,0,0,0,1,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001973,3,Upper Stoke Ward,SE,19.25,10.57284495,21,Average Mental Wellbeing
Fairly satisfied,4,Strongly agree,Don't know,Fairly safe,Have not lived here long enough to say,Not at all strongly,Not very strongly,I feel the same,Tend to agree,Don't know,Not very likely,Good,No,"No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Tend to agree,Tend to disagree,Tend to agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Once or twice a week,"You and other household members had enough to eat, but not always the kinds of food you wanted",Less than once a week,0 days,Often,Some of the time,Some of the time,Some of the time,Some of the time,All of the time,Often,Not at all,Quite often,Some but less than 1 hour,None,None,1 hour but less than 2 and a half hours,None,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Jungle Concert in Manchester's,Spider-Man: No Way Home at Odeon in Coventry, ,Yes - it has changed my perception in a positive way,None,1,Yes,Don't know,7,0 - Not worried at all,5,4,3,5,0 - Not worried at all,5,4,5,Not,Not,Not,Not,No but I would like to,Not,Not,Not,No and I do not wish to for now,Not,No,Female,25-34,Co-habiting,In full-time education, ,0,0,0,0,2,0,0,Pansexual, ,Other religion (please specify),Spiritual,Mixed: White and Black African, , ,Not an ex-services member or their dependant,E02001973,2,Upper Stoke Ward,SE,22.35,5.102535771,25,Average Mental Wellbeing
Fairly satisfied,4,Tend to agree,Very unsafe,Fairly unsafe,Got worse to live in,Not very strongly,Fairly strongly,I feel the same,Definitely disagree,Definitely disagree,Fairly likely,Very good,"Yes, I currently smoke","No, I have never used e-cigarettes",At least one portion but less than 3 portions,Tend to disagree,Tend to disagree,Definitely agree,Tend to agree,Tend to disagree,Definitely disagree,Tend to agree,Tend to agree,Less frequently,You and other household members always had enough of the kinds of foods you wanted to eat,Once a week,0 days,None of the time,Rarely,All of the time,Often,Often,None of the time,All of the time,Not at all,Never,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,No,No,9,5,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,6,7,2,0 - Not worried at all,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,25-34,Single (Never married and never registered a same-sex civil partnership),In full time paid work, ,0,0,0,0,4,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001993,1,Westwood Ward,SW,19.98,3.9136352,22,Average Mental Wellbeing
Neither satisfied nor dissatisfied,3,Tend to agree,Fairly unsafe,Fairly safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,I feel the same,Tend to agree,Tend to agree,Fairly likely,Good,No,"No, I have never used e-cigarettes",About one portion,Definitely agree,Tend to disagree,Definitely agree,Tend to disagree,Don't know,Definitely agree,Tend to disagree,Tend to agree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink,0 days,Rarely,Some of the time,Some of the time,Often,Some of the time,Some of the time,Often,Not at all,Only sometimes,None,More than 2 and a half hours,1 hour but less than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,Yes - it has changed my perception in a positive way,1,1,Yes,Don't know,8,6,6,2,2,3,2,2,2,1,"Yes, I volunteer with an organisation",Not,Not,Not,Not,"Yes, I volunteer with an organisation",Not,Not,Not,Not,No,Male,25-34,Married,In full time paid work, ,0,0,0,0,2,0,0,Heterosexual, ,Muslim, ,Asian: Asian British Pakistani, , ,Not an ex-services member or their dependant,E02001972,1,Foleshill Ward,NE,19.98,5.7502816,22,Average Mental Wellbeing
