survey,Please rate the quality of your experience:,I had a good time!,Did the event have an impact on your perception of Coventry?,This experience increases my pride in Coventry as an area.,Please indicate your gender?,What is your age bracket?,Do you identify as disabled?,Please indicate your ethnic origin and cultural background:,Ethnic Group,Sexuality
Observations On Being,Very Good,Agree,null,Agree,Male,65 +,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Not Sure,null,null,null,null,null,null
Observations On Being,Very Good,Agree,null,Agree,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,35 - 49,No,White â€“ Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,Yes,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Not Sure,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Agree,null,Agree,Male,65 +,No,White â€“ British,White British,null
Observations On Being,Very Poor,Strongly Disagree,null,Strongly Disagree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Poor,Strongly Disagree,null,Disagree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,65 +,Prefer Not To Say,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Not Sure,Female,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Female,35 - 49,No,White â€“ Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Good,Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,20 - 34,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Good,Strongly Agree,null,Strongly Agree,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Poor,Disagree,null,Strongly Disagree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Poor,Agree,null,Not Sure,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Not Sure,null,Not Sure,Male,65 +,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Not Sure,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,35 - 49,No,Any Other Mixed Background,Mixed or multiple ethnic group,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,null,null,null,null,null,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Other,65 +,No,White â€“ British,White British,null
Observations On Being,Poor,Disagree,null,Disagree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Disagree,Female,50 - 64,No,Any Other Mixed Background,Mixed or multiple ethnic group,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Agree,null,Not Sure,Female,35 - 49,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say,null
Observations On Being,Very Good,Agree,null,Not Sure,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,65 +,null,null,null,null
Observations On Being,Good,Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Strongly Agree,Male,50 - 64,No,Asian or Asian British â€“ Indian,Asian or Asian British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,20 - 34,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Disagree,Female,50 - 64,No,Mixed or Multiple - White and Black African,Mixed or multiple ethnic group,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Non-binary,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,50 - 64,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say,null
Observations On Being,Very Good,Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Not Sure,Female,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Poor,Strongly Disagree,null,Strongly Disagree,Female,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Strongly Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Good,Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Strongly Agree,Female,50 - 64,No,Asian or Asian British â€“ Indian,Asian or Asian British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Disagree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,Yes,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,Yes,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,Yes,White â€“ British,White British,null
Observations On Being,Not Sure,Disagree,null,Disagree,null,null,null,null,null,null
Observations On Being,Good,Agree,null,Not Sure,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Disagree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,20 - 34,Prefer Not To Say,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,20 - 34,Prefer Not To Say,Asian or Asian British â€“ Indian,Asian or Asian British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,Yes,White â€“ British,White British,null
Observations On Being,Good,null,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Poor,Agree,null,Disagree,Male,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,20 - 34,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Good,Agree,null,Agree,Non-binary,35 - 49,No,White â€“ British,White British,null
Observations On Being,Not Sure,Disagree,null,Strongly Disagree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Not Sure,Not Sure,null,Not Sure,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Poor,Agree,null,Not Sure,Non-binary,20 - 34,Yes,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,50 - 64,Yes,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,20 - 34,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Not Sure,null,null,Disagree,null,null,null,null,null,null
Observations On Being,Good,Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,65 +,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Male,65 +,No,White â€“ British,White British,null
Observations On Being,Poor,Disagree,null,Not Sure,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Female,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,20 - 34,Yes,Asian or Asian British â€“ Pakistani,Asian or Asian British,null
Observations On Being,Very Good,Agree,null,Not Sure,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Not Sure,Non-binary,35 - 49,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say,null
Observations On Being,Good,Not Sure,null,Disagree,Male,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,35 - 49,No,Any Other Mixed Background,Mixed or multiple ethnic group,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Not Sure,Male,50 - 64,No,Any Other Asian Background,Asian or Asian British,null
Observations On Being,Not Sure,Not Sure,null,Not Sure,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,20 - 34,No,Asian or Asian British â€“ Chinese,Asian or Asian British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,50 - 64,Yes,White â€“ British,White British,null
Observations On Being,Good,Strongly Agree,null,Strongly Agree,Female,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,35 - 49,No,White â€“ Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Very Good,Strongly Agree,null,Not Sure,Male,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,50 - 64,No,Prefer Not To Say,Prefer Not To Say,null
Observations On Being,Good,Agree,null,Agree,Female,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Non-binary,35 - 49,Yes,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,65 +,No,Prefer Not To Say,Prefer Not To Say,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,Asian or Asian British â€“ Indian,Asian or Asian British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Male,20 - 34,Yes,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Agree,Male,20 - 34,No,White â€“ British,White British,null
Observations On Being,Poor,Not Sure,null,Disagree,Female,20 - 34,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Male,65 +,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Disagree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,Yes,White â€“ British,White British,null
Observations On Being,Very Good,Agree,null,Agree,Female,65 +,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Not Sure,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Good,Agree,null,Not Sure,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,Mixed or Multiple - White and Asian,Mixed or multiple ethnic group,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,Yes,White â€“ British,White British,null
Observations On Being,Good,Agree,null,Not Sure,Male,35 - 49,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Strongly Agree,Female,50 - 64,No,White â€“ British,White British,null
Observations On Being,Very Good,Strongly Agree,null,Agree,Female,20 - 34,No,Black or Black British â€“ Caribbean,"Black, African, Caribbean, or Black British",null
Observations On Being,Good,Agree,null,Agree,Female,35 - 49,No,White â€“ British,White British,null
Observations On Being,Not Sure,Not Sure,null,Disagree,null,null,null,null,null,null
Observations On Being,Very Good,Agree,null,Disagree,Male,20 - 34,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Observations On Being,Very Good,Agree,null,Strongly Agree,Male,35 - 49,Yes,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Beneath The Trees,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Any Other Asian Background,Asian or Asian British,null
Beneath The Trees,Good,Agree,"No, it is the same",Not Sure,Female,20 - 34,No,Any Other Mixed Background,Mixed or multiple ethnic group,null
Beneath The Trees,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Asian or Asian British - Indian,Asian or Asian British,null
Beneath The Trees,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,Asian or Asian British - Indian,Asian or Asian British,null
Beneath The Trees,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Male,20 - 34,Yes,Asian or Asian British - Pakistani,Asian or Asian British,null
Beneath The Trees,Good,Agree,"Yes, it has improved",Agree,Female,20 - 34,No,Mixed or Multiple - White and Black Caribbean,Mixed or multiple ethnic group,null
Beneath The Trees,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,No,Mixed or Multiple - White and Black Caribbean,Mixed or multiple ethnic group,null
Beneath The Trees,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,20 - 34,No,Prefer Not To Say,Prefer Not To Say,null
Beneath The Trees,Poor,Not Sure,"Yes, it has worsened",Disagree,Other,65 +,Prefer Not To Say,Prefer Not To Say,Prefer Not To Say,null
Beneath The Trees,Good,Agree,"Yes, it has improved",Agree,Female,35 - 49,No,White - British,White British,null
Beneath The Trees,Poor,Disagree,"No, it is the same",Disagree,Female,35 - 49,No,White - British,White British,null
Beneath The Trees,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,Yes,White - British,White British,null
Beneath The Trees,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White - British,White British,null
Beneath The Trees,Poor,Disagree,"No, it is the same",Disagree,Female,35 - 49,No,White - British,White British,null
Beneath The Trees,Poor,Disagree,"No, it is the same",Disagree,Female,35 - 49,No,White - British,White British,null
Beneath The Trees,Poor,Not Sure,"No, it is the same",Strongly Disagree,Male,35 - 49,No,White - British,White British,null
Beneath The Trees,Good,Agree,"No, it is the same",Strongly Agree,Male,35 - 49,No,White - British,White British,null
Beneath The Trees,Not Sure,Not Sure,"No, it is the same",Not Sure,Female,50 - 64,No,White - British,White British,null
Beneath The Trees,Good,Agree,"No, it is the same",Not Sure,Male,50 - 64,No,White - British,White British,null
Beneath The Trees,Very Poor,Strongly Disagree,"Yes, it has worsened",Strongly Disagree,Male,50 - 64,No,White - British,White British,null
Beneath The Trees,Good,Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White - British,White British,null
Beneath The Trees,Poor,Disagree,"Yes, it has worsened",Strongly Disagree,Male,50 - 64,No,White - British,White British,null
Beneath The Trees,Good,Agree,"Yes, it has improved",Agree,Female,50 - 64,No,White - British,White British,null
Beneath The Trees,Very Good,Agree,"Yes, it has improved",Strongly Agree,Male,50 - 64,No,White - British,White British,null
Beneath The Trees,Not Sure,Disagree,"No, it is the same",Not Sure,Female,65 +,null,White - British,White British,null
Beneath The Trees,Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White - British,White British,null
Beneath The Trees,Poor,Disagree,"Yes, it has worsened",Disagree,Male,65 +,No,White - British,White British,null
Beneath The Trees,Very Poor,Strongly Disagree,"Yes, it has worsened",Strongly Disagree,Female,35 - 49,No,White - British,White British,null
Beneath The Trees,Poor,Strongly Disagree,"No, it is the same",Disagree,Female,null,No,White - British,White British,null
Beneath The Trees,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White - Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
Beneath The Trees,Good,Agree,"Yes, it has improved",Agree,Male,20 - 34,Prefer Not To Say,null,null,null
Beneath The Trees,Not Sure,Disagree,"No, it is the same",Disagree,null,null,null,null,null,null
Beneath The Trees,Not Sure,Not Sure,"No, it is the same",Not Sure,null,null,null,null,null,null
Artists Role in the Journey to COP 26,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White - British,White British,null
Artists Role in the Journey to COP 26,Very Good,Strongly Agree,"No, it is the same",Agree,Female,35 - 49,No,White - British,White British,null
Artists Role in the Journey to COP 26,Very Good,Agree,"No, it is the same",Not Sure,Male,35 - 49,No,White - British,White British,null
Artists Role in the Journey to COP 26,Good,Agree,"No, it is the same",Disagree,Male,35 - 49,No,Black or Black British - Caribbean,"Black, African, Caribbean, or Black British",null
Artists Role in the Journey to COP 26,Very Good,Strongly Agree,"No, it is the same",Agree,Female,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Artists Role in the Journey to COP 26,Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Female,35 - 49,No,White - British,White British,null
Artists Role in the Journey to COP 26,Very Good,Agree,"No, it is the same",Not Sure,Female,50 - 64,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",null
Culture Conversations - The Green Code,Good,Strongly Agree,"No, it is the same",Strongly Agree,Male,20 - 34,Yes,White - Irish,"White Other, White Irish, White Gypsy or Irish Traveller",null
Culture Conversations - The Green Code,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,Prefer Not To Say,Black or Black British - African,"Black, African, Caribbean, or Black British",null
Culture Conversations - The Green Code,Good,Agree,"No, it is the same",Not Sure,Male,50 - 64,No,White - British,White British,null
Culture Conversations - The Green Code,Not Sure,Not Sure,"No, it is the same",Not Sure,Female,20 - 34,Yes,White - British,White British,null
Culture Conversations - The Green Code,Very Poor,Strongly Disagree,"No, it is the same",Strongly Disagree,Female,35 - 49,Yes,White - British,White British,null
Culture Conversations - The Green Code,Very Good,Agree,"Yes, it has improved",Agree,Female,20 - 34,No,White - British,White British,null
