Survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague? Where 10 - Extremely likely and 0 - Not at all likely,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,Would you say in general your health is...,I've been feeling optimistic about the future,I've been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.,Which of the following best describes your current economic status?,"Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,Which of the following best describes your religion?,Please indicate your ethnic origin and cultural background:,Ethnicity,How often would you say you have been worried about money during the last few weeks?
City Host Survey - April 2022,null,Not sure,Agree,Not sure,Very good,Often,Often,Some of the time,null,null,null,null,Fairly strongly,Not at all strongly,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,"Yes, my confidence has increased",Agree,Agree,Fair,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Often,Very strongly,Very strongly,Tend to disagree,Neither satisfied nor dissatisfied,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
City Host Survey - April 2022,10,null,Strongly agree,Agree,Very good,All of the time,None of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,null,In full-time education,Not at all,16-24,Male,Single (never married and never registered a same sex civil partnership),Other; Man,Muslim,Prefer Not To Say,Prefer Not To Say,Only sometimes
City Host Survey - April 2022,2,"No, my confidence has not increased",Agree,Strongly disagree,Good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"No, it doesn't improve wellbeing",Poor,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Doing unpaid/voluntary work,Not at all,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Prefer Not To Say,Prefer Not To Say,Prefer not to say
City Host Survey - April 2022,7,"Yes, my confidence has increased",Agree,Agree,Fair,Some of the time,Often,Some of the time,Often,Often,Often,All of the time,Very strongly,Very strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,Good,In part time paid work,Not at all,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Other; Wiccen,Prefer Not To Say,Prefer Not To Say,Quite often
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,Often,Often,Often,Often,Often,Often,All of the time,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,null,In part time paid work,Not at all,45-54,null,null,Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Prefer Not To Say,Prefer Not To Say,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Fair,Often,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Very strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,null,Retired,Yes limited a little,55-64,Male,Married,Prefer not to say,No religion,Prefer Not To Say,Prefer Not To Say,Never
City Host Survey - April 2022,10,Not sure,Strongly agree,Not sure,Fair,Often,Often,Often,Some of the time,Often,Often,All of the time,Fairly strongly,Very strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,Yes limited a little,55-64,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Never
City Host Survey - April 2022,3,"No, my confidence has not increased",Agree,Disagree,Fair,Some of the time,null,null,Often,Some of the time,Some of the time,Often,Very strongly,Very strongly,Tend to disagree,Fairly satisfied,Not sure,Poor,Agree,Excellent,Good,Good,Good,Retired,Not at all,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,null
City Host Survey - April 2022,7,"Yes, my confidence has increased",Agree,Agree,Good,Often,Often,Some of the time,Often,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Not sure,Not Sure,Not Sure,Excellent,null,Retired,null,65-74,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Not sure,Very good,Often,All of the time,Often,Often,Often,null,All of the time,Very strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Excellent,Good,Retired,Not at all,65-74,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,5,"Yes, my confidence has increased",Agree,Agree,Fair,Some of the time,Often,Some of the time,Often,Often,Some of the time,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,Not sure,Not Sure,Agree,Not Sure,Not Sure,Good,Good,In part time paid work,Yes limited a little,55-64,Male,Divorced,Prefer not to say,No religion,White - British,White British,Quite often
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,Often,Some of the time,Some of the time,Some of the time,Often,Some of the time,Very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,null,In full time paid work,Not at all,55-64,Female,Separated but still legally married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,8,"No, my confidence has not increased",Agree,Not sure,Good,Often,Often,Some of the time,Some of the time,Some of the time,Often,Often,Fairly strongly,Not very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,null,Retired,Not at all,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,null
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Often,Often,Often,Often,Often,Some of the time,Often,Not very strongly,Very strongly,Tend to disagree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Excellent,Good,In full time paid work,Not at all,25-34,Female,Married,Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,7,Not sure,Agree,Disagree,Very good,Rarely,Rarely,Rarely,Often,Rarely,Some of the time,Some of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,Not sure,Good,Not sure,Good,Not Sure,Not Sure,null,In part time paid work,Not at all,45-54,Female,Co-habiting,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,Often,Often,Often,All of the time,null,All of the time,Very strongly,Very strongly,null,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Good,Poor,In part time paid work,Not at all,75 and over,Female,Married,Heterosexual,null,White - British,White British,Never
City Host Survey - April 2022,2,"No, my confidence has not increased",Agree,Disagree,Good,Some of the time,Some of the time,Rarely,Some of the time,Often,Some of the time,Rarely,Not at all strongly,Not at all strongly,Don't know,Fairly satisfied,Not sure,Not Sure,Not sure,Not Sure,Not Sure,Not Sure,null,Carer,Not at all,55-64,Female,Prefer not to say,Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Fair,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,null,In full time paid work,Not at all,25-34,Female,Married,Bisexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,10,Not sure,Strongly agree,Agree,Good,Often,Often,Often,Often,Often,Often,Often,Not very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,Not at all,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Strongly agree,Fair,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Good,Retired,Yes limited a little,65-74,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Prefer not to say
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Agree,Very good,Some of the time,Often,All of the time,Often,All of the time,Often,All of the time,Fairly strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,null,Retired,Not at all,65-74,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,9,"Yes, my confidence has increased",Strongly agree,Strongly agree,Prefer not to say,Often,Often,Often,All of the time,Often,Often,Often,Not very strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Good,Good,Good,Retired,Not at all,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Not sure,Good,Often,None of the time,Often,Some of the time,Some of the time,Rarely,Rarely,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Excellent,Poor,In full time paid work,Not at all,45-54,Male,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Often,Often,Often,Often,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Excellent,Excellent,Excellent,Good,In part time paid work,Not at all,55-64,Female,Widowed,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,10,Not sure,Strongly agree,Agree,Good,Some of the time,Often,Often,Often,Some of the time,Often,Often,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,Excellent,Excellent,Excellent,Not Sure,In part time paid work,Not at all,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Quite often
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In part time paid work,Not at all,35-44,Female,Married,Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,8,"No, my confidence has not increased",Agree,Not sure,Very good,Often,Some of the time,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,Good,Retired,Not at all,65-74,Female,Married,Heterosexual,No religion,White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Strongly agree,Very good,Some of the time,All of the time,Often,All of the time,All of the time,Often,Some of the time,Very strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Not Sure,Strongly agree,Excellent,Good,Good,Very Poor,In part time paid work,Yes limited a lot,45-54,Prefer not to say,Single (never married and never registered a same sex civil partnership),Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Prefer not to say
City Host Survey - April 2022,3,"No, my confidence has not increased",Agree,Disagree,Good,Often,Often,Often,Often,Often,Often,All of the time,Fairly strongly,Not very strongly,Tend to agree,Very satisfied,Not sure,Not Sure,Not sure,Good,Good,Not Sure,null,In part time paid work,Not at all,45-54,Female,Prefer not to say,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,9,"No, my confidence has not increased",Agree,Agree,Very good,Often,Often,All of the time,All of the time,All of the time,Often,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Excellent,Good,Retired,Not at all,65-74,Female,Widowed,Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Prefer not to say
City Host Survey - April 2022,8,"No, my confidence has not increased",Agree,Agree,Very good,Often,Often,Some of the time,Often,Some of the time,Some of the time,Often,Very strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Poor,Agree,Poor,Poor,Good,null,Retired,Not at all,65-74,Male,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,6,"Yes, my confidence has increased",Strongly agree,Strongly agree,Fair,Often,All of the time,Often,All of the time,Often,Often,Some of the time,null,Very strongly,Definitely agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Good,Good,null,Retired,Not at all,65-74,Female,Divorced,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,10,"No, my confidence has not increased",Strongly agree,Disagree,Very good,All of the time,All of the time,Some of the time,Often,Often,All of the time,Often,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Excellent,Good,Excellent,null,In part time paid work,Not at all,55-64,Female,Co-habiting,Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,All of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly disagree,Excellent,Excellent,Excellent,null,Retired,Not at all,65-74,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,9,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Often,Very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,null,In full time paid work,Not at all,55-64,Female,Married,Heterosexual,No religion,White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,All of the time,None of the time,Often,Often,All of the time,Often,All of the time,Donâ€™t know,Very strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,null,null,Excellent,null,In full time paid work,Yes limited a little,55-64,Female,Divorced,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Agree,Very good,Some of the time,All of the time,Some of the time,Some of the time,Some of the time,Often,Some of the time,Not at all strongly,Fairly strongly,Tend to agree,Very dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Good,null,Retired,Not at all,75 and over,Female,Divorced,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Quite often
City Host Survey - April 2022,8,"No, my confidence has not increased",Agree,Disagree,Good,Some of the time,Often,Some of the time,Often,Often,Some of the time,All of the time,Very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,null,In full time paid work,Not at all,55-64,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Strongly agree,Good,Often,Some of the time,All of the time,Often,Some of the time,Often,All of the time,Fairly strongly,Very strongly,Don't know,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Excellent,Excellent,In full-time education,Not at all,16-24,Male,Single (never married and never registered a same sex civil partnership),Bisexual,No religion,White - British,White British,Quite often
City Host Survey - April 2022,4,Not sure,Agree,Disagree,Very good,All of the time,Often,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Very dissatisfied,"No, it doesn't improve wellbeing",Not Sure,Agree,Good,Good,Good,Good,Retired,Not at all,55-64,Female,Co-habiting,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,Good,In full time paid work,Not at all,25-34,Male,Married,Heterosexual,No religion,White - British,White British,Prefer not to say
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Good,All of the time,Often,All of the time,Often,All of the time,Often,Some of the time,Fairly strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,Doing unpaid/voluntary work,Yes limited a lot,35-44,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,5,"Yes, my confidence has increased",Agree,Agree,Good,Some of the time,Often,Some of the time,Some of the time,Rarely,Some of the time,Often,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a little",Poor,Agree,Good,Good,Good,Good,In full time paid work,Yes limited a little,16-24,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Some of the time,Some of the time,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,null,In full time paid work,Not at all,55-64,Male,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Agree,Good,Some of the time,Some of the time,Some of the time,Often,null,null,null,Fairly strongly,Very strongly,Tend to agree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Excellent,Not sure,Good,Not Sure,Good,null,In full time paid work,Not at all,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No religion,White - British,White British,Almost all the time
City Host Survey - April 2022,7,"Yes, my confidence has increased",Agree,Not sure,Good,null,null,null,null,null,null,null,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,Not sure,Good,Agree,Good,Good,Good,null,Doing unpaid/voluntary work,Not at all,65-74,Male,null,null,null,White - British,White British,Never
City Host Survey - April 2022,10,"Yes, my confidence has increased",Agree,Agree,Good,Some of the time,Often,Often,Some of the time,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,Yes limited a little,45-54,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,9,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,Often,Some of the time,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Not Sure,Good,null,In full time paid work,Not at all,55-64,Female,Co-habiting,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Good,Some of the time,Often,Often,Some of the time,Some of the time,Some of the time,Often,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Good,Good,null,In full time paid work,Not at all,45-54,Female,Married,Heterosexual,No religion,White - British,White British,Only sometimes
City Host Survey - April 2022,10,"No, my confidence has not increased",Agree,Agree,Very good,Some of the time,Often,Some of the time,Often,Often,Often,Often,Fairly strongly,Very strongly,null,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,null,Good,null,Retired,Not at all,65-74,Female,Divorced,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,8,"No, my confidence has not increased",Agree,Not sure,Good,Often,Often,Often,All of the time,All of the time,Often,All of the time,Fairly strongly,Fairly strongly,Don't know,Fairly satisfied,"No, it doesn't improve wellbeing",Good,Agree,Good,Good,Good,null,Retired,Yes limited a little,65-74,Female,Widowed,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,2,"No, my confidence has not increased",Agree,Not sure,Good,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Often,Donâ€™t know,Not very strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Not Sure,Agree,Good,Good,Good,null,Retired,Not at all,65-74,Male,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,8,Not sure,Strongly agree,Agree,Good,Some of the time,Some of the time,Some of the time,Often,Often,Rarely,Some of the time,Not very strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,null,Retired,Not at all,65-74,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,7,"No, my confidence has not increased",Disagree,Disagree,Fair,Often,Often,Often,Often,Often,Some of the time,All of the time,Very strongly,Very strongly,Tend to disagree,Very satisfied,"No, it doesn't improve wellbeing",Good,Strongly agree,Good,Good,Good,null,Retired,Yes limited a little,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,7,"No, my confidence has not increased",Strongly agree,Not sure,Very good,Often,Often,Often,Some of the time,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Not sure,Good,Good,Good,null,In full time paid work,Not at all,55-64,Female,Separated but still legally married,Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,7,"Yes, my confidence has increased",Agree,Agree,Prefer not to say,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,Often,Not very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,null,Registered unemployed/signing on for job seekers allowance,Yes limited a little,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Almost all the time
City Host Survey - April 2022,2,"No, my confidence has not increased",Agree,Strongly disagree,Good,All of the time,Often,Often,Often,All of the time,Often,All of the time,Not very strongly,Not very strongly,Tend to disagree,Fairly satisfied,"No, it doesn't improve wellbeing",Poor,Disagree,Poor,Poor,Poor,null,In part time paid work,Not at all,45-54,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Never
City Host Survey - April 2022,5,"No, my confidence has not increased",Not sure,Disagree,Good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Very strongly,Fairly strongly,Tend to agree,Fairly satisfied,Not sure,Poor,Disagree,Very Poor,Very Poor,Poor,null,Doing unpaid/voluntary work,Not at all,65-74,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,10,"No, my confidence has not increased",Strongly agree,Agree,Good,Often,Often,Often,Often,Some of the time,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Good,Excellent,Excellent,Good,In full time paid work,Not at all,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Excellent,Good,Excellent,null,In full time paid work,null,45-54,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",White - British,White British,null
