Project,Point of Measurement,Month / Year,"Generally, how satisfied are you with your local area as a place to live?",Do you agree or disagree that you can influence decisions affecting your local area?,"How often do you chat to your neighbours, more than to just say hello?","To what extent do you agree or disagree that this neighbourhood is a place where people from different backgrounds (i.e. different ethnic groups, faith groups, social backgrounds or countries of origin) get on well together?","Please rate how engaged you generally feel with your local community (engagement refers to a feeling that you are meaningfully connected to other people in your community, and/or the community as a whole)",Please rate how empowered/ confident you feel to join the following activities: Arts and cultural heritage,Please rate how empowered/confident you feel to join the following activities: Leisure,Please rate how empowered/confident you feel to join the following activities: Sporting and physical,Please rate how empowered/confident you feel to join the following activities: Volunteering,"Do you plan to get involved in activities with members of different generations? (e.g. join community centre activities, take part in sports, do more voluntary work)","Please rate how much you agree/disagree with the following statement: ""My local area is a place where people from different generations mix well together""","Please rate how much you agree/disagree with the following statement: ""My community and myself as an individual is well represented in the city""","Overall, how satisfied are you with your life?  (On a 0-10 scale, where 0 is not satisfied at all and 10 is completely satisfied)","Overall, how much do you feel the things you do in your life are worthwhile? (On a scale of 0-10, where 0 is not at all worthwhile and 10 is completely worthwhile)","Overall, how happy did you feel yesterday? (On a 0-10 scale, where 0 is not at all happy and 10 is completely happy)","Overall, how anxious did you feel yesterday? (On 0-10 scale, where 0 is not anxious and 10 is completely anxious)",Age,Gender,Identify as Disabled,Ethnic Background,Technical Notes
Arts and Homelessness Steering Group,Post,Nov-21,Very Satisfied,Tend to Disagree,Once or twice a week,Tend to Agree,Very Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Strongly Agree,Strongly Agree,10,10,10,0,35 - 49,Female,No,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Tend to Agree,On most days,Tend to Agree,Engaged,Very Empowered,Sometimes Empowered,Never Empowered,Empowered,Yes,Agree,Agree,8,8,7,3,65 +,Male,No,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Don't Know,Once or twice a week,Tend to Agree,Engaged,Empowered,Sometimes Empowered,Sometimes Empowered,Empowered,Yes,Agree,Strongly Agree,7,9,7,2,20 - 34,Male,Yes,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Tend to Agree,Once or twice a week,Tend to Agree,Engaged,Very Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Agree,7,8,7,3,50 - 64,Female,Yes,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Neither Satisfied nor Dissatisfied,Don't Know,Less than once a month,Tend to Agree,Disengaged,Very Empowered,Very Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Disagree,10,10,10,0,20 - 34,Male,No,Mixed - White and Black Caribbean,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Don't Know,Less than once a month,Don't Know,Disengaged,Empowered,Sometimes Empowered,Sometimes Empowered,Empowered,Yes,Agree,Agree,7,7,7,2,50 - 64,Male,No,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Tend to Agree,Less than once a month,Tend to Agree,Engaged,Very Empowered,Very Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Agree,9,8,10,3,50 - 64,Female,No,Other White Background,
Arts and Homelessness Steering Group,Post,Nov-21,Very Satisfied,Definitely Agree,On most days,Definitely Agree,Very Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Strongly Agree,Strongly Agree,10,10,10,1,35 - 49,Male,No,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Tend to Agree,On most days,Tend to Agree,Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Agree,Agree,8,8,8,2,50 - 64,Female,No,Other White Background,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Don't Know,Once or twice a week,Tend to Agree,Disengaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,No,Disagree,Strongly Agree,7,6,7,3,35 - 49,Male,Yes,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Don't Know,On most days,Tend to Agree,Engaged,Empowered,Sometimes Empowered,Sometimes Empowered,Empowered,Not Sure,Agree,Agree,5,5,5,6,65 +,Male,Yes,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Fairly Satisfied,Don't Know,Never,Tend to Agree,Disengaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,No,Agree,Disagree,7,6,6,4,35 - 49,Female,Yes,White British,
Arts and Homelessness Steering Group,Post,Nov-21,Neither Satisfied nor Dissatisfied,Tend to Disagree,Don't have any neighbours,Tend to Disagree,Disengaged,Empowered,Sometimes Empowered,Sometimes Empowered,Very Empowered,Yes,Disagree,Disagree,5,6,3,7,50 - 64,Male,No,White British,
Reform The Norm,Post,Dec-21,Fairly Satisfied,Definitely Agree,On most days,Definitely Agree,Very Engaged,Very Empowered,Very Empowered,Never Empowered,Very Empowered,Yes,Strongly Agree,Agree,7,8,7,7,null,null,null,null,
Reform The Norm,Post,Dec-21,Fairly Satisfied,Definitely Agree,Once or twice a week,Definitely Agree,Engaged,Very Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Disagree,8,9,9,4,null,null,null,null,
Young Producers,Post,Mar-22,Very Satisfied,Tend to Disagree,On most days,Definitely Agree,Engaged,Very Empowered,Empowered,Empowered,Sometimes Empowered,Yes,Strongly Agree,Agree,10,10,10,7,20 - 34,Female,No,White British,
Young Producers,Post,Mar-22,Neither Satisfied nor Dissatisfied,Tend to Agree,Never,Too few people in the local neighbourhood to judge,Engaged,Empowered,Sometimes Empowered,Never Empowered,Sometimes Empowered,Not Sure,Disagree,Disagree,8,8,7,0,0 - 19,Female,No,Mixed - Other Mixed/Multiple Ethnic Background,
Young Producers,Post,Mar-22,Fairly Satisfied,Don't Know,Less than once a month,Tend to Agree,Engaged,Very Empowered,Empowered,Empowered,Very Empowered,Yes,Agree,Agree,7,7,8,2,0 - 19,Male,No,Black or Black British - African,
Young Producers,Post,Mar-22,Fairly Dissatisfied,Tend to Agree,On most days,Tend to Agree,Engaged,Empowered,Very Empowered,Very Empowered,Empowered,Yes,Disagree,Disagree,8,9,8,2,0 - 19,Male,No,Black or Black British - Caribbean,
Young Producers,Post,Mar-22,Fairly Satisfied,Don't Know,Once or twice a week,Tend to Agree,Engaged,Empowered,Empowered,Sometimes Empowered,Sometimes Empowered,Not Sure,Agree,Agree,7,7,6,0,0 - 19,Male,No,White British,
Young Producers,Post,Mar-22,Fairly Satisfied,Tend to Agree,Never,Definitely Agree,Engaged,Very Empowered,Very Empowered,Very Empowered,Empowered,Yes,Agree,Disagree,8,10,10,0,0 - 19,Male,No,Black or Black British - Caribbean,
Young Producers,Post,Mar-22,Fairly Satisfied,Tend to Agree,Never,Tend to Agree,Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Agree,Agree,8,9,9,2,0 - 19,Female,No,Asian or Asian British - Pakistani,
Hungry Nation,Post,Apr-22,Very Satisfied,Definitely Agree,Once or twice a week,Definitely Agree,Very Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Agree,Disagree,10,10,10,1,null,null,null,null,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Hungry Nation,Post,Apr-22,Fairly Dissatisfied,Tend to Disagree,Once or twice a week,Tend to Agree,Engaged,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Empowered,Not Sure,Agree,Agree,8,9,6,5,null,null,null,null,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Hungry Nation,Post,Apr-22,Very Dissatisfied,Tend to Agree,On most days,Too few people in the local neighbourhood to judge,Disengaged,Sometimes Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Strongly Agree,Strongly Agree,9,8,4,2,null,null,null,null,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Hungry Nation,Post,Apr-22,Fairly Dissatisfied,Tend to Disagree,On most days,Tend to Agree,Very Engaged,Empowered,Empowered,Empowered,Very Empowered,Yes,Agree,Agree,6,7,7,8,null,null,null,null,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Hungry Nation,Post,Apr-22,Fairly Satisfied,Definitely Agree,Less than once a month,Tend to Agree,Disengaged,Empowered,Sometimes Empowered,Sometimes Empowered,Very Empowered,Yes,Strongly Agree,Agree,7,7,9,5,null,null,null,null,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Hungry Nation,Post,Apr-22,Fairly Satisfied,Tend to Agree,On most days,Tend to Agree,Engaged,Very Empowered,Empowered,Very Empowered,Very Empowered,Yes,Agree,Agree,9,7,9,6,null,null,null,null,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Hungry Nation,Post,Apr-22,Very Satisfied,Don't Know,Never,Don't Know,Disengaged,Sometimes Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Agree,7,10,7,7,null,null,null,null,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Hungry Nation,Post,Apr-22,Fairly Satisfied,Tend to Agree,Once or twice a month,Tend to Agree,Disengaged,Empowered,Empowered,Empowered,Empowered,Not Sure,Disagree,Disagree,2,2,3,9,null,null,null,null,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Hungry Nation,Post,Apr-22,Very Satisfied,Don't Know,On most days,Definitely Agree,Engaged,Very Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Strongly Agree,Strongly Agree,5,2,1,10,null,null,null,null,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Hungry Nation,Post,Apr-22,Very Satisfied,Definitely Agree,Once or twice a week,Definitely Agree,Very Engaged,Very Empowered,Very Empowered,Very Empowered,Very Empowered,Yes,Agree,Disagree,10,10,10,1,35 - 49,Female,No,Black or Black British - African,Survey undertaken on behalf of the Trust by Strike A Light Theatre - it was only possible to collect data at the end of the project.
Streams of Consciousness,Post,Apr-22,Fairly Satisfied,Definitely Agree,Once or twice a week,Definitely Agree,Engaged,Very Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Disagree,8,9,9,4,50 - 64,Female,Yes,Other Asian Background,Only post survey was carried out due to limitations in accessing the project
Streams of Consciousness,Post,Apr-22,Very Dissatisfied,Tend to Agree,On most days,Too few people in the local neighbourhood to judge,Disengaged,Sometimes Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Strongly Agree,Strongly Agree,9,8,4,2,50 - 64,Male,No,White British,Only post survey was carried out due to limitations in accessing the project
Streams of Consciousness,Post,Apr-22,Fairly Satisfied,Don't Know,Once or twice a week,Tend to Agree,Engaged,Sometimes Empowered,Empowered,Sometimes Empowered,Empowered,Not Sure,Agree,Agree,9,9,9,3,35 - 49,Female,No,White British,Only post survey was carried out due to limitations in accessing the project
Streams of Consciousness,Post,Apr-22,Fairly Dissatisfied,Tend to Agree,Once or twice a week,Tend to Agree,Disengaged,Empowered,Empowered,Empowered,Empowered,Yes,Agree,Agree,9,9,8,2,20 - 34,Female,No,Other Black Background,Only post survey was carried out due to limitations in accessing the project
Streams of Consciousness,Post,Apr-22,Very Satisfied,Don't Know,Less than once a month,Definitely Agree,Completely Disengaged,Very Empowered,Empowered,Sometimes Empowered,Empowered,Yes,Strongly Agree,Strongly Agree,9,9,9,1,50 - 64,Female,No,White British,Only post survey was carried out due to limitations in accessing the project
Haus of Kraft,Post,Apr-22,Fairly Satisfied,Don't Know,Less than once a month,Tend to Agree,Disengaged,Empowered,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Not Sure,Agree,Disagree,9,9,3,9,50 - 64,Female,Prefer Not To Say,White British,A mid-point survey for Haus of Kraft was conducted to check the temperature - the results of which are separate from this baseline and endline data.
Haus of Kraft,Post,Apr-22,Neither Satisfied nor Dissatisfied,Don't Know,Once or twice a week,Tend to Agree,Engaged,Very Empowered,Very Empowered,Never Empowered,Sometimes Empowered,Not Sure,Agree,Agree,10,10,10,1,65 +,Female,Prefer Not To Say,White British,A mid-point survey for Haus of Kraft was conducted to check the temperature - the results of which are separate from this baseline and endline data.
Haus of Kraft,Post,Apr-22,Fairly Satisfied,Don't Know,Once or twice a month,Tend to Disagree,Disengaged,Sometimes Empowered,Sometimes Empowered,Sometimes Empowered,Never Empowered,No,Disagree,Disagree,2,3,4,7,null,Female,Yes,Prefer Not to Say,A mid-point survey for Haus of Kraft was conducted to check the temperature - the results of which are separate from this baseline and endline data.
Haus of Kraft,Post,Apr-22,Fairly Satisfied,Tend to Disagree,Once or twice a month,Definitely Disagree,Disengaged,Empowered,Empowered,Sometimes Empowered,Sometimes Empowered,Yes,Agree,Agree,7,8,6,8,35 - 49,Other,Yes,Mixed - Other Mixed/Multiple Ethnic Background,A mid-point survey for Haus of Kraft was conducted to check the temperature - the results of which are separate from this baseline and endline data.
Haus of Kraft,Post,Apr-22,Fairly Satisfied,Don't Know,Less than once a month,Definitely Agree,Engaged,Very Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Agree,10,10,9,1,null,Female,No,Mixed - Other Mixed/Multiple Ethnic Background,A mid-point survey for Haus of Kraft was conducted to check the temperature - the results of which are separate from this baseline and endline data.
Haus of Kraft,Post,Apr-22,Fairly Satisfied,Don't Know,Less than once a month,Too few people in the local neighbourhood to judge,Engaged,Empowered,Empowered,Sometimes Empowered,Very Empowered,Yes,Agree,Agree,7,7,9,10,20 - 34,Female,Yes,White British,A mid-point survey for Haus of Kraft was conducted to check the temperature - the results of which are separate from this baseline and endline data.
Forest Camps,Post,May-22,Fairly Satisfied,Don't Know,On most days,Definitely Agree,Engaged,Never Empowered,Very Empowered,Very Empowered,Never Empowered,Yes,Strongly Agree,Strongly Agree,10,10,10,N/A - Under 16,0 - 19,Male,No,Other White Background,Only post survey was carried out due to limitations in accessing the project
Forest Camps,Post,May-22,Very Satisfied,Definitely Agree,Never,Tend to Agree,Very Engaged,Never Empowered,Never Empowered,Never Empowered,Never Empowered,No,Strongly Agree,Strongly Agree,9,8,10,N/A - Under 16,0 - 19,Male,No,Mixed - White and Black Caribbean,Only post survey was carried out due to limitations in accessing the project
Forest Camps,Post,May-22,Fairly Satisfied,Tend to Agree,On most days,Tend to Disagree,Disengaged,Sometimes Empowered,Very Empowered,Very Empowered,Never Empowered,No,Strongly Disagree,Agree,10,10,6,N/A - Under 16,0 - 19,Male,No,White British,Only post survey was carried out due to limitations in accessing the project
Forest Camps,Post,May-22,Very Satisfied,Definitely Disagree,Never,Definitely Disagree,Completely Disengaged,Never Empowered,Never Empowered,Empowered,Empowered,Yes,Agree,Agree,2,5,0,N/A - Under 16,0 - 19,Female,No,White British,Only post survey was carried out due to limitations in accessing the project
Forest Camps,Post,May-22,Fairly Dissatisfied,Tend to Agree,Never,Definitely Agree,Engaged,Sometimes Empowered,Sometimes Empowered,Empowered,Never Empowered,No,Strongly Agree,Agree,8,8,7,N/A - Under 16,0 - 19,Female,No,White British,Only post survey was carried out due to limitations in accessing the project
