survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague?,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,Other please specify,Which of the following best describes your religion?,Other please specify,Please indicate your ethnic origin and cultural background:,Ethnic Group,Household composition: Pre-school age (0-4 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Primary school age (5-11 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Secondary school age (12-16 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Post school education (16-17 years). How many people living permanently in your household (including yourself) fit within the above category?,"Household composition: Adult (18-59-female, 18-64-male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Working (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Retired (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?",Household composition: Adult (18-64). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Working (65+). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Retired (65+). How many people living permanently in your household (including yourself) fit within the above category?,How often would you say you have been worried about money during the last few weeks?,Which of the following best describes your current economic status?,Other please specify,"Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",Would you say in general your health is...,I've been feeling optimistic about the future,Iâ€™ve been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the selection events.,Please rate the quality of the core training.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,45-54,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,0,1,0,No Response,No Response,No Response,3,0,0,Never,In full time paid work,No Response,Not at all,Good,Often,Often,Some of the time,Often,Often,Often,Often,Very strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,9,"No, my confidence has not increased",Strongly agree,Strongly disagree,45-54,Female,Married,Heterosexual,No Response,No religion,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,No Response,0,0,0,1,No Response,1,No Response,No Response,No Response,Never,Retired,No Response,Yes limited a little,Very good,Often,Often,Often,Some of the time,Some of the time,Often,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,7,"No, my confidence has not increased",Strongly agree,Disagree,65-74,Female,Widowed,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,1,No Response,No Response,No Response,Never,Retired,No Response,Yes limited a little,Good,Often,Often,Often,Often,All of the time,Some of the time,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,4,"No, my confidence has not increased",Strongly agree,Disagree,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,0,0,0,2,0,0,No Response,No Response,No Response,No Response,No Response,No Response,Not at all,Very good,Often,Some of the time,Some of the time,Rarely,Rarely,Often,Some of the time,Not at all strongly,Not very strongly,Tend to disagree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Not Sure,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,65-74,Female,Divorced,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,0,0,No Response,0,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,Often,All of the time,Fairly strongly,No Response,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Good,Good,Excellent,Good
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Disagree,Agree,55-64,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,2,2,2,4,1,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,7,"No, my confidence has not increased",Agree,Not sure,65-74,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Often,Often,Some of the time,Often,Often,Some of the time,Often,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Not sure,No Response,No Response,Not Sure,Not Sure,Not Sure,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,65-74,Male,Divorced,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,No Response,0,0,0,No Response,0,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,All of the time,Some of the time,Some of the time,None of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,Not Sure
City Host Survey - July 2021,4,"No, my confidence has not increased",Agree,Strongly disagree,45-54,Male,Divorced,Heterosexual,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,0,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Good,Often,Some of the time,Rarely,Some of the time,Often,Some of the time,Some of the time,Not very strongly,Not very strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Not Sure,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,16-24,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,1,0,1,2,0,0,No Response,No Response,No Response,Never,In full-time education,No Response,Not at all,Good,Often,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Not Sure,Not Sure,Excellent,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,3,0,0,0,3,0,0,No Response,No Response,No Response,"Quite often,",In full time paid work,No Response,Not at all,Very good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,7,No Response,Agree,Disagree,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ Irish,"White Other, White Irish, or White Gypsy or Irish Traveller",2,0,No Response,0,No Response,0,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Often,Some of the time,Often,Often,Often,Often,Often,Not very strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Not Sure,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,8,"Yes, my confidence has increased",Strongly agree,Agree,65-74,Male,Married,Heterosexual,No Response,No Response,No Response,White â€“ British,White British,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Fairly strongly,Fairly strongly,No Response,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,8,"Yes, my confidence has increased",Agree,Agree,45-54,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",No Response,0,0,0,1,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Very good,Often,Often,Often,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,6,"No, my confidence has not increased",Not sure,Disagree,35-44,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,Other (please specify),Atheist ,White â€“ British,White British,0,0,0,0,1,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Good,All of the time,Often,Often,All of the time,Often,Often,All of the time,Fairly strongly,Not very strongly,Tend to agree,Fairly satisfied,"No, it doesn't improve wellbeing",Not Sure,Agree,No Response,No Response,Good,Good,Not Sure,Good
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Disagree,65-74,Female,In a registered same sex civil partnership,Gay woman/lesbian,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,1,1,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Rarely,Fairly strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,8,Not sure,Agree,Not sure,65-74,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,1,1,No Response,No Response,No Response,Never,In part time paid work,No Response,Not at all,Very good,Often,Often,Some of the time,Often,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Excellent,Excellent,Not Sure,No Response
City Host Survey - July 2021,8,Not sure,Strongly agree,Strongly agree,45-54,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,No Response,0,0,2,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Fair,Some of the time,Often,Often,All of the time,Often,All of the time,Often,Very strongly,Very strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a lot",Poor,Agree,No Response,No Response,Good,Good,Excellent,Excellent
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,35-44,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,Other (please specify),Christian,Asian or Asian British â€“ Chinese,Asian or Asian British,No Response,0,0,0,0,0,0,No Response,No Response,No Response,"Quite often,",Doing unpaid/voluntary work,No Response,Yes limited a lot,Very good,Some of the time,Often,Often,None of the time,Some of the time,All of the time,Some of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Good,Not Sure
City Host Survey - July 2021,8,"Yes, my confidence has increased",Agree,Agree,55-64,Female,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,1,1,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Yes limited a little,Good,Some of the time,Often,Some of the time,Some of the time,Often,Often,Often,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,No Response,"No, my confidence has not increased",Agree,Disagree,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,2,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,4,"Yes, my confidence has increased",Agree,Disagree,55-64,Non-binary,Prefer not to say,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Yes limited a little,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Very strongly,Very strongly,No Response,Very satisfied,"Yes, it improves wellbeing a little",Not Sure,Disagree,No Response,No Response,Poor,Poor,Poor,Not Sure
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Not sure,35-44,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,Muslim,No Response,Asian or Asian British â€“ Pakistani,Asian or Asian British,0,0,0,1,9,1,0,No Response,No Response,No Response,Almost all the time,In part time paid work,No Response,Yes limited a little,Fair,All of the time,Often,Often,Some of the time,Often,Some of the time,Often,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,No Response,No Response,Excellent,Excellent,Excellent,Not Sure
City Host Survey - July 2021,9,"Yes, my confidence has increased",Strongly agree,Strongly agree,25-34,Female,Married,Bisexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Only sometimes,In full time paid work,No Response,Not at all,Fair,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Strongly agree,25-34,Male,Married,Prefer not to say,No Response,Muslim,No Response,Any Other Black Background,"Black, African, Caribbean, or Black British",4,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Only sometimes,Doing unpaid/voluntary work,No Response,Not at all,Prefer not to say,Some of the time,All of the time,Rarely,All of the time,All of the time,Rarely,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,3,"No, my confidence has not increased",Disagree,Disagree,55-64,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,2,0,0,0,1,1,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Some of the time,Often,Some of the time,Often,All of the time,Often,All of the time,Very strongly,Very strongly,Tend to agree,Very satisfied,Not sure,Poor,Not sure,No Response,No Response,Not Sure,Not Sure,Not Sure,No Response
City Host Survey - July 2021,8,Not sure,Strongly agree,Disagree,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",0,0,0,0,2,0,0,No Response,No Response,No Response,Almost all the time,Self-employed,No Response,Not at all,Good,Rarely,Often,Some of the time,Some of the time,Some of the time,Often,All of the time,Fairly strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,No Response,No Response,Excellent,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,Not sure,Agree,Agree,16-24,Female,Single (never married and never registered a same sex civil partnership),Other (please specify),Straight ,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Black or Black British â€“ Caribbean,"Black, African, Caribbean, or Black British",4,4,0,2,0,0,0,No Response,No Response,No Response,Only sometimes,Doing unpaid/voluntary work,No Response,Yes limited a little,Good,Some of the time,Often,All of the time,Some of the time,Some of the time,Rarely,Some of the time,Donâ€™t know,Not very strongly,Definitely agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Good,Excellent,Not Sure
City Host Survey - July 2021,7,"No, my confidence has not increased",Agree,Agree,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,2,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,Often,Often,Often,Often,All of the time,All of the time,All of the time,Very strongly,Very strongly,Tend to agree,Fairly satisfied,Not sure,Not Sure,Agree,No Response,No Response,Good,Good,Not Sure,Not Sure
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Agree,Disagree,55-64,Male,Separated but still legally married,Heterosexual,No Response,Muslim,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,2,0,0,No Response,No Response,No Response,Prefer not to say,Self-employed,No Response,Yes limited a little,Good,Some of the time,Often,Often,Often,Often,Often,All of the time,Not very strongly,Fairly strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Excellent,Not Sure
City Host Survey - July 2021,4,"Yes, my confidence has increased",Agree,Not sure,55-64,Male,Married,Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,1,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Fair,Often,Often,Some of the time,Often,Often,Some of the time,Often,Donâ€™t know,Not very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a little",Poor,Agree,No Response,No Response,Good,Not Sure,Good,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Not sure,75 and over,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,Often,Often,Often,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,3,"No, my confidence has not increased",Agree,Disagree,65-74,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,1,1,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Very good,Some of the time,Some of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,Not very strongly,Fairly strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a little",Not Sure,Disagree,No Response,No Response,Good,Good,Not Sure,No Response
City Host Survey - July 2021,8,Not sure,Agree,Agree,55-64,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,2,0,0,No Response,No Response,No Response,Never,In part time paid work,No Response,Not at all,Good,Often,Often,Often,Often,Some of the time,Some of the time,Often,Fairly strongly,Very strongly,Tend to disagree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Not Sure,Good,Good
City Host Survey - July 2021,7,"No, my confidence has not increased",Strongly agree,Disagree,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",1,No Response,0,0,1,0,0,No Response,No Response,No Response,Never,Self-employed,No Response,Not at all,Very good,Some of the time,Some of the time,Often,Often,Often,Often,All of the time,Not very strongly,Not very strongly,Tend to disagree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,6,"No, my confidence has not increased",Agree,Disagree,45-54,Female,Married,Heterosexual,No Response,Sikh,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,2,0,2,0,0,No Response,No Response,No Response,Never,In part time paid work,No Response,Not at all,Good,All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely disagree,Fairly dissatisfied,Not sure,Poor,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,7,Not sure,Strongly agree,Not sure,65-74,Male,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,0,0,0,0,1,1,No Response,No Response,No Response,No Response,Retired,No Response,Not at all,Good,All of the time,No Response,No Response,All of the time,No Response,Some of the time,No Response,No Response,Fairly strongly,No Response,No Response,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,8,Not sure,Agree,Not sure,65-74,Female,Widowed,Heterosexual,No Response,Other (please specify),Agnostic,White â€“ British,White British,No Response,0,0,0,0,0,1,No Response,No Response,No Response,Never,Doing unpaid/voluntary work,No Response,Not at all,Fair,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,Good
City Host Survey - July 2021,0 - Not at all likely,"No, my confidence has not increased",Agree,No Response,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,No Response,2,No Response,No Response,No Response,Never,Long-term sick or disabled,No Response,Yes limited a little,Very good,Often,Some of the time,No Response,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"No, it doesn't improve wellbeing",Very Poor,No Response,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,65-74,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,No Response,2,No Response,No Response,No Response,Only sometimes,Retired,No Response,Not at all,Good,Some of the time,Often,Often,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Very strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,7,"Yes, my confidence has increased",Agree,Agree,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,0,2,No Response,No Response,No Response,Only sometimes,Retired,No Response,No Response,No Response,No Response,Often,Often,No Response,No Response,Often,Often,Fairly strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,5,"No, my confidence has not increased",Agree,Disagree,45-54,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,1,0,4,0,0,No Response,No Response,No Response,Never,In full time paid work,No Response,Not at all,Very good,Often,Often,Often,Often,Often,Often,All of the time,Fairly strongly,Fairly strongly,Definitely agree,Very satisfied,"No, it doesn't improve wellbeing",Excellent,Agree,No Response,No Response,Good,Good,Not Sure,Not Sure
City Host Survey - July 2021,8,Not sure,Strongly agree,Not sure,45-54,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,Asian or Asian British â€“ Indian,Asian or Asian British,0,0,0,0,1,0,0,No Response,No Response,No Response,Only sometimes,Doing unpaid/voluntary work,No Response,Not at all,Good,Often,Often,Often,Often,Often,All of the time,Often,Very strongly,Fairly strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,Excellent
City Host Survey - July 2021,4,"No, my confidence has not increased",Agree,Disagree,65-74,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,0,0,0,0,0,2,No Response,No Response,No Response,Never,Retired,No Response,Not at all,Good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Rarely,Often,Fairly strongly,Fairly strongly,Definitely agree,Fairly satisfied,Not sure,Not Sure,Not sure,No Response,No Response,Not Sure,Not Sure,Not Sure,No Response
