Event,Programme,Venue,Venue Postcode,Commercial or Non-Commercial?,Co-Created,"Free Event, or Paid Event",Streamed on Social Media or Broadcast,Box Office,First Performance,No. of Performances
PRIDE AND JOY,Summer of Surprises,Assembly Festival Garden,CV1 2UR,Non-Commercial,Co-Created,Free Event,N/A,Assembly,08/08/2021,1
Ginny Lemon & Fwends,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Free Event,N/A,Assembly,08/08/2021,1
Diane Chorley: Live at Coventry Pride,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,08/08/2021,1
Grace Petrie with support from Lande Hekt?,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,09/08/2021,1
Here to Judge (Live) ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,11/08/2021,1
Jonny and the Baptists,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,12/08/2021,1
Morgan & West present: The Three Musketeers,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,13/08/2021,5
Cerys Bradley: Sportsperson,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,13/08/2021,1
Notflix ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,13/08/2021,1
Sent to Coventry,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,13/08/2021,3
CVX x BSide Prelims,Caring City,Gosford Street Car Park,CV1 5ED,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,14/08/2021,1
CVX x Onewave,Caring City,Gosford Street Car Park,CV1 5ED,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,14/08/2021,1
Party on the Green Holbrooks,City of Culture Main Programme,Holbrooks Park,CV6 4AA,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,14/08/2021,1
Eastern European HeARTS Festival,Love Coventry,Riley Square,CV2 1LX,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,14/08/2021,1
The Bubble Show,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,14/08/2021,14
Alice In Wonderland,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,14/08/2021,2
Russell Kane,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,14/08/2021,1
Bands In The Park (Spencer Park),Green Futures,Spencer Park,CV5 6NP,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,15/08/2021,1
CVX x BSide Finals,Caring City,Gosford Street Car Park,CV1 5ED,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,15/08/2021,1
Party on the Green Binley,City of Culture Main Programme,John White Community Centre Playing Field,CV3 2ED,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,15/08/2021,1
Theatre Next Door: Ernies Journey,Love Coventry,Moat House Leisure & Neighbourhood Centre,CV2 1EA,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,17/08/2021,Multiple
Elliot Bibby: Leftover Lunch,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,17/08/2021,4
Yours Sincerely,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,17/08/2021,7
Styx,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,18/08/2021,5
CineCov presents Rock n Docs 3 Chavela,CineCov,The Tin Music and Arts,CV1 4LY,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,20/08/2021,1
360 Allstars,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,20/08/2021,23
Love Coventry: Caribbean Reggae Fever (Main Event),Love Coventry,Millennium Place,CV1 1JD,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,21/08/2021,1
Love Coventry: Caribbean Reggae Fever (Carnival),Love Coventry,Spon Street,CV1 3BB,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,21/08/2021,1
Bands In The Park (Allesley Park),Green Futures,Allesley Park,CV5 9AD,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,22/08/2021,1
The Island by DeBALIE,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,22/08/2021,1
Jack Lukeman,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,22/08/2021,1
Les Quizerables,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,22/08/2021,1
Theatre Next Door: Ernies Journey (Holbrooks),Love Coventry,Holbrooks Community Care Association,CV6 4DE,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,23/08/2021,Multiple
Bloody Mary Live!,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,24/08/2021,9
Ed Sheeran Screening,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Free Event,N/A,Assembly,25/08/2021,1
BBC CSL: Preview Night,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,26/08/2021,1
CineCov presents 4 The Goodiepal Equation,CineCov,The Tin Music and Arts,CV1 4LY,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,27/08/2021,1
Made in the Midlands with Debbie Isitt,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,Podcast Available,Assembly,27/08/2021,1
ExperTeaZe Comedy and Cabaret Night,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,27/08/2021,2
Beneath The Trees,Green Futures,Naul's Mill Park,CV1 4AR,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,28/08/2021,1
Highly Sprung: CastAway,Green Futures,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,28/08/2021,4
Time Tree,Green Futures,War Memorial Park,CV3 6PT,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,28/08/2021,Installation
Bands In The Park (Stoke Green Park),Green Futures,Stoke Green Park,CV3 1AA,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,29/08/2021,1
Josh Jones,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,29/08/2021,1
Nina Gilligan,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,29/08/2021,1
Jon Boden and the Remnant Strings,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,30/08/2021,1
Ivo Graham: Work In Progress,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,31/08/2021,1
Tom Lucy (Work in Progress),Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,02/09/2021,1
Magical Bones: Live & Direct,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,02/09/2021,1
Godiva Festival,City of Culture Supported Programme,War Memorial Park,CV3 6PT,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,03/09/2021,Festival
The Thinking Drinkers Pub Quiz,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,03/09/2021,1
Theatre Next Door: Time Machine,Love Coventry,Earlsdon Carnegie Community Library,CV5 6FZ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,04/09/2021,Multiple
Richard Stott: Dog,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,04/09/2021,1
Juliette Burton: ReDefined,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,04/09/2021,1
Theatre Next Door: Same Same,Love Coventry,"Indian Community Centre, Coventry",CV6 5GP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/09/2021,Multiple
"The Twisted Baritones, with Ollie Kaiper Leach and Rob Godfrey",Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,07/09/2021,1
Coventry Moves Into Work,Sector Support,"Bull Yard, Lower Hertford Street and Coventry Job Shop",CV1 1LH,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,08/09/2021,1
Confetti (Work in Progress),Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,08/09/2021,1
Faith: Community Meal,City of Culture Main Programme,Swanswell Park,CV1 4FF,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,10/09/2021,1
Mummy,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,10/09/2021,3
Rob Beckett,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,10/09/2021,1
Last Night of the Proms,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Free Event,N/A,Assembly,11/09/2021,1
Faith: Ceremony of Light,City of Culture Main Programme,Millennium Place,CV1 1JD,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,11/09/2021,1
Faith: Generation,City of Culture Main Programme,Millennium Place,CV1 1JD,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,11/09/2021,2
Faith: The Arrival,City of Culture Main Programme,Broadgate,CV1 1FS,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,11/09/2021,2
Faith: The Messenger,City of Culture Main Programme,"Jamia Mosque, Coventry, CV1",CV1 4GY,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,11/09/2021,2
Faith: The Return,City of Culture Main Programme,Coventry Cathedral,CV1 5AB,Non-Commercial,Co-Created,Free Event,Streamed,The Ticket Factory,11/09/2021,2
Basil Brush Family Fun Show ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,11/09/2021,1
Basil Brush Unleashed ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,11/09/2021,1
Bands In The Park (Holbrooks Park),Green Futures,Holbrooks Park,CV6 4AA,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,12/09/2021,1
Rob Auton: The Time Show,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,12/09/2021,1
Small Bells Ring: Saturday Boat Trip,Green Futures,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,14/09/2021,3
Josh Berry & Rafe Hubris (Work in Progress),Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,14/09/2021,2
Elliot Bibby: Magic in a Jiffy,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,14/09/2021,4
James Campbell's The Funny World Of...,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,15/09/2021,1
BBC CSL:  Liz Berry,BBC Contains Strong Language,London Road Cemetery,CV1 2JT,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,16/09/2021,1
Small Bells Ring: Hawkesbury Junction Trip,Green Futures,Coventry Canal Basin,CV1 4LY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,16/09/2021,2
Cuidado,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,16/09/2021,2
The Noise Next Door,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,16/09/2021,1
Fashion Spies,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,17/09/2021,3
Simon Munnery,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,17/09/2021,2
Rich Hall,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,17/09/2021,1
Theatre of Wandering,Caring City,Coventry City Centre,CV1 2EZ,Non-Commercial,Co-Created,Paid Event,Streamed,The Ticket Factory,18/09/2021,4
Shlomo's Beatbox Adventure for Kids,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,18/09/2021,2
Bands In The Park (Caludon Castle Park),Green Futures,Caludon Castle Park,CV2 5EH,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,19/09/2021,1
Mark Thomas: Fifty Things About Us,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,19/09/2021,1
Hazel O'Connor - Coming Home,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,19/09/2021,1
BBC CSL: WordPlay: Live Poetry at the Belgrade,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,20/09/2021,1
BBC CSL: The Essay,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,22/09/2021,2
BBC CSL:  Celebrating Coventry Poets Laureate,BBC Contains Strong Language,Coventry Central Library,CV1 1FY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,23/09/2021,1
BBC CSL:  Life Aquatic Poetry Workshop,BBC Contains Strong Language,"Sherbourne River, Coventry",CV1 2JR,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,23/09/2021,1
BBC CSL: 5 Live Afternoon Edition Nihal Arthanayake.,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,23/09/2021,1
BBC CSL: Front Row Live Broadcast,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,23/09/2021,1
Stella Graham,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,23/09/2021,1
BBC CSL:  Loyle Carner,BBC Contains Strong Language,The Box at FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,24/09/2021,1
BBC CSL:  REVersing the Sherbourne Talk,BBC Contains Strong Language,The Box at FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/09/2021,1
BBC CSL:  Sherbourne Walking FarGo,BBC Contains Strong Language,FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/09/2021,1
BBC CSL:  Twilight Poetry Walk,BBC Contains Strong Language,"Paxton's Arboretum, Coventry",CV1 2JT,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,24/09/2021,1
BBC CSL: Radio 3 Free Thinking,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,24/09/2021,1
BBC CSL: This Little Relic,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,24/09/2021,1
BBC CSL: Radio 3's The Verb (Live Broadcast),BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,24/09/2021,1
BBC CSL:  Dancing the Distance,BBC Contains Strong Language,The Box at FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,25/09/2021,1
BBC CSL:  Ira Aldridge,BBC Contains Strong Language,Coventry Caribbean Association,CV1 3BB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,25/09/2021,1
BBC CSL:  Poetry From Personal Histories,BBC Contains Strong Language,Coventry Caribbean Association,CV1 3BB,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,25/09/2021,1
BBC CSL:  Poetry Lounge,BBC Contains Strong Language,The Box at FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,25/09/2021,1
BBC CSL:  Poetry Morning Coventry Poet Laureate,BBC Contains Strong Language,Coventry Central Library,CV1 1FY,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,25/09/2021,1
BBC CSL:  Radio Club,BBC Contains Strong Language,Coventry Boys' and Girls' Club,CV1 2DT,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,25/09/2021,1
BBC CSL:  Simon Armitage,BBC Contains Strong Language,The Box at FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,25/09/2021,1
BBC CSL:  Writersroom Panel 1,BBC Contains Strong Language,Coventry Central Library,CV1 1FY,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,25/09/2021,1
BBC CSL: Poetry on Prescription with the Poetry Pharmacy,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,25/09/2021,8
BBC CSL: Music Matters,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,25/09/2021,1
BBC CSL: Beyond Belief,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,25/09/2021,1
BBC CSL: 1Xtra Words First Talent Showcase,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,25/09/2021,1
BBC CSL: Radio 3's The Verb (Recording),BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,25/09/2021,1
BBC CSL: BBC Writersroom Panel: Who We Are & What We Do,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,25/09/2021,1
Jessica Fostekew  (Work in Progress),Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,25/09/2021,1
BBC CSL:  CSL Coventry Beirut,BBC Contains Strong Language,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,26/09/2021,1
BBC CSL:  Fire and Dust Live Poetry,BBC Contains Strong Language,The Box at FarGo Village,CV1 5ED,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,26/09/2021,1
BBC CSL:  Sherbourne Walking Tour,BBC Contains Strong Language,"Sherbourne River, Coventry",CV1 2JR,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,26/09/2021,1
BBC CSL:  Summer Residence,BBC Contains Strong Language,"Anglican Chapel, London Road Cemetery",CV1 2JT,Non-Commercial,Not Co-Created,Free Event,N/A,The Ticket Factory,26/09/2021,1
BBC CSL:  Twin Cities Postcard Poems,BBC Contains Strong Language,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,26/09/2021,1
BBC CSL:  Youthful Cities Global Words,BBC Contains Strong Language,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,26/09/2021,1
BBC CSL: Words & Music,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,26/09/2021,1
BBC CSL: CSL Live,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Free Event,N/A,Belgrade Theatre,26/09/2021,1
BBC CSL: 6Music: Stuart Maconie's The Freakzone,BBC Contains Strong Language,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Free Event,N/A,Belgrade Theatre,26/09/2021,1
Wind in the Willows,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,26/09/2021,1
Jake Lambert (Work in Progress) ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,26/09/2021,1
This Little Relic,Belgrade Theatre Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Paid Event,N/A,Belgrade Theatre,29/09/2021,2
Turner Prize Community Day,Visual Arts Programme,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,29/09/2021,1
Creative Freedom (Battle of Ideas),Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,29/09/2021,1
Loyiso Gola: Pop Culture ,Commercial Programme - Assembly Festival Garden 2021,Assembly Festival Garden,CV1 2UR,Commercial,Not Co-Created,Paid Event,N/A,Assembly,30/09/2021,1
The Turner Prize,Visual Arts Programme,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Not Co-Created,Free Event,Award Ceremony Streamed and on BBC,The Ticket Factory,01/10/2021,Exhibition
Coventry Sound Systems present Dub and Roots,City of Culture Main Programme,The Box at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,02/10/2021,1
Coventry Biennial: Merlin Sheldrake and Sirenscrossing,Visual Arts Programme - Coventry Biennial,"Metropolis,Coventry",CV1 5RU,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,02/10/2021,-
Try It Fun Palaces Taster Sessions,Love Coventry,Belgrade Theatre,CV1 1GS,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,02/10/2021,1
Try It Art and Stitch Workshops,Love Coventry,The Kenilworth Centre,CV8 1QJ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,04/10/2021,Various
Try It Learn to Skateboard,Love Coventry,The Market Hall at FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,04/10/2021,Various
Try It Create and Repair Club,Love Coventry,FarGo Village,CV1 5ED,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/10/2021,Various
Try It Fun With Folk Art,Love Coventry,"SYDNI Centre, Leamington Spa",CV31 1PT,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/10/2021,Various
Try It Hoofin It with Horses,Love Coventry,Moor Farm Stables,CV7 8AP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/10/2021,Various
Try It Learn to play the Steelpan,Love Coventry,Koco Community Centre,CV1 3JQ,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/10/2021,Various
Try It Next Chapter Off Balance Dance,Love Coventry,Cheylesmore Community Centre,CV3 5JX,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/10/2021,Various
Try It Pass The Pen,Love Coventry,"Abbey Hill United Reformed Church, Kenilworth",CV8 1LW,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,05/10/2021,Various
Try It ChairYoga Neeta,Love Coventry,Broad Street Meeting Hall,CV6 5BG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,06/10/2021,Various
A Crash Course In Cloudspotting Live Show,Caring City,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,07/10/2021,2
A Crash Course In Cloudspotting Sound Show,Caring City,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,07/10/2021,16
Try It Coffee Time Craft Club,Love Coventry,Broad Street Meeting Hall,CV6 5BG,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,07/10/2021,Various
Try It Coventry Well Being Choir,Love Coventry,Methodist Central Hall,CV1 2HA,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,07/10/2021,Various
Coventry Biennial: Biennial Body As Archive,Visual Arts Programme - Coventry Biennial,Rugby Art Gallery & Museum,CV21 3BZ,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,08/10/2021,-
Coventry Biennial: House,Visual Arts Programme - Coventry Biennial,HMV Empire,CV1 1LF,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,08/10/2021,-
Coventry Biennial Hyper-Possible,Visual Arts Programme - Coventry Biennial,Herbert Art Gallery & Museum,CV1 5QP,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,08/10/2021,-
Coventry Biennial: Proof,Visual Arts Programme - Coventry Biennial,The Old Grammar School,CV1 1HP,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,08/10/2021,-
Try It Enviroart,Love Coventry,Limbrick Wood Baptist Church Hall,CV4 9RD,Non-Commercial,Co-Created,Paid Event,N/A,The Ticket Factory,08/10/2021,Various
Vanishing Land,City of Culture Main Programme,Belgrade Theatre,CV1 1GS,Non-Commercial,Not Co-Created,Paid Event,N/A,The Ticket Factory,08/10/2021,1
HOME: Agency by Anthony Luvera,Caring City,Warwick Row,CV1 1EY,Non-Commercial,Co-Created,Free Event,N/A,Unticketed,08/10/2021,Exhibition
