IOBS,RESPID,QA,QB,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4DKA,Q4_RCA,Q4_RCB,Q4_RCC,Q4_RCD,Q4_RCE,Q4_RCF,Q4_RCG,Q4_RCH,Q4_RCI,Q4_RCJ,Q4_RCK,Q4_RCL,Q4_RCM,Q4_RCN,Q4_RCO,Q4_RCP,Q4_RCQ,Q4_RCR,Q4_RCS,Q4_RCT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q11,Q11A,Q12,Q12DKA,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q15B,Q16,Q17,Q17DKA,Q18,Q18REFA,Q19,Q20,Q21,Q22,STYPE,WARD,AREA,TYPE,ACORN,WEIGHT
83,83,50-64,Female,Yes,No,No,No,No,Yes,Agree,Not sure,Not sure,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Not sure,Agree,Agree,Agree,,"Pubs, clubs, and bars",,,,Cinema,,,,1-2,,,The events that are on don't appeal to me,,,,,,Events that are based on my interests,,Events which are free,,Events which are low cost,,,,Not very likely,,"rundown, overwhelmed by university",,Not Sure,Not Sure,Not Sure,Somewhat,Not Sure,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Not very important,Not sure,,,CV3 6EX,,No,White – British,Heterosexual/Straight,No,RDD,Wainbody,South West,CATI,1 - Affluent Achievers,0.8615715
84,84,65+,Female,Yes,No,Yes,No,Yes,No,Agree,Not sure,Not sure,Not sure,No opinion,,,,,,,,,,,,,,,,,,,Other,,,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,,,,,Theatre,,,,,1-2,,,The events that are on don't appeal to me,,,,,,,,,,,,,None of these / Would not attend,Not very likely,,Nothing,,Not Sure,Not really,Not Sure,Not Sure,Not Sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Not sure,,,CV3 6GX,,No,White – British,Heterosexual/Straight,No,Lifestyle,Cheylesmore,South East,CATI,1 - Affluent Achievers,1.3299649
85,85,65+,Female,Yes,No,No,No,No,No,Not sure,Not sure,Not sure,Not sure,taking the the history of the city and seeing how its interpreted today.,,,,,,,,,,,Promoting Coventry's history,,,,,,,,,,,Strongly agree,Not sure,Not sure,Not sure,Not sure,Not sure,Museums and galleries,,Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,Events that are based on my interests,,,Events across different times of the day in different places in the city,,Offers for exclusive deals with partners such as restaurants and bars,,,Not very likely,,"history, industry",,Not at all,Not at all,Not at all,Not Sure,Not Sure,Don't know / Not sure,Don't know / Not sure,Very important,Very important,Don't know / Not sure,Don't know / Not sure,Very important,Fairly important,Agree,the theatre programme,,cv3 5du,,"Yes, limited a lot",White – British,Prefer not to say,No,RDD,Wainbody,South West,CATI,3 - Comfortable Communities,0.7896985
86,86,50-64,Male,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Disagree,Strongly disagree,Agree,permanent assembly festival garden which becomes a space for art and artist to perform,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Not sure,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Visiting the city and seeing existing attractions,historic  cathedral automotive engineering,,Definitely,Definitely,Somewhat,Definitely,Definitely,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Fairly important,Very important,Agree,art work  and artist which performed in city the nest,,CV3 6JW,,No,White – British,Heterosexual/Straight,No,Lifestyle,Wainbody,South West,CATI,1 - Affluent Achievers,0.9638936
87,87,20-34,Female,Yes,Yes,No,No,No,No,Not sure,Disagree,Not sure,Agree,keep the festival garden going in Coventry more promotion to residents in Coventry,,Assembly/festival garden to stay,,,,Awareness e.g. advertising,,,,,,,,,,,,,,,,Agree,Agree,Not sure,Agree,Agree,Not sure,,,,,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,,Events that involve family and friends,Events which are free,,Events which are low cost,,,,Extremely likely,Looking for new experiences,home,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Not very important,Very important,Very important,Very important,Very important,Fairly important,Very important,Agree,more aware of what's going on in Coventry town city,,CV6 1FZ,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,Lifestyle,Sherbourne,South West,CATI,4 - Financially Stretched,1.2515570
88,88,35-49,Female,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Strongly disagree,Disagree,Agree,i would like to have a bit more time as covid got in the way. I would like to have a full year of events again,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Museums and galleries,,,,Theatre,,,,,5-6,,,,,,,,,Events that are based on my interests,,Events which are free,,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,vibrant and lively over the last few years,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,the centres in the town did not know they were there. The fargo village always been there but I didn't know it existed and it's not far from where I live,,CV2 5FB,,"Yes, limited a little",White – British,Heterosexual/Straight,No,RDD,Wyken,North East,CATI,4 - Financially Stretched,0.9500341
89,89,35-49,Female,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,Disagree,Disagree,Disagree,culture embedded in front line services and  communities outside the city centre,,,,,,,,,,Community/integration e.g. bringing people together,,,,,,,,,,,,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,,Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,,,,,,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,close nit community friendly multicultural,,Definitely,Definitely,Somewhat,Definitely,Definitely,Not very important,Fairly important,Very important,Very important,Fairly important,Don't know / Not sure,Very important,Very important,Agree,not on top of head,,cv67ba,,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Lifestyle,Longford,North East,CATI,5 - Urban Adversity,0.9500341
90,90,20-34,Male,Yes,Yes,No,No,No,No,Agree,Agree,Agree,Disagree,more development in the city,,,,,,,,,,,,Investment/development/funding,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,None of these,,,,,,,,,None / Nothing,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not very likely,,quite run down and backwards compared to other cities. unsafe for kids growing up.,,Not really,Not really,Not Sure,Not really,Not at all,Not very important,Not very important,Not very important,Fairly important,Fairly important,Fairly important,Not at all important,Not at all important,Disagree,,,cv4,,No,Asian or Asian British – Pakistani,Heterosexual/Straight,No,Lifestyle,Wainbody,South West,CATI,Prefer not to say / Unable to code,1.3299953
91,91,50-64,Female,Yes,Yes,Not sure,No,Not sure,No,Disagree,Disagree,Disagree,Disagree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,,,,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,"Home, energetic and diverse city.",,Definitely,Not Sure,Not really,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Not at all important,Disagree,,,CV67DP,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,Lifestyle,Longford,North East,CATI,4 - Financially Stretched,0.9500341
92,92,65+,Female,Yes,Yes,No,No,Yes,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Agree,"More events at the Immorial park, where everyone could get involved.",,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,,"Pubs, clubs, and bars",,,Theatre,Cinema,,,,3-4,,,,,,,,,,Events that involve family and friends,,,,Offers for exclusive deals with partners such as restaurants and bars,,,Not likely at all,,"Coventry was brilliant, but there are bad apples in Coventry.   Friends",,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not sure,,,CV3 4GE,,No,White – British,Heterosexual/Straight,No,RDD,Cheylesmore,South East,CATI,3 - Comfortable Communities,1.3299649
93,93,20-34,Male,Yes,No,No,No,No,No,Agree,Agree,Agree,Disagree,not really,,,,,,,,,,,,,,,,,,,Other,,,Disagree,Disagree,Disagree,Disagree,Not sure,Agree,,"Pubs, clubs, and bars",,,,,,,,7-8,,,,,,,,,,Events that involve family and friends,,,,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,The city is shit just purely down to the younger generation. Just down to the fact they feel like they can run the city. 16 year olds with no respect especially regarding the older generation. They are walking around with knives,,Not really,Not really,Not Sure,Somewhat,Not really,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Not at all important,Agree,improvement in town with new water feature looks nicer more presentable more modern,,CV6 5FY,,No,White – British,Heterosexual/Straight,No,Lifestyle,Foleshill,North East,CATI,5 - Urban Adversity,0.9807042
94,94,50-64,Male,No,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,Strongly agree,Strongly agree,just decorations of the city,,,,,,,,,,,,,,,,,,,Other,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not sure,,,,,,,,,None of these,,,,,,,,Any other reason,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,The opportunity to show off my city,culture,,Definitely,Definitely,Definitely,Definitely,Definitely,Not very important,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,no examples,,cv33bl,,"Yes, limited a little",Any Other Ethnic Group,Other,No,RDD,Cheylesmore,South East,CATI,5 - Urban Adversity,0.9535254
95,95,65+,Female,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Disagree,Agree,Agree,I don't know,,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Not sure,Not sure,Not sure,Agree,Museums and galleries,,,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,1-2,,,,,,,,None / Nothing,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,Home,,Somewhat,Somewhat,Not Sure,Not Sure,Not at all,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Very important,Very important,Fairly important,Disagree,,,CV6,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,Lifestyle,Bablake,North West,CATI,Prefer not to say / Unable to code,1.2682371
96,96,50-64,Male,Yes,No,Yes,Not sure,Yes,Yes,Strongly disagree,Disagree,Disagree,Strongly agree,"continuation of more cultural activities, more promotion of coventry thrugh the media",,,Arts/theatre/music/cultural events,,,Awareness e.g. advertising,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,,"Pubs, clubs, and bars",Live events,Live music,,Cinema,,,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,,Events across different times of the day in different places in the city,,,,,Fairly likely,The opportunity to show off my city,multicultural,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,The city council opened up the city centre by redesigning the old city to welcome the festival goers. They gave the city a more modern look from the old 70's look,,cv6 4nb,,No,Asian or Asian British – Chinese,Heterosexual/Straight,No,Lifestyle,Holbrook,North West,CATI,4 - Financially Stretched,1.0107265
97,97,50-64,Male,Yes,No,No,No,No,No,Disagree,Disagree,Disagree,Agree,"More local things set up, building up more local projects, music particularly.",,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not very likely,,Don't know,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Agree,,Don't know,CV3 6DD,,No,White – British,Heterosexual/Straight,No,Lifestyle,Wainbody,South West,CATI,1 - Affluent Achievers,0.9638936
98,98,50-64,Female,Yes,No,No,Yes,No,No,Agree,Disagree,Disagree,Agree,Some annual celebration continuing after the City of Culture.,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,,,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,Colourful.,,Not really,Not Sure,Not Sure,Definitely,Definitely,Very important,Very important,Very important,Very important,Fairly important,Very important,Very important,Fairly important,Not sure,,,CV6 5GN,,No,Asian or Asian British – Pakistani,Heterosexual/Straight,No,Lifestyle,Foleshill,North East,CATI,4 - Financially Stretched,0.9500341
99,99,20-34,Female,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Agree,"More jobs available for the youth, and more events.",,,,,More activities for families/children/young people,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,"Youthful, talented",,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Fairly important,Very important,Very important,Fairly important,Very important,Very important,Agree,The Reel Store Art Gallery,,CV33GJ,,No,Black or Black British – African,Heterosexual/Straight,No,Lifestyle,Henley,North East,CATI,5 - Urban Adversity,0.8246246
100,100,65+,Female,Yes,Yes,Yes,Not sure,Yes,Yes,Strongly agree,Agree,Agree,Disagree,I would like to see more culture in the City.,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Strongly agree,Not sure,Not sure,Agree,Not sure,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,Sent to Coventry,,Not really,Not Sure,Definitely,Definitely,Definitely,Fairly important,Very important,Fairly important,Don't know / Not sure,Fairly important,Don't know / Not sure,Very important,Very important,Strongly agree,The one outside bell grave Billboards,,CV3 6GU,,No,White – British,Heterosexual/Straight,No,RDD,Cheylesmore,South East,CATI,1 - Affluent Achievers,1.3299649
101,101,65+,Female,Yes,Yes,Yes,No,Not sure,No,Disagree,Disagree,Disagree,Strongly agree,art projects inolving the community and young people,,,,,More activities for families/children/young people,,,,,Community/integration e.g. bringing people together,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,,,,,,,,,1-2,,,,,,,,None / Nothing,,,Events which are free,,Events which are low cost,,,,Extremely likely,Visiting the city and seeing existing attractions,"sad, due to city centre. dissapointed, due to renovation",,Definitely,Somewhat,Definitely,Somewhat,Somewhat,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Not very important,Strongly agree,better eye at what occurs at museums,,CV3 5BN,,No,White – British,Heterosexual/Straight,No,Lifestyle,Earlsdon,South West,CATI,1 - Affluent Achievers,0.7896985
102,102,50-64,Male,Yes,Yes,No,No,No,No,Disagree,Agree,Strongly agree,Disagree,"To see events aimed more at what our culture was, not what it is now.",,,,,,,,,,,Promoting Coventry's history,,,,,,,,,,,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Museums and galleries,"Pubs, clubs, and bars",,,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,9-10,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,,,,Not very likely,,Badly changed.,,Not at all,Not at all,Not at all,Not at all,Not at all,Not very important,Fairly important,Not at all important,Fairly important,Don't know / Not sure,Not at all important,Not very important,Not at all important,Disagree,,,CV57GN,,No,White – British,Heterosexual/Straight,No,Lifestyle,Cheylesmore,South East,CATI,3 - Comfortable Communities,0.9535254
103,103,65+,Male,Yes,No,No,No,No,No,Agree,Agree,Agree,Agree,I can't think of anything.,,,,,,,,,,,,,,,,,,,Other,,,Not sure,Not sure,Not sure,Agree,Not sure,Agree,Museums and galleries,"Pubs, clubs, and bars",,Live music,,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Not very likely,,Home.,,Not really,Not really,Not really,Not really,Not really,Not very important,Not very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not very important,Disagree,,,CV4 9EY,,No,White – British,Heterosexual/Straight,No,RDD,Woodlands,South West,CATI,3 - Comfortable Communities,0.8399628
104,104,20-34,Female,Yes,Yes,Yes,Yes,No,No,Disagree,Disagree,Disagree,Agree,More community work and different cultural diversity.,,,,,,,,,,,,,,Diversity/faith/inclusive,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,,Live events,Live music,,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,9-10,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,The opportunity to show off my city,"Culture, Transport.",,Definitely,Definitely,Somewhat,Definitely,Definitely,Fairly important,Fairly important,Very important,Fairly important,Very important,Very important,Very important,Very important,Disagree,,,CV32QJ,,No,Any Other Asian Background,Heterosexual/Straight,No,Lifestyle,Lower Stoke,South East,CATI,3 - Comfortable Communities,0.9480587
105,105,50-64,Female,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Strongly agree,MORE OPPORTUNITIES FOR YOUNGER PEOPLE TO EXPERIENCE DIFF TYPES OF ARTS,,,,,More activities for families/children/young people,,,,,,,,,,,,,,,,,Agree,Not sure,Agree,Agree,Agree,Not sure,Museums and galleries,,Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Extremely likely,The opportunity to show off my city,HOME  UNIVERSITY  PRIDE IN MY ADOPTED HOME CITY,,Definitely,Definitely,Somewhat,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,"i TOOK PART IN THE WINDOW WONDERLAND, I HAVE DONE BOTH YEARS. MY SCHOOL ENTERED THE COMPETITION SO I WAS AWARE OF THAT BECAUSE WE HAD SOME WINNERS.  PICKING UP KNOWLEDGE FROM CITY HOSTS",,CV58DA,,No,White – British,Heterosexual/Straight,No,Lifestyle,Whoberley,South West,CATI,3 - Comfortable Communities,0.8615715
106,106,20-34,Female,Yes,No,No,No,No,No,Strongly disagree,Agree,Agree,Not sure,bringing together communities and cultures,,,,,,,,,,Community/integration e.g. bringing people together,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,,,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Looking for new experiences,"family, community, home",,Somewhat,Definitely,Somewhat,Definitely,Definitely,Fairly important,Fairly important,Very important,Very important,Very important,Not very important,Very important,Not very important,Disagree,,,cv7 8jg,,No,Any Other White Background,Bisexual,No,Lifestyle,Bablake,North West,CATI,6 - Not Private Households,0.9312169
107,107,35-49,Male,Yes,No,No,Not sure,Not sure,No,Disagree,Disagree,Disagree,Agree,More media coverage,,,,,,Awareness e.g. advertising,,,,,,,,,,,,,,,,Agree,Agree,Not sure,Agree,Agree,Agree,Museums and galleries,,Live events,Live music,Theatre,Cinema,,,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,,,Events which are low cost,,,,Fairly likely,Visiting the city and seeing existing attractions,Heritage,,Definitely,Definitely,Not really,Definitely,Definitely,Not at all important,Fairly important,Very important,Very important,Very important,Very important,Very important,Not very important,Agree,,Don't know,,Prefer not to say,No,Black or Black British – Caribbean,Heterosexual/Straight,No,Lifestyle,Binley and Willenhall,South East,CATI,Prefer not to say / Unable to code,0.9535254
108,108,50-64,Female,Yes,Yes,No,No,Not sure,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Pure culture such as classical music.,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Not sure,Not sure,,,Live events,Live music,Theatre,Cinema,,,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,"Poor city, trying to improve the City",,Not really,Somewhat,Somewhat,Definitely,Definitely,Don't know / Not sure,Fairly important,Fairly important,Very important,Don't know / Not sure,Fairly important,Fairly important,Not very important,Disagree,,,CV5 6NQ,,No,Any Other White Background,Heterosexual/Straight,No,Lifestyle,Earlsdon,South West,CATI,1 - Affluent Achievers,0.8615715
109,109,20-34,Female,Yes,No,No,No,No,No,Agree,Not sure,Agree,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,"high Crime rate, youth issues, rubbish",,Not really,Not really,Somewhat,Definitely,Not Sure,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Very important,Not at all important,Strongly disagree,,,CV6 4BF,,"Yes, limited a lot",White – British,Bisexual,Yes,Lifestyle,Holbrook,North West,CATI,5 - Urban Adversity,0.9312169
110,110,65+,Female,Yes,Yes,No,No,Yes,No,Agree,Disagree,Agree,Agree,Galleries,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,,,,,Theatre,,,,,1-2,,Lack of transport,,,Feeling unsafe being out at night,,,,,,Events which are free,,Events which are low cost,,,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,Very historical area,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,,Don't know,CV6 1GL,,"Yes, limited a little",White – British,Heterosexual/Straight,No,RDD,Sherbourne,South West,CATI,1 - Affluent Achievers,0.7896985
111,111,50-64,Male,Yes,Yes,No,No,No,No,Strongly agree,Agree,Agree,Disagree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Disagree,Disagree,Disagree,Agree,,,,,,,,,None of these,,,,The events that are on don't appeal to me,,,,,,,,,,,,,None of these / Would not attend,Not very likely,,minding their own business,,Not at all,Not at all,Definitely,Not at all,Not at all,Not very important,Fairly important,Fairly important,Fairly important,Fairly important,Don't know / Not sure,Fairly important,Not at all important,Strongly disagree,,,CV3 6ES,,No,White – British,Heterosexual/Straight,No,Lifestyle,Wainbody,South West,CATI,1 - Affluent Achievers,0.9638936
112,112,65+,Male,Yes,Yes,No,No,No,No,Agree,Disagree,Agree,Disagree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",,Live music,Theatre,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Not likely at all,,"City, I live here, I work here",,Not really,Definitely,Not really,Definitely,Somewhat,Don't know / Not sure,Very important,Very important,Very important,Very important,Very important,Very important,Not very important,Agree,"2 different shows at Broadgate where the Acrobats were, and 2 shows at the Assembly Festival Garden.",,CV64DL,,Prefer not to say,Any Other White Background,Prefer not to say,No,RDD,Longford,North East,CATI,4 - Financially Stretched,1.3454213
113,113,35-49,Female,Yes,No,Yes,Yes,No,No,Strongly agree,Not sure,Strongly agree,Strongly disagree,less people sleeping on the streets in this day and age no one should be homeless,,,,,,,,,,,,,,,,,,,Other,,,Agree,Not sure,Strongly disagree,Agree,Disagree,Agree,,,,Live music,,,,,,1-2,,,,,,,,None / Nothing,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,,,,Not likely at all,,its not a great place crime rates are through the roof and kids are killing kids. the youth need more opportunities.,,Not at all,Not at all,Not at all,Not really,Not at all,Fairly important,Not at all important,Not at all important,Very important,Not at all important,Very important,Fairly important,Not at all important,Disagree,,,CV2 3JT,,"Yes, limited a little",White – British,Heterosexual/Straight,Yes,Lifestyle,Holbrook,North West,CATI,4 - Financially Stretched,1.2132465
