Metric Type Identifier,Measurement Unit,Measurement Unit (Short Label),MetricTypeKey,Source,Hyperlink,Theme,Subcategory,MetricTypes_Key,Metric Type (Short Label),Metric Type
2709,%,%,2709-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2709,Unspecified,Unspecified,1449,% positive without being asked (face to face) (incl. dk) - 2709,Percentage of people who speak positively of their local council without being asked (as a % of all respondents including those who answered 'don't know') - face to face survey - 2709
2710,%,%,2710-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2710,Unspecified,Unspecified,1450,% positive if asked (face to face) (incl. dk) - 2710,Percentage of people who speak positively of their local council if they are asked about it (as a % of all respondents including those who answered 'don't know') - face to face survey - 2710
2711,%,%,2711-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2711,Unspecified,Unspecified,1451,% with no views about council (face to face) (incl. dk) - 2711,Percentage of people who have no views one way or another about their local council (as a % of all respondents including those who answered 'don't know') - face to face survey - 2711
2712,%,%,2712-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2712,Unspecified,Unspecified,1452,% negative if asked (face to face) (incl. dk) - 2712,Percentage of people who speak negatively of their local council if they are asked about it (as a % of all respondents including those who answered 'don't know') - face to face survey - 2712
2713,%,%,2713-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2713,Unspecified,Unspecified,1453,% negative without being asked (face to face) (incl. dk) - 2713,Percentage of people who speak negatively of their local council without being asked (as a % of all respondents including those who answered 'don't know') - face to face survey - 2713
2714,%,%,2714-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2714,Unspecified,Unspecified,1454,% who dk how they feel about council (face to face) (incl. dk) - 2714,Percentage of people who don't know how they feel about their local council (as a % of all respondents including those who answered 'don't know') - face to face survey - 2714
2715,%,%,2715-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2715,Unspecified,Unspecified,1455,% positive without being asked (postal/online) (incl. dk) - 2715,Percentage of people who speak positively of their local council without being asked (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2715
2716,%,%,2716-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2716,Unspecified,Unspecified,1456,% positive if asked (postal/online) (incl. dk) - 2716,Percentage of people who speak positively of their local council if they are asked about it (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2716
2717,%,%,2717-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2717,Unspecified,Unspecified,1457,% with no views about council (postal/online) (incl. dk) - 2717,Percentage of people who have no views one way or another about their local council (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2717
2718,%,%,2718-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2718,Unspecified,Unspecified,1458,% negative if asked (postal/online) (incl. dk) - 2718,Percentage of people who speak negatively of their local council if they are asked about it (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2718
2719,%,%,2719-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2719,Unspecified,Unspecified,1459,% negative without being asked (postal/online) (incl. dk) - 2719,Percentage of people who speak negatively of their local council without being asked (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2719
2720,%,%,2720-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2720,Unspecified,Unspecified,1460,% who dk how they feel about council (postal/online) (incl. dk) - 2720,Percentage of people who don't know how they feel about their local council (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2720
2721,%,%,2721-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2721,Unspecified,Unspecified,1461,% positive without being asked (telephone) (incl. dk) - 2721,Percentage of people who speak positively of their local council without being asked (as a % of all respondents including those who answered 'don't know') - telephone survey - 2721
2722,%,%,2722-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2722,Unspecified,Unspecified,1462,% positive if asked (telephone) (incl. dk) - 2722,Percentage of people who speak positively of their local council if they are asked about it (as a % of all respondents including those who answered 'don't know') - telephone survey - 2722
2723,%,%,2723-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2723,Unspecified,Unspecified,1463,% with no views about council (telephone) (incl. dk) - 2723,Percentage of people who have no views one way or another about their local council (as a % of all respondents including those who answered 'don't know') - telephone survey - 2723
2724,%,%,2724-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2724,Unspecified,Unspecified,1464,% negative if asked (telephone) (incl. dk) - 2724,Percentage of people who speak negatively of their local council if they are asked about it (as a % of all respondents including those who answered 'don't know') - telephone survey - 2724
2725,%,%,2725-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2725,Unspecified,Unspecified,1465,% negative without being asked (telephone) (incl. dk) - 2725,Percentage of people who speak negatively of their local council without being asked (as a % of all respondents including those who answered 'don't know') - telephone survey - 2725
2726,%,%,2726-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2726,Unspecified,Unspecified,1466,% who dk how they feel about council (telephone) (incl. dk) - 2726,Percentage of people who don't know how they feel about their local council (as a % of all respondents including those who answered 'don't know') - telephone survey - 2726
2727,%,%,2727-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2727,Unspecified,Unspecified,1467,% who think council acts on concerns a great deal (face to face) (incl. dk) - 2727,Percentage of people who think their local council acts on the concerns of residents a great deal (as a % of all respondents including those who answered 'don't know') - face to face survey - 2727
2728,%,%,2728-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2728,Unspecified,Unspecified,1468,% who think council acts on concerns a fair amount (face to face) (incl. dk) - 2728,Percentage of people who think their local council acts on the concerns of residents a fair amount (as a % of all respondents including those who answered 'don't know') - face to face survey - 2728
2729,%,%,2729-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2729,Unspecified,Unspecified,1469,% who think council does not act on concerns very much (face to face) (incl. dk) - 2729,Percentage of people who do not think their local council acts on the concerns of residents very much (as a % of all respondents including those who answered 'don't know') - face to face survey - 2729
2730,%,%,2730-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2730,Unspecified,Unspecified,1470,% who think council does not act on concerns at all (face to face) (incl. dk) - 2730,Percentage of people who do not think their local council acts on the concerns of residents at all (as a % of all respondents including those who answered 'don't know') - face to face survey - 2730
2731,%,%,2731-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2731,Unspecified,Unspecified,1471,% who do not know whether council acts on concerns (face to face) (incl. dk) - 2731,Percentage of people who don't know the extent to which they think their local council acts on the concerns of residents (as a % of all respondents including those who answered 'don't know') - face to face survey - 2731
2732,%,%,2732-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2732,Unspecified,Unspecified,1472,% who think council acts on concerns a great deal (postal/online) (incl. dk) - 2732,Percentage of people who think their local council acts on the concerns of residents a great deal (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2732
2733,%,%,2733-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2733,Unspecified,Unspecified,1473,% who think council acts on concerns a fair amount (postal/online) (incl. dk) - 2733,Percentage of people who think their local council acts on the concerns of residents a fair amount (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2733
2734,%,%,2734-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2734,Unspecified,Unspecified,1474,% who think council does not act on concerns very much (postal/online) (incl. dk) - 2734,Percentage of people who do not think their local council acts on the concerns of residents very much (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2734
2735,%,%,2735-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2735,Unspecified,Unspecified,1475,% who think council does not act on concerns at all (postal/online) (incl. dk) - 2735,Percentage of people who do not think their local council acts on the concerns of residents at all (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2735
2736,%,%,2736-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2736,Unspecified,Unspecified,1476,% who do not know whether council acts on concerns (postal/online) (incl. dk) - 2736,Percentage of people who don't know the extent to which they think their local council acts on the concerns of residents (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2736
2737,%,%,2737-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2737,Unspecified,Unspecified,1477,% who think council acts on concerns a great deal (telephone) (incl. dk) - 2737,Percentage of people who think their local council acts on the concerns of residents a great deal (as a % of all respondents including those who answered 'don't know') - telephone survey - 2737
2738,%,%,2738-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2738,Unspecified,Unspecified,1478,% who think council acts on concerns a fair amount (telephone) (incl. dk) - 2738,Percentage of people who think their local council acts on the concerns of residents a fair amount (as a % of all respondents including those who answered 'don't know') - telephone survey - 2738
2739,%,%,2739-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2739,Unspecified,Unspecified,1479,% who think council does not act on concerns very much (telephone) (incl. dk) - 2739,Percentage of people who do not think their local council acts on the concerns of residents very much (as a % of all respondents including those who answered 'don't know') - telephone survey - 2739
2740,%,%,2740-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2740,Unspecified,Unspecified,1480,% who think council does not act on concerns at all (telephone) (incl. dk) - 2740,Percentage of people who do not think their local council acts on the concerns of residents at all (as a % of all respondents including those who answered 'don't know') - telephone survey - 2740
2741,%,%,2741-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2741,Unspecified,Unspecified,1481,% who do not know whether council acts on concerns (telephone) (incl. dk) - 2741,Percentage of people who don't know the extent to which they think their local council acts on the concerns of residents (as a % of all respondents including those who answered 'don't know') - telephone survey - 2741
2742,%,%,2742-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2742,Unspecified,Unspecified,1482,% who trust council a great deal (face to face) (incl. dk) - 2742,Percentage of people who trust their local council a great deal (as a % of all respondents including those who answered 'don't know') - face to face survey - 2742
2743,%,%,2743-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2743,Unspecified,Unspecified,1483,% who trust council a fair amount (face to face) (incl. dk) - 2743,Percentage of people who trust their local council a fair amount (as a % of all respondents including those who answered 'don't know') - face to face survey - 2743
2744,%,%,2744-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2744,Unspecified,Unspecified,1484,% who do not trust council very much (face to face) (incl. dk) - 2744,Percentage of people who do not trust their local council very much (as a % of all respondents including those who answered 'don't know') - face to face survey - 2744
2745,%,%,2745-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2745,Unspecified,Unspecified,1485,% who do not trust council at all (face to face) (incl. dk) - 2745,Percentage of people who do not trust their local council at all (as a % of all respondents including those who answered 'don't know') - face to face survey - 2745
2746,%,%,2746-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2746,Unspecified,Unspecified,1486,% who dk how much they trust council (face to face) (incl. dk) - 2746,Percentage of people who don't know how much they trust their local council (as a % of all respondents including those who answered 'don't know') - face to face survey - 2746
2747,%,%,2747-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2747,Unspecified,Unspecified,1487,% who trust council a great deal (postal/online) (incl. dk) - 2747,Percentage of people who trust their local council a great deal (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2747
2748,%,%,2748-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2748,Unspecified,Unspecified,1488,% who trust council a fair amount (postal/online) (incl. dk) - 2748,Percentage of people who trust their local council a fair amount (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2748
2749,%,%,2749-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2749,Unspecified,Unspecified,1489,% who do not trust council very much (postal/online) (incl. dk) - 2749,Percentage of people who do not trust their local council very much (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2749
2750,%,%,2750-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2750,Unspecified,Unspecified,1490,% who do not trust council at all (postal/online) (incl. dk) - 2750,Percentage of people who do not trust their local council at all (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2750
2751,%,%,2751-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2751,Unspecified,Unspecified,1491,% who dk how much they trust council (postal/online) (incl. dk) - 2751,Percentage of people who don't know how much they trust their local council (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2751
2752,%,%,2752-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2752,Unspecified,Unspecified,1492,% who trust council a great deal (telephone) (incl. dk) - 2752,Percentage of people who trust their local council a great deal (as a % of all respondents including those who answered 'don't know') - telephone survey - 2752
2753,%,%,2753-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2753,Unspecified,Unspecified,1493,% who trust council a fair amount (telephone) (incl. dk) - 2753,Percentage of people who trust their local council a fair amount (as a % of all respondents including those who answered 'don't know') - telephone survey - 2753
2754,%,%,2754-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2754,Unspecified,Unspecified,1494,% who do not trust council very much (telephone) (incl. dk) - 2754,Percentage of people who do not trust their local council very much (as a % of all respondents including those who answered 'don't know') - telephone survey - 2754
2755,%,%,2755-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2755,Unspecified,Unspecified,1495,% who do not trust council at all (telephone) (incl. dk) - 2755,Percentage of people who do not trust their local council at all (as a % of all respondents including those who answered 'don't know') - telephone survey - 2755
2756,%,%,2756-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2756,Unspecified,Unspecified,1496,% who dk how much they trust council (telephone) (incl. dk) - 2756,Percentage of people who don't know how much they trust their local council (as a % of all respondents including those who answered 'don't know') - telephone survey - 2756
2757,%,%,2757-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2757,Unspecified,Unspecified,1497,% who definitely agree different ethnic backgrounds get on (face to face) (incl. dk) - 2757,Percentage of people who definitely agree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - face to face survey - 2757
2758,%,%,2758-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2758,Unspecified,Unspecified,1498,% who tend to agree different ethnic backgrounds get on (face to face) (incl. dk) - 2758,Percentage of people who tend to agree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - face to face survey - 2758
2759,%,%,2759-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2759,Unspecified,Unspecified,1499,% who neither agree nor disagree different ethnic backgrounds get on (face to face) (incl. dk) - 2759,Percentage of people who neither agree nor disagree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - face to face survey - 2759
2760,%,%,2760-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2760,Unspecified,Unspecified,1500,% who tend to disagree different ethnic backgrounds get on (face to face) (incl. dk) - 2760,Percentage of people who tend to disagree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - face to face survey - 2760
2761,%,%,2761-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2761,Unspecified,Unspecified,1501,% who definitely disagree different ethnic backgrounds get on (face to face) (incl. dk) - 2761,Percentage of people who definitely disagree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - face to face survey - 2761
2762,%,%,2762-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2762,Unspecified,Unspecified,1502,% who do not know whether different ethnic backgrounds get on (face to face) (incl. dk) - 2762,Percentage of people who don't know whether their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - face to face survey - 2762
2763,%,%,2763-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2763,Unspecified,Unspecified,1503,"% answering ""too few people in local area"" (face to face) (incl. dk) - 2763","Percentage of people answering ""too few people in local area"" when asked extent to which they agree or disagree that their local area is a place where people from different ethnic backgrounds get on well (% inc 'don't know' answers)-face to face survey - 2763"
2764,%,%,2764-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2764,Unspecified,Unspecified,1504,"% answering ""all the same ethnic background"" (face to face) (incl. dk) - 2764","Percentage of people answering ""all the same ethnic background"" when asked extent to which agree or disagree that their local area is a place where people from different ethnic backgrounds get on well (% inc 'don't know' answers)-face to face survey - 2764"
2765,%,%,2765-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2765,Unspecified,Unspecified,1505,% who definitely agree different ethnic backgrounds get on (postal/online) (incl. dk) - 2765,Percentage of people who definitely agree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2765
2766,%,%,2766-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2766,Unspecified,Unspecified,1506,% who tend to agree different ethnic backgrounds get on (postal/online) (incl. dk) - 2766,Percentage of people who tend to agree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2766
2767,%,%,2767-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2767,Unspecified,Unspecified,1507,% who neither agree nor disagree different ethnic backgrounds get on (postal/online) (incl. dk) - 2767,Percentage of people who neither agree nor disagree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2767
2768,%,%,2768-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2768,Unspecified,Unspecified,1508,% who tend to disagree different ethnic backgrounds get on (postal/online) (incl. dk) - 2768,Percentage of people who tend to disagree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2768
2769,%,%,2769-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2769,Unspecified,Unspecified,1509,% who definitely disagree different ethnic backgrounds get on (postal/online) (incl. dk) - 2769,Percentage of people who definitely disagree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2769
2770,%,%,2770-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2770,Unspecified,Unspecified,1510,% who do not know whether different ethnic backgrounds get on (postal/online) (incl. dk) - 2770,Percentage of people who don't know whether their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2770
2771,%,%,2771-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2771,Unspecified,Unspecified,1511,"% answering ""too few people in local area"" (postal/online) (incl. dk) - 2771","Percentage of people answering ""too few people in local area"" when asked extent to which agree or disagree that their local area is a place where people from different ethnic backgrounds get on well (% inc 'don't know' answers)-postal &/or online survey - 2771"
2772,%,%,2772-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2772,Unspecified,Unspecified,1512,"% answering ""all the same ethnic background"" (postal/online) (incl. dk) - 2772","Percentage of people answering ""all same ethnic background"" when asked extent to which agree or disagree that their local area is a place where people from different ethnic backgrounds get on well (% inc 'don't know' answers)-postal &/or online survey - 2772"
2773,%,%,2773-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2773,Unspecified,Unspecified,1513,% who definitely agree different ethnic backgrounds get on (telephone) (incl. dk) - 2773,Percentage of people who definitely agree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - telephone survey - 2773
2774,%,%,2774-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2774,Unspecified,Unspecified,1514,% who tend to agree different ethnic backgrounds get on (telephone) (incl. dk) - 2774,Percentage of people who tend to agree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - telephone survey - 2774
2775,%,%,2775-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2775,Unspecified,Unspecified,1515,% who neither agree nor disagree different ethnic backgrounds get on (telephone) (incl. dk) - 2775,Percentage of people who neither agree nor disagree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - telephone survey - 2775
2776,%,%,2776-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2776,Unspecified,Unspecified,1516,% who tend to disagree different ethnic backgrounds get on (telephone) (incl. dk) - 2776,Percentage of people who tend to disagree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - telephone survey - 2776
2777,%,%,2777-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2777,Unspecified,Unspecified,1517,% who definitely disagree different ethnic backgrounds get on (telephone) (incl. dk) - 2777,Percentage of people who definitely disagree that their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - telephone survey - 2777
2778,%,%,2778-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2778,Unspecified,Unspecified,1518,% who do not know whether different ethnic backgrounds get on (telephone) (incl. dk) - 2778,Percentage of people who don't know whether their local area is a place where people from different ethnic backgrounds get on well together (as a % of all respondents including those who answered 'don't know') - telephone survey - 2778
2779,%,%,2779-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2779,Unspecified,Unspecified,1519,"% answering ""too few people in local area"" (telephone) (incl. dk) - 2779","Percentage of people answering ""too few people in local area"" when asked extent to which they agree or disagree that their local area is a place where people from different ethnic backgrounds get on well (% inc 'don't know' answers)-telephone survey - 2779"
2780,%,%,2780-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2780,Unspecified,Unspecified,1520,"% answering ""all the same ethnic background"" (telephone) (incl. dk) - 2780","Percentage of people answering ""all the same ethnic background"" when asked extent to which agree or disagree that their local area is a place where people from different ethnic backgrounds get on well (% inc 'don't know' answers)-telephone survey - 2780"
2781,%,%,2781-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2781,Unspecified,Unspecified,1521,% who definitely agree people pull together (face to face) (incl. dk) - 2781,Percentage of people who definitely agree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - face to face survey - 2781
2782,%,%,2782-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2782,Unspecified,Unspecified,1522,% who tend to agree people pull together (face to face) (incl. dk) - 2782,Percentage of people who tend to agree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - face to face survey - 2782
2783,%,%,2783-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2783,Unspecified,Unspecified,1523,% who neither agree nor disagree people pull together (face to face) (incl. dk) - 2783,Percentage of people who neither agree nor disagree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - face to face survey - 2783
2784,%,%,2784-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2784,Unspecified,Unspecified,1524,% who tend to disagree people pull together (face to face) (incl. dk) - 2784,Percentage of people who tend to disagree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - face to face survey - 2784
2785,%,%,2785-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2785,Unspecified,Unspecified,1525,% who definitely disagree people pull together (face to face) (incl. dk) - 2785,Percentage of people who definitely disagree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - face to face survey - 2785
2786,%,%,2786-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2786,Unspecified,Unspecified,1526,"% answering """"nothing needs improving"""" (face to face) (incl. dk) - 2786","Percentage of people answering """"nothing needs improving"""" when asked the extent to which they agree or disagree that people in their local area pull together to improve the local area (% inc 'don't know' answers)-face to face survey - 2786"
2787,%,%,2787-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2787,Unspecified,Unspecified,1527,% who do not know whether people pull together (face to face) (incl. dk) - 2787,Percentage of people who don't know whether people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - face to face survey - 2787
2788,%,%,2788-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2788,Unspecified,Unspecified,1528,% who definitely agree people pull together (postal/online) (incl. dk) - 2788,Percentage of people who definitely agree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2788
2789,%,%,2789-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2789,Unspecified,Unspecified,1529,% who tend to agree people pull together (postal/online) (incl. dk) - 2789,Percentage of people who tend to agree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2789
2796,%,%,2796-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2796,Unspecified,Unspecified,1530,% who tend to agree people pull together (telephone) (incl. dk) - 2796,Percentage of people who tend to agree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - telephone survey - 2796
2797,%,%,2797-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2797,Unspecified,Unspecified,1531,% who neither agree nor disagree people pull together (telephone) (incl. dk) - 2797,Percentage of people who neither agree nor disagree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - telephone survey - 2797
2798,%,%,2798-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2798,Unspecified,Unspecified,1532,% who tend to disagree people pull together (telephone) (incl. dk) - 2798,Percentage of people who tend to disagree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - telephone survey - 2798
2799,%,%,2799-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2799,Unspecified,Unspecified,1533,% who definitely disagree people pull together (telephone) (incl. dk) - 2799,Percentage of people who definitely disagree that people in their local area pull together to improve the local area (as a % of all respondents including those who answered 'don't know') - telephone survey - 2799
2800,%,%,2800-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2800,Unspecified,Unspecified,1534,"% answering """"nothing needs improving"""" (telephone) (incl. dk) - 2800","Percentage of people answering """"nothing needs improving"""" when asked the extent to which they agree or disagree that people in their local area pull together to improve the local area (% inc 'don't know' answers) - telephone survey - 2800"
2807,%,%,2807-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2807,Unspecified,Unspecified,1535,% who think noisy neighbours or loud parties are very big problem (postal/online) (incl. dk) - 2807,Percentage of people who think noisy neighbours or loud parties are a very big problem in their local area (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2807
2808,%,%,2808-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2808,Unspecified,Unspecified,1536,% who think noisy neighbours or loud parties are fairly big problem (postal/online) (incl. dk) - 2808,Percentage of people who think noisy neighbours or loud parties are a fairly big problem in their local area (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2808
2809,%,%,2809-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2809,Unspecified,Unspecified,1537,% who think noisy neighbours or loud parties are not a very big problem (postal/online) (incl. dk) - 2809,Percentage of people who do not think noisy neighbours or loud parties are a very big problem in their local area (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2809
2810,%,%,2810-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2810,Unspecified,Unspecified,1538,% who think noisy neighbours or loud parties are not a problem at all (postal/online) (incl. dk) - 2810,Percentage of people who do not think noisy neighbours or loud parties are a problem at all in their local area (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2810
2811,%,%,2811-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2811,Unspecified,Unspecified,1539,% who dk or no opinion on noisy neighbours/loud parties (postal/online) (incl. dk) - 2811,Percentage of people who don't know or have no opinion on whether noisy neighbours or loud parties are a problem in their local area (as a % of all respondents including those who answered 'don't know') - postal and/or online survey - 2811
2812,%,%,2812-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2812,Unspecified,Unspecified,1540,% who think noisy neighbours or loud parties are very big problem (telephone) (incl. dk) - 2812,Percentage of people who think noisy neighbours or loud parties are a very big problem in their local area (as a % of all respondents including those who answered 'don't know') - telephone survey - 2812
2813,%,%,2813-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2813,Unspecified,Unspecified,1541,% who think noisy neighbours or loud parties are fairly big problem (telephone) (incl. dk) - 2813,Percentage of people who think noisy neighbours or loud parties are a fairly big problem in their local area (as a % of all respondents including those who answered 'don't know') - telephone survey - 2813
2814,%,%,2814-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2814,Unspecified,Unspecified,1542,% who think noisy neighbours or loud parties are not a very big problem (telephone) (incl. dk) - 2814,Percentage of people who do not think noisy neighbours or loud parties are a very big problem in their local area (as a % of all respondents including those who answered 'don't know') - telephone survey - 2814
